model,mean_excess,median_excess,min_excess,max_excess,negative_windows,mean_allocation_ic_all_universe,median_allocation_ic_all_universe,mean_allocation_ic_selected_only,median_allocation_ic_selected_only,mean_n_names
baseline_guard_adaptive,0.04000583333333331,0.03000999999999995,0.00907,0.12308,0,0.0879013323641396,0.06712926696007313,0.3055311733470974,0.29841642885271125,72.33333333333333
baseline_xgb,0.0059949999999999925,0.00264,-0.01221,0.02916,5,0.002462824805441001,-0.030990328159278456,-0.000984393757502998,-0.01459783913565426,50.0
