model,as_of,start,end,portfolio_return,benchmark_return,excess_return,n_names,allocation_ic_all_universe,allocation_ic_selected_only
baseline_guard_adaptive,2026-01-09,2026-01-12,2026-01-16,0.0513257732223354,0.0218437208549522,0.0294820523673831,40,0.0824205520198586,0.2233064404113346
baseline_xgb,2026-01-09,2026-01-12,2026-01-16,0.0354003579584071,0.0218437208549522,0.0135566371034549,50,0.1119441509004494,-0.2077724706904038
baseline_guard_adaptive,2026-01-16,2026-01-19,2026-01-23,0.1097540286637918,0.0434235583724071,0.0663304702913846,30,0.152149089517469,0.3091621067108733
baseline_xgb,2026-01-16,2026-01-19,2026-01-23,0.0376154105204037,0.0434235583724071,-0.0058081478520034,50,-0.0445363382359506,-0.033469387755102
baseline_guard_adaptive,2026-01-23,2026-01-26,2026-01-30,-0.0141576187410549,-0.0255694709508522,0.0114118522097973,30,-0.0584586487201637,0.3219132369299221
baseline_xgb,2026-01-23,2026-01-26,2026-01-30,-0.0293678307134157,-0.0255694709508522,-0.0037983597625635,50,-0.0900051231820156,0.1481392557022809
baseline_guard_adaptive,2026-01-30,2026-02-02,2026-02-06,0.0006320664398916,-0.0267733665292001,0.0274054329690917,30,0.0287889377837169,0.2455835127167473
baseline_xgb,2026-01-30,2026-02-02,2026-02-06,-0.0290575823893335,-0.0267733665292001,-0.0022842158601333,50,-0.1075991046372969,-0.0210804321728691
baseline_guard_adaptive,2026-02-06,2026-02-09,2026-02-13,0.0875218666478583,0.0188023857862349,0.0687194808616234,30,0.0546855833945833,0.5048229910449091
baseline_xgb,2026-02-06,2026-02-09,2026-02-13,0.0227185195142787,0.0188023857862349,0.0039161337280438,50,-0.0259166534288914,-0.0404801920768307
baseline_guard_adaptive,2026-02-27,2026-03-02,2026-03-06,-0.0019017987689039,-0.0344305274038657,0.0325287286349618,498,0.4116393221725491,0.4116393221725491
baseline_xgb,2026-02-27,2026-03-02,2026-03-06,-0.0466413716827571,-0.0344305274038657,-0.0122108442788913,50,-0.0804841920406693,-0.0637214885954381
baseline_guard_adaptive,2026-03-06,2026-03-09,2026-03-13,0.1086612783665643,-0.014417723691694,0.1230790020582584,30,0.1454242624017322,0.7277958066017736
baseline_xgb,2026-03-06,2026-03-09,2026-03-13,-0.013057126927245,-0.014417723691694,0.0013605967644489,50,-0.0370289323999016,-0.0081152460984393
baseline_guard_adaptive,2026-03-13,2026-03-16,2026-03-20,-0.036112548626609,-0.0582248496868491,0.02211230106024,35,0.0148972403508455,0.0480728919719991
baseline_xgb,2026-03-13,2026-03-16,2026-03-20,-0.0449710562526407,-0.0582248496868491,0.0132537934342084,50,-0.0383727182748657,0.0750540216086434
baseline_guard_adaptive,2026-03-20,2026-03-23,2026-03-27,0.0280861388633229,-0.0028895480781857,0.0309756869415086,40,0.1744471890159302,-0.0088180112570356
baseline_xgb,2026-03-20,2026-03-23,2026-03-27,0.0262700850097296,-0.0028895480781857,0.0291596330879153,50,0.1400922458305361,0.1913565426170468
baseline_guard_adaptive,2026-03-27,2026-03-30,2026-04-03,-0.0171284897906616,-0.0261936043850209,0.0090651145943592,40,-0.0097914318348941,0.1994369060507783
baseline_xgb,2026-03-27,2026-03-30,2026-04-03,-0.0301132506711659,-0.0261936043850209,-0.0039196462861449,50,0.0031334073065727,-0.2678031212484993
baseline_guard_adaptive,2026-04-10,2026-04-13,2026-04-17,0.0591278413867632,0.0307212682566302,0.028406573130133,35,-0.0155464943329991,0.3953911407897826
baseline_xgb,2026-04-10,2026-04-13,2026-04-17,0.0490192319084882,0.0307212682566302,0.0182979636518579,50,0.090921608913072,0.1164465786314525
baseline_guard_adaptive,2026-04-17,2026-04-20,2026-04-24,0.0346446869892215,0.0041004631738672,0.0305442238153542,30,0.0828106905523578,0.2876707509945491
baseline_xgb,2026-04-17,2026-04-20,2026-04-24,0.015802755408745,0.0041004631738672,0.0117022922348777,50,0.0904785907385572,0.0693877551020408
