as_of,model,n_left,n_right,n_union,max_abs_diff,l1_diff,changed_names,full_meta,truncated_meta,pass
2026-01-23,baseline_guard_adaptive,30,30,30,0.0,0.0,0,"[{""as_of"":""2026-01-23"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_overheated_high_breadth"",""baseline_top_k"":0,""effective_baseline_top_k"":30,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":30,""max_weight"":0.064516129,""effective_n"":22.868852459,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":0.0434235584,""idx_ret_20d"":0.1684057758,""breadth_ret_5d_pos"":0.7975951904,""median_ret_5d"":0.0292998478,""route_baseline_top_k"":30,""route_baseline_train_rows"":325433,""route_baseline_train_end"":""2025-12-24"",""route_baseline_val_start"":""2026-01-05"",""route_baseline_val_rank_ic"":-0.0038629623,""route_baseline_n_names"":30,""route_baseline_max_weight"":0.064516129}]","[{""as_of"":""2026-01-23"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_overheated_high_breadth"",""baseline_top_k"":0,""effective_baseline_top_k"":30,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":30,""max_weight"":0.064516129,""effective_n"":22.868852459,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":0.0434235584,""idx_ret_20d"":0.1684057758,""breadth_ret_5d_pos"":0.7975951904,""median_ret_5d"":0.0292998478,""route_baseline_top_k"":30,""route_baseline_train_rows"":325433,""route_baseline_train_end"":""2025-12-24"",""route_baseline_val_start"":""2026-01-05"",""route_baseline_val_rank_ic"":-0.0038629623,""route_baseline_n_names"":30,""route_baseline_max_weight"":0.064516129}]",True
2026-03-20,baseline_guard_adaptive,40,40,40,0.0,0.0,0,"[{""as_of"":""2026-03-20"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_severe_broad_selloff"",""baseline_top_k"":0,""effective_baseline_top_k"":40,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":40,""max_weight"":0.0487804878,""effective_n"":30.3703703704,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":-0.0582248497,""idx_ret_20d"":-0.0787709961,""breadth_ret_5d_pos"":0.1182364729,""median_ret_5d"":-0.0503408495,""route_baseline_top_k"":40,""route_baseline_train_rows"":342368,""route_baseline_train_end"":""2026-02-12"",""route_baseline_val_start"":""2026-03-02"",""route_baseline_val_rank_ic"":-0.1104856417,""route_baseline_n_names"":40,""route_baseline_max_weight"":0.0487804878}]","[{""as_of"":""2026-03-20"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_severe_broad_selloff"",""baseline_top_k"":0,""effective_baseline_top_k"":40,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":40,""max_weight"":0.0487804878,""effective_n"":30.3703703704,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":-0.0582248497,""idx_ret_20d"":-0.0787709961,""breadth_ret_5d_pos"":0.1182364729,""median_ret_5d"":-0.0503408495,""route_baseline_top_k"":40,""route_baseline_train_rows"":342368,""route_baseline_train_end"":""2026-02-12"",""route_baseline_val_start"":""2026-03-02"",""route_baseline_val_rank_ic"":-0.1104856417,""route_baseline_n_names"":40,""route_baseline_max_weight"":0.0487804878}]",True
2026-05-08,baseline_guard_adaptive,30,30,30,0.0,0.0,0,"[{""as_of"":""2026-05-08"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_overheated_high_breadth"",""baseline_top_k"":0,""effective_baseline_top_k"":30,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":30,""max_weight"":0.064516129,""effective_n"":22.868852459,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":0.0597528438,""idx_ret_20d"":0.1483349009,""breadth_ret_5d_pos"":0.7074148297,""median_ret_5d"":0.0315236427,""route_baseline_top_k"":30,""route_baseline_train_rows"":357807,""route_baseline_train_end"":""2026-04-07"",""route_baseline_val_start"":""2026-04-15"",""route_baseline_val_rank_ic"":0.0783249375,""route_baseline_n_names"":30,""route_baseline_max_weight"":0.064516129}]","[{""as_of"":""2026-05-08"",""model"":""stage2_baseline_guard_ensemble"",""selected_route"":""baseline_xgb"",""guard_reason"":""baseline_guard_overheated_high_breadth"",""baseline_top_k"":0,""effective_baseline_top_k"":30,""weekly_top_k"":30,""weekly_rank_power"":6.0,""weekly_max_weight"":0.095,""n_names"":30,""max_weight"":0.064516129,""effective_n"":22.868852459,""route"":""tree_consensus"",""reason"":""normal_tree_consensus"",""idx_ret_5d"":0.0597528438,""idx_ret_20d"":0.1483349009,""breadth_ret_5d_pos"":0.7074148297,""median_ret_5d"":0.0315236427,""route_baseline_top_k"":30,""route_baseline_train_rows"":357807,""route_baseline_train_end"":""2026-04-07"",""route_baseline_val_start"":""2026-04-15"",""route_baseline_val_rank_ic"":0.0783249375,""route_baseline_n_names"":30,""route_baseline_max_weight"":0.064516129}]",True
