top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,sum,median,min,max,negative_windows,avg_n,utility
30,0.05,1.6,0.0,0.04,0.023033727874567828,0.20730355087111046,0.019675468037767187,0.0039078895755117055,0.04446430609009551,0,82.0,0.02498767266232368
30,0.05,2.0,0.0,0.04,0.023014167507473815,0.20712750756726434,0.019511994480167487,0.003905681743466692,0.04447112560716772,0,82.0,0.02496700837920716
30,0.05,1.2,0.0,0.04,0.023021269596714668,0.207191426370432,0.01966553589649559,0.0038483762915032943,0.04447702906158396,0,82.0,0.024945457742466315
30,0.05,2.4,0.0,0.04,0.022969225844127687,0.2067230325971492,0.019267092755033854,0.003850199230145561,0.044450660119698684,0,82.0,0.024894325459200468
30,0.1,1.6,0.0,0.04,0.022946591142210607,0.20651932027989545,0.019685557899142905,0.003873683657680725,0.044136091016891796,0,82.0,0.02488343297105097
30,0.05,1.0,0.0,0.04,0.022948587484800338,0.20653728736320304,0.019557618217704943,0.0038044956898403495,0.0442467120855287,0,82.0,0.024850835329720513
30,0.1,1.2,0.0,0.04,0.022927667360653443,0.20634900624588098,0.019674820407959454,0.003819928531142165,0.044016835639911295,0,82.0,0.024837631626224526
30,0.1,2.0,0.0,0.04,0.022890849378018094,0.20601764440216286,0.01952328049301666,0.0038516307645732883,0.04397089549479101,0,82.0,0.024816664760304738
30,0.05,1.6,0.05,0.04,0.022854920100728385,0.20569428090655548,0.019464484815122994,0.003830171708611392,0.04396441562331102,0,82.0,0.02477000595503408
30,0.1,1.0,0.0,0.04,0.02285422891578348,0.20568806024205133,0.01956670466396137,0.0037705181969828402,0.04382602132745908,0,82.0,0.0247394880142749
30,0.05,0.8,0.0,0.04,0.022848436590320383,0.20563592931288344,0.019357749280467136,0.003780543241992916,0.043789361597782864,0,82.0,0.02473870821131684
30,0.05,2.0,0.05,0.04,0.0228139870523804,0.20532588347142358,0.019300998708747012,0.0038152811875039883,0.04385764608434958,0,82.0,0.024721627646132394
30,0.05,1.2,0.05,0.04,0.022823802997367443,0.20541422697630699,0.019471371578871785,0.0037947533679746626,0.04388303589515222,0,82.0,0.024721179681354774
30,0.1,2.4,0.0,0.04,0.02280696947422659,0.2052627252680393,0.01927977144153755,0.0038054758725802468,0.04365606856686237,0,82.0,0.024709707410516712
30,0.05,0.8,0.3,0.04,0.022778697134993992,0.20500827421494594,0.020830555686118885,0.003856642409960094,0.04165464699681516,0,82.0,0.02470701833997404
30,0.05,1.0,0.05,0.04,0.022808824925900657,0.20527942433310592,0.01937981198214527,0.003783055356778982,0.04366015813577556,0,82.0,0.024700352604290148
30,0.2,1.2,0.0,0.04,0.02283091916115112,0.20547827245036007,0.019693964666665613,0.003691203878214061,0.04396065404189886,0,82.0,0.02467652110025815
30,0.2,1.0,0.0,0.04,0.022818687224192374,0.20536818501773135,0.019585447072775153,0.003692929941054683,0.043933103798133935,0,82.0,0.024665152194719715
30,0.1,1.2,0.05,0.04,0.022780027871810472,0.20502025084629424,0.019480390008411445,0.0037671594949578377,0.043658371096802956,0,82.0,0.02466360761928939
30,0.1,1.6,0.05,0.04,0.022759636929769202,0.20483673236792282,0.019474261668822233,0.0038012820262712937,0.04354112944016876,0,82.0,0.02466027794290485
30,0.1,0.8,0.3,0.04,0.02277022102472772,0.2049319892225495,0.0208579178534197,0.003762209247606632,0.04185825339901819,0,82.0,0.024651325648531036
30,0.1,0.8,0.0,0.04,0.022783653216649918,0.20505287894984925,0.01936679663782162,0.0037334680825765534,0.04346833135861261,0,82.0,0.024650387257938194
30,0.2,1.6,0.0,0.04,0.02278992456812035,0.20510932111308314,0.019706349121053228,0.0036915198860189846,0.04367457950691753,0,82.0,0.02463568451112984
30,0.1,1.0,0.05,0.04,0.022768310489918474,0.20491479440926627,0.019388623795440263,0.003732712082661835,0.043565910665751634,0,82.0,0.02463466653124939
30,0.05,0.8,0.2,0.04,0.022709013975958574,0.20438112578362716,0.020153986684130418,0.0038044700688772345,0.04208248351292866,0,82.0,0.024611249010397192
30,0.1,2.0,0.05,0.04,0.022706972852560722,0.20436275567304651,0.019311847420363508,0.003791181797552348,0.04339885808355197,0,82.0,0.024602563751336896
30,0.05,1.2,0.1,0.04,0.022712443797066675,0.2044119941736001,0.019287159536621246,0.003766165806579437,0.0433525493284847,0,82.0,0.024595526700356394
30,0.2,1.2,0.05,0.04,0.02274794976880651,0.2047315479192586,0.019498995810637895,0.003691644086849216,0.043787379918554914,0,82.0,0.02459377181223112
30,0.05,0.8,0.05,0.04,0.02271750772646504,0.20445756953818536,0.01923412044451831,0.00375139095567735,0.04310961619495232,0,82.0,0.024593203204303714
30,0.05,2.4,0.05,0.04,0.02271284903919101,0.20441564135271909,0.01916325957487368,0.0037605140980028276,0.0435723655149973,0,82.0,0.024593106088192422
30,0.05,1.0,0.3,0.04,0.022692186943357964,0.2042296824902217,0.020601371999405663,0.0037880956769781524,0.041883297289693644,0,82.0,0.02458623478184704
30,0.2,1.0,0.05,0.04,0.022733735141916043,0.20460361627724438,0.01940680879244805,0.003673699850605505,0.043692167230009765,0,82.0,0.024570585067218795
30,0.05,1.0,0.1,0.04,0.022689453069809296,0.20420507762828366,0.0193187238317305,0.0037589758451214705,0.043146276382478935,0,82.0,0.02456894099237003
30,0.2,0.8,0.0,0.04,0.022744778082232596,0.20470300274009337,0.019399241656003256,0.003646801558266431,0.04360361353834688,0,82.0,0.02456817886136581
30,0.05,1.6,0.1,0.04,0.02268108041400206,0.20412972372601856,0.019276373286485612,0.0037724415868005887,0.04340350431605769,0,82.0,0.024567301207402355
30,0.05,0.8,0.1,0.04,0.02268915092507794,0.20420235832570147,0.01948037563038943,0.003754748228855284,0.042673282288091585,0,82.0,0.02456652503950558
30,0.2,0.8,0.3,0.04,0.02276336777471918,0.20487030997247263,0.020917089049860338,0.003597698518781549,0.04231733176625983,0,82.0,0.024562217034109955
30,0.05,0.8,0.3,0.08,0.022809323564954784,0.20528391208459307,0.019293986122180945,0.0034958463768717182,0.04099485851272056,0,82.0,0.024557246753390643
30,0.05,0.8,0.3,0.1,0.022809323564954784,0.20528391208459307,0.019293986122180945,0.0034958463768717182,0.04099485851272056,0,82.0,0.024557246753390643
30,0.1,0.8,0.05,0.04,0.0226976999389304,0.2042792994503736,0.019250775894415748,0.003717068851359945,0.04309223892602569,0,82.0,0.024556234364610373
30,0.1,1.2,0.1,0.04,0.022692248714810015,0.20423023843329013,0.019306938285060096,0.0037172322560290114,0.043421767783191456,0,82.0,0.02455086484282452
30,0.05,0.8,0.3,0.045,0.02279962053642643,0.20519658482783787,0.01949019453280279,0.0034958463768717182,0.04098402291802795,0,82.0,0.02454754372486229
30,0.2,1.6,0.05,0.04,0.02270666326719081,0.2043599694047173,0.0194944209246082,0.003674820319126172,0.04354486139313693,0,82.0,0.024544073426753896
30,0.1,1.0,0.1,0.04,0.022680192055865786,0.20412172850279206,0.019354240405422315,0.003715071179759409,0.04321674148671675,0,82.0,0.02453772764574549
30,0.05,0.8,0.3,0.06,0.022789191336915395,0.20510272203223856,0.019293986122180945,0.0034958463768717182,0.04099485851272056,0,82.0,0.024537114525351254
30,0.1,1.0,0.3,0.04,0.022681982770273845,0.2041378449324646,0.02062990497382991,0.0036908867707996645,0.04207957391427239,0,82.0,0.024527426155673677
30,0.05,1.0,0.2,0.04,0.022661458467468056,0.2039531262072125,0.019863956744561914,0.003729825707689406,0.04243191923568769,0,82.0,0.02452637132131276
30,0.35,1.0,0.0,0.04,0.022790376597732278,0.2051133893795905,0.01961507660362591,0.003470570110184111,0.04434541529690526,0,82.0,0.024525661652824333
30,0.1,0.8,0.2,0.04,0.022678289505502807,0.20410460554952525,0.020187546125039216,0.0036937975353895022,0.04215791300096851,0,82.0,0.024525188273197558
30,0.2,2.0,0.0,0.04,0.02269802508598929,0.2042822257739036,0.01954652291030061,0.003654053961166394,0.043175107449878944,0,82.0,0.024525052066572486
30,0.1,1.6,0.1,0.04,0.022648599534561487,0.2038373958110534,0.019316962938252052,0.003744568905741527,0.04327227535153208,0,82.0,0.02452088398743225
30,0.35,1.2,0.0,0.04,0.02277800268088111,0.20500202412793,0.019724211091518715,0.0034799827960823246,0.04428730196557161,0,82.0,0.024517994078922273
30,0.1,0.8,0.1,0.04,0.02266963043703025,0.20402667393327223,0.01951888203671745,0.003691638551658785,0.0427515113385805,0,82.0,0.02451544971285964
30,0.35,0.8,0.3,0.04,0.022756557835804728,0.20480902052224254,0.021018929543888218,0.003514405376346258,0.0429745958609057,0,82.0,0.024513760523977857
30,0.35,0.8,0.0,0.04,0.02277352733800985,0.20496174604208867,0.019457017139774928,0.0034780743415080972,0.044182661782408386,0,82.0,0.0245125645087639
30,0.2,1.2,0.1,0.04,0.02267418327829814,0.20406764950468326,0.019387476342017013,0.0036686177889963256,0.043549149575879534,0,82.0,0.0245084921727963
30,0.2,0.8,0.05,0.04,0.022686296418362884,0.20417666776526597,0.019329065357017547,0.0036295972949009978,0.04323460299168022,0,82.0,0.024501095065813383
