apply,power,max_weight,equal_mix,mean,min,max,neg,vals
tree_only,2.5,0.04,0.0,0.03129300651029801,0.016273255486826524,0.051238206181239435,0,"0.02831,0.02329,0.02563,0.04515,0.03027,0.01627,0.02392,0.03754,0.05124"
tree_only,3.0,0.04,0.0,0.03128028027661757,0.01596033577520456,0.051215385568954164,0,"0.02831,0.02329,0.02544,0.04515,0.02983,0.01596,0.02459,0.03775,0.05122"
tree_only,2.0,0.04,0.0,0.03125416060961326,0.016596137825837964,0.050699142294078514,0,"0.02831,0.02329,0.02588,0.04515,0.03053,0.01660,0.02340,0.03744,0.05070"
tree_only,0.4,0.045,0.3,0.03122044396523306,0.019166380663341975,0.04514788015494137,0,"0.02831,0.02329,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_only,0.4,0.05,0.3,0.03122044396523306,0.019166380663341975,0.04514788015494137,0,"0.02831,0.02329,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_only,0.4,0.06,0.3,0.03122044396523306,0.019166380663341975,0.04514788015494137,0,"0.02831,0.02329,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_only,0.4,0.08,0.3,0.03122044396523306,0.019166380663341975,0.04514788015494137,0,"0.02831,0.02329,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_only,0.4,0.1,0.3,0.03122044396523306,0.019166380663341975,0.04514788015494137,0,"0.02831,0.02329,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_only,1.0,0.04,0.0,0.03119826518808788,0.01792734865025969,0.048813489837888496,0,"0.02831,0.02329,0.02639,0.04515,0.03109,0.01793,0.02231,0.03750,0.04881"
tree_only,0.4,0.04,0.3,0.03119262775454095,0.01913496073553557,0.04514788015494137,0,"0.02831,0.02329,0.02605,0.04515,0.03174,0.02272,0.01913,0.04007,0.04427"
tree_regularized,2.0,0.04,0.0,0.03118413196031699,0.016596137825837964,0.050699142294078514,0,"0.02590,0.02507,0.02588,0.04515,0.03053,0.01660,0.02340,0.03744,0.05070"
tree_only,0.8,0.04,0.0,0.03118238250862995,0.018823493617485004,0.04788203745856123,0,"0.02831,0.02329,0.02593,0.04515,0.03154,0.01882,0.02172,0.03799,0.04788"
tree_only,0.4,0.045,0.2,0.031180817830456724,0.019563787333533263,0.04514788015494137,0,"0.02831,0.02329,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_only,0.4,0.05,0.2,0.031180817830456724,0.019563787333533263,0.04514788015494137,0,"0.02831,0.02329,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_only,0.4,0.06,0.2,0.031180817830456724,0.019563787333533263,0.04514788015494137,0,"0.02831,0.02329,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_only,0.4,0.08,0.2,0.031180817830456724,0.019563787333533263,0.04514788015494137,0,"0.02831,0.02329,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_only,0.4,0.1,0.2,0.031180817830456724,0.019563787333533263,0.04514788015494137,0,"0.02831,0.02329,0.02614,0.04515,0.03244,0.02149,0.01956,0.04019,0.04405"
tree_regularized,2.5,0.04,0.0,0.031179906642235793,0.016273255486826524,0.051238206181239435,0,"0.02567,0.02491,0.02563,0.04515,0.03027,0.01627,0.02392,0.03754,0.05124"
tree_only,1.6,0.04,0.0,0.031169029359793314,0.016887513296895917,0.04969413849673948,0,"0.02831,0.02329,0.02612,0.04515,0.03054,0.01689,0.02308,0.03745,0.04969"
tree_regularized,1.0,0.04,0.0,0.03114443685665641,0.01792734865025969,0.048813489837888496,0,"0.02609,0.02503,0.02639,0.04515,0.03109,0.01793,0.02231,0.03750,0.04881"
tree_only,1.2,0.04,0.0,0.031142217940354974,0.017161713096681325,0.04922406161902851,0,"0.02831,0.02329,0.02629,0.04515,0.03063,0.01716,0.02266,0.03756,0.04922"
tree_only,1.0,0.04,0.1,0.03114144059529703,0.019042334971936678,0.04758300649940754,0,"0.02831,0.02329,0.02583,0.04515,0.03143,0.01904,0.02161,0.03803,0.04758"
tree_regularized,3.0,0.04,0.0,0.031141397987289012,0.01596033577520456,0.051215385568954164,0,"0.02554,0.02481,0.02544,0.04515,0.02983,0.01596,0.02459,0.03775,0.05122"
tree_only,0.4,0.045,0.1,0.031141191695680408,0.019961194003724585,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,0.4,0.05,0.1,0.031141191695680408,0.019961194003724585,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,0.4,0.06,0.1,0.031141191695680408,0.019961194003724585,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,0.4,0.08,0.1,0.031141191695680408,0.019961194003724585,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,0.4,0.1,0.1,0.031141191695680408,0.019961194003724585,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03271,0.02053,0.01996,0.04016,0.04403"
tree_only,0.8,0.04,0.1,0.031136576847340353,0.01954847596282716,0.0470437500952709,0,"0.02831,0.02329,0.02565,0.04515,0.03165,0.01955,0.02109,0.03849,0.04704"
tree_regularized,1.6,0.04,0.0,0.031130082024301127,0.016887513296895917,0.04969413849673948,0,"0.02609,0.02516,0.02612,0.04515,0.03054,0.01689,0.02308,0.03745,0.04969"
tree_only,1.2,0.04,0.1,0.031126466184392312,0.01856881301539208,0.04797716111653266,0,"0.02831,0.02329,0.02608,0.04515,0.03114,0.01857,0.02191,0.03771,0.04798"
tree_only,0.4,0.04,0.2,0.031126211518302662,0.019418546858559732,0.04514788015494137,0,"0.02831,0.02329,0.02583,0.04515,0.03179,0.02201,0.01942,0.03978,0.04455"
tree_regularized,0.4,0.045,0.3,0.031125780593376735,0.019166380663341975,0.04514788015494137,0,"0.02675,0.02400,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_regularized,0.4,0.05,0.3,0.031125780593376735,0.019166380663341975,0.04514788015494137,0,"0.02675,0.02400,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_regularized,0.4,0.06,0.3,0.031125780593376735,0.019166380663341975,0.04514788015494137,0,"0.02675,0.02400,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_regularized,0.4,0.08,0.3,0.031125780593376735,0.019166380663341975,0.04514788015494137,0,"0.02675,0.02400,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_regularized,0.4,0.1,0.3,0.031125780593376735,0.019166380663341975,0.04514788015494137,0,"0.02675,0.02400,0.02615,0.04515,0.03218,0.02245,0.01917,0.04023,0.04407"
tree_regularized,3.0,0.08,0.3,0.031122142592642843,0.009805440122407166,0.04561516664330758,0,"0.02990,0.02449,0.02894,0.04515,0.04024,0.00981,0.02425,0.04562,0.03171"
tree_only,0.4,0.04,0.1,0.0311201478604215,0.019627634443075574,0.04515129530036888,0,"0.02831,0.02329,0.02569,0.04515,0.03191,0.02144,0.01963,0.03952,0.04515"
tree_regularized,1.2,0.04,0.1,0.031118219651723282,0.01856881301539208,0.04797716111653266,0,"0.02660,0.02493,0.02608,0.04515,0.03114,0.01857,0.02191,0.03771,0.04798"
tree_regularized,1.2,0.04,0.0,0.031115767103951697,0.017161713096681325,0.04922406161902851,0,"0.02628,0.02508,0.02629,0.04515,0.03063,0.01716,0.02266,0.03756,0.04922"
tree_only,0.6,0.04,0.0,0.03111445362727786,0.019583627689595845,0.0469126420817776,0,"0.02831,0.02329,0.02552,0.04515,0.03179,0.01958,0.02080,0.03868,0.04691"
tree_regularized,1.6,0.04,0.1,0.031110086203471457,0.018039496308631955,0.0484056856372858,0,"0.02678,0.02497,0.02635,0.04515,0.03071,0.01804,0.02222,0.03736,0.04841"
tree_only,1.2,0.04,0.2,0.03110830273058523,0.019686627690133435,0.04695632475787424,0,"0.02831,0.02329,0.02557,0.04515,0.03150,0.01969,0.02122,0.03829,0.04696"
tree_only,0.4,0.045,0.0,0.03110254098979744,0.019678590346325173,0.04514788015494137,0,"0.02831,0.02329,0.02612,0.04515,0.03290,0.01968,0.02036,0.04009,0.04403"
tree_only,0.4,0.05,0.0,0.03110156556090408,0.01956584375562681,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_only,0.4,0.06,0.0,0.03110156556090408,0.01956584375562681,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_only,0.4,0.08,0.0,0.03110156556090408,0.01956584375562681,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_only,0.4,0.1,0.0,0.03110156556090408,0.01956584375562681,0.04514788015494137,0,"0.02831,0.02329,0.02613,0.04515,0.03297,0.01957,0.02036,0.04013,0.04401"
tree_regularized,1.2,0.04,0.2,0.03110085448319729,0.019686627690133435,0.04695632475787424,0,"0.02680,0.02473,0.02557,0.04515,0.03150,0.01969,0.02122,0.03829,0.04696"
