top_k,alpha_xgb,rank_power,equal_mix,max_weight,mean,median,min,max,sum,negative_windows,avg_n,utility
35,0.1,1.1,0.0,0.04,0.014742257990574832,0.00967230236496458,0.0037949530211234955,0.037590492508707676,0.13268032191517348,0,86.44444444444444,0.01663973450113658
35,0.1,0.9,0.0,0.04,0.014666476833727694,0.009888543283074286,0.0038803946117904886,0.03681842362523266,0.13199829150354925,0,86.44444444444444,0.01660667413962294
35,0.1,0.9,0.1,0.04,0.014511068944261213,0.009287163693739105,0.004170161041599868,0.03594299113469085,0.13059962049835092,0,86.44444444444444,0.016596149465061147
35,0.1,1.2,0.0,0.04,0.014767374787577392,0.009569110552524587,0.003652388458413869,0.03791305682181585,0.13290637308819653,0,86.44444444444444,0.016593569016784326
30,0.1,1.6,0.0,0.04,0.015709838915305703,0.011002439073737408,0.0017549043554237892,0.044136091016891796,0.14138855023775132,0,82.0,0.016587291093017598
35,0.1,0.9,0.05,0.04,0.014580449840194734,0.009554017584110744,0.003998212619554978,0.03636736151534592,0.1312240485617526,0,86.44444444444444,0.016579556149972224
35,0.1,1.1,0.05,0.04,0.014630523520078598,0.009562428203872625,0.0038788556092472365,0.037046083714206424,0.13167471168070738,0,86.44444444444444,0.016569951324702216
35,0.1,1.2,0.05,0.04,0.014654889884799408,0.009530585941847192,0.0038039640070279546,0.037316422601835264,0.13189400896319467,0,86.44444444444444,0.016556871888313385
30,0.1,1.4,0.0,0.04,0.015646104042412717,0.010483953283346656,0.001785225552794631,0.044109602300713494,0.14081493638171444,0,82.0,0.016538716818810032
35,0.1,1.2,0.1,0.04,0.014537954111826672,0.009287163693739105,0.003910139451907033,0.03678600021817466,0.13084158700644005,0,86.44444444444444,0.016493023837780188
30,0.1,0.9,0.2,0.04,0.01524867653627641,0.010037069708563967,0.002480144884113092,0.04235025447543665,0.1372380888264877,0,82.0,0.016488748978332954
30,0.1,1.2,0.0,0.04,0.015569820021088279,0.01006013708093434,0.001823691834197727,0.04401683563991131,0.1401283801897945,0,82.0,0.016481665938187142
35,0.1,1.4,0.0,0.04,0.0147730234200954,0.00938848977583831,0.003399444789135786,0.038381110392194384,0.1329572107808586,0,86.44444444444444,0.016472745814663292
35,0.1,1.4,0.05,0.04,0.0146790117097083,0.00938023483534825,0.003555746401449053,0.0377471269873243,0.1321111053873747,0,86.44444444444444,0.016456884910432824
35,0.1,1.1,0.1,0.04,0.014514347604062363,0.009287163693739105,0.003875147307547802,0.036546454857998206,0.13062912843656127,0,86.44444444444444,0.016451921257836264
30,0.1,1.1,0.0,0.04,0.01551788943689124,0.009888894890701647,0.001847816840124611,0.043940319644521775,0.13966100493202116,0,82.0,0.016441797856953544
35,0.1,1.4,0.1,0.04,0.014565645711840528,0.009287163693739105,0.003735778599717257,0.037152221142454145,0.13109081140656476,0,86.44444444444444,0.016433535011699155
