set,mode,top_k,power,max_weight,equal_mix,mean,min,max,neg,vals
core_diverse,presence,30,2.0,0.08,0.1,0.024166505074392705,0.0026674323593115015,0.045659825615778055,0,"0.02347,0.01941,0.02187,0.00267,0.03310,0.01963,0.01376,0.03793,0.04566"
core_diverse,presence,30,1.0,0.05,0.1,0.024166107813317964,0.003337745065040469,0.04989691682536193,0,"0.02101,0.01992,0.02076,0.00334,0.02843,0.02204,0.01443,0.03766,0.04990"
core_diverse,weight,30,2.0,0.1,0.0,0.024162473881303687,0.0005887783658777845,0.04248313357026533,0,"0.02276,0.02124,0.03051,0.01631,0.03492,0.00059,0.02172,0.04248,0.02693"
core_diverse,presence,30,2.0,0.1,0.1,0.02416107269655922,0.0026674323593115015,0.045659825615778055,0,"0.02342,0.01941,0.02187,0.00267,0.03310,0.01963,0.01376,0.03793,0.04566"
core_diverse,presence,30,1.6,0.05,0.1,0.02415596668504978,0.0031562638082114763,0.04727088412766195,0,"0.02128,0.01962,0.02155,0.00316,0.03131,0.02104,0.01451,0.03767,0.04727"
core_diverse,presence,30,0.5,0.05,0.2,0.02415562234193126,0.003615357687197389,0.05257744782400234,0,"0.02036,0.02017,0.01993,0.00362,0.02557,0.02312,0.01440,0.03765,0.05258"
core_diverse,presence,30,0.5,0.06,0.2,0.02415562234193126,0.003615357687197389,0.05257744782400234,0,"0.02036,0.02017,0.01993,0.00362,0.02557,0.02312,0.01440,0.03765,0.05258"
core_diverse,presence,30,0.5,0.08,0.2,0.02415562234193126,0.003615357687197389,0.05257744782400234,0,"0.02036,0.02017,0.01993,0.00362,0.02557,0.02312,0.01440,0.03765,0.05258"
core_diverse,presence,30,0.5,0.1,0.2,0.02415562234193126,0.003615357687197389,0.05257744782400234,0,"0.02036,0.02017,0.01993,0.00362,0.02557,0.02312,0.01440,0.03765,0.05258"
core_diverse,presence,30,2.0,0.05,0.2,0.024150706170319083,0.0031992930463382863,0.04668403000840997,0,"0.02140,0.01951,0.02172,0.00320,0.03200,0.02085,0.01449,0.03751,0.04668"
core_diverse,presence,30,2.0,0.08,0.2,0.024150502595194204,0.0027931159461182034,0.04668403000840997,0,"0.02298,0.01951,0.02157,0.00279,0.03200,0.02010,0.01381,0.03790,0.04668"
core_diverse,presence,30,2.0,0.1,0.2,0.024150502595194204,0.0027931159461182034,0.04668403000840997,0,"0.02298,0.01951,0.02157,0.00279,0.03200,0.02010,0.01381,0.03790,0.04668"
core_diverse,rank,30,1.6,0.1,0.1,0.02414728843555317,0.001583380592861748,0.037210487662523425,0,"0.02455,0.02632,0.03274,0.00158,0.03164,0.00498,0.02302,0.03721,0.03528"
core_diverse,presence,30,1.0,0.05,0.0,0.024146681354804342,0.0032865406677592204,0.049343500344906005,0,"0.02090,0.01987,0.02094,0.00329,0.02902,0.02184,0.01446,0.03766,0.04934"
core_diverse,presence,30,0.5,0.04,0.0,0.02413468650738139,0.003569550948853799,0.05200239349263658,0,"0.02019,0.02012,0.02012,0.00357,0.02617,0.02294,0.01446,0.03764,0.05200"
core_diverse,presence,30,2.0,0.08,0.0,0.024133409164504765,0.0025417487725047858,0.04463562122314613,0,"0.02351,0.01930,0.02217,0.00254,0.03421,0.01916,0.01372,0.03795,0.04464"
core_diverse,presence,30,1.6,0.06,0.2,0.024133140377609216,0.0030550318125738968,0.048116082018973466,0,"0.02177,0.01970,0.02123,0.00306,0.03041,0.02101,0.01414,0.03777,0.04812"
core_diverse,presence,30,0.5,0.04,0.2,0.024132318759265785,0.003615357687197389,0.05257744782400234,0,"0.02015,0.02017,0.01993,0.00362,0.02557,0.02312,0.01440,0.03765,0.05258"
core_diverse,presence,30,0.5,0.04,0.1,0.024127969853090736,0.003592454318025594,0.05228992065831943,0,"0.02012,0.02015,0.02003,0.00359,0.02587,0.02303,0.01443,0.03765,0.05229"
core_diverse,presence,30,1.3,0.05,0.0,0.024126807859047923,0.0031102149477854266,0.04784851243969884,0,"0.02110,0.01971,0.02137,0.00311,0.03065,0.02118,0.01447,0.03771,0.04785"
core_diverse,weight,30,2.0,0.06,0.0,0.024113908532839054,0.004734571981144478,0.03687778710864857,0,"0.02096,0.02124,0.02842,0.01855,0.02992,0.00473,0.02344,0.03688,0.03287"
core_diverse,rank,35,2.0,0.1,0.1,0.024106992456029843,0.0014102384862110101,0.039888456344040174,0,"0.02506,0.02428,0.03403,0.00141,0.03373,0.00231,0.02043,0.03989,0.03582"
core_diverse,presence,30,1.3,0.05,0.2,0.02408923126340475,0.0032307250784955194,0.04925434298165211,0,"0.02074,0.01984,0.02093,0.00323,0.02915,0.02165,0.01431,0.03770,0.04925"
core_diverse,presence,30,1.6,0.06,0.1,0.024085145909660457,0.0029620877090741626,0.04727088412766195,0,"0.02154,0.01962,0.02149,0.00296,0.03131,0.02066,0.01413,0.03778,0.04727"
core_diverse,presence,30,1.3,0.05,0.1,0.024081007170226224,0.0031597426332360193,0.04855142771067547,0,"0.02079,0.01977,0.02115,0.00316,0.02990,0.02138,0.01432,0.03770,0.04855"
core_diverse,rank,50,2.0,0.1,0.0,0.024076641921530077,0.0035322414808051233,0.040553010121757396,0,"0.02250,0.02152,0.03609,0.00375,0.03441,0.00353,0.01956,0.04055,0.03477"
core_diverse,presence,30,1.6,0.05,0.2,0.024069925886940256,0.003088368081384754,0.048116082018973466,0,"0.02090,0.01970,0.02123,0.00309,0.03041,0.02112,0.01429,0.03777,0.04812"
hybrid_plus_signal,rank,30,2.0,0.1,0.1,0.02406863187636677,0.001394504143737825,0.04267338934286034,0,"0.01532,0.02530,0.03704,0.00139,0.03258,0.00336,0.02294,0.04267,0.03601"
core_diverse,rank,30,1.6,0.08,0.1,0.02405089693498147,0.001583380592861748,0.037210487662523425,0,"0.02362,0.02632,0.03274,0.00158,0.03164,0.00504,0.02302,0.03721,0.03528"
core_diverse,presence,30,1.6,0.06,0.0,0.024038243943208734,0.0028691436055744424,0.04642568623635049,0,"0.02133,0.01954,0.02174,0.00287,0.03222,0.02030,0.01413,0.03779,0.04643"
core_diverse,weight,50,2.0,0.1,0.0,0.024037984416107376,0.002124950803267203,0.04173910140875875,0,"0.02440,0.02440,0.02975,0.01536,0.03242,0.00212,0.01941,0.04174,0.02673"
core_diverse,rank,30,2.0,0.08,0.2,0.024023204503639737,0.0012326583394542123,0.038076993595388145,0,"0.02323,0.02642,0.03285,0.00123,0.03229,0.00430,0.02274,0.03808,0.03507"
core_diverse,weight,40,2.0,0.1,0.0,0.02397560526107495,0.0016954032623096443,0.0425760077467028,0,"0.02378,0.02418,0.02970,0.01410,0.03217,0.00170,0.01988,0.04258,0.02770"
core_diverse,presence,30,2.0,0.06,0.0,0.023974771326590302,0.0026107801484628324,0.04463562122314613,0,"0.02150,0.01930,0.02217,0.00261,0.03421,0.01938,0.01400,0.03795,0.04464"
hybrid_plus_signal,rank,40,2.0,0.08,0.0,0.02397346742210962,0.0021241869506555544,0.04334515423606411,0,"0.01475,0.02550,0.03754,0.00241,0.03266,0.00212,0.02362,0.04335,0.03381"
