ogamma,opower,omax,rgamma,rpower,rmax,mean,min,max,neg,vals,reasons
3.0,3.0,0.1,1.5,3.0,0.08,0.04000206931316551,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03156,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,3.0,0.1,0.04000206931316551,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03156,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,2.0,0.08,0.03997065063891888,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,2.0,0.1,0.03997065063891888,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,1.5,0.06,0.03997018284314686,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,2.0,1.5,0.08,0.039941403308417764,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03290,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,2.0,1.5,0.1,0.039941403308417764,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03290,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,2.0,0.06,0.039927162798452334,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03089,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,1.5,0.08,0.03991535702340971,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03078,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,1.5,0.1,0.03991535702340971,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03078,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,1.5,0.06,0.03987941246497279,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03046,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,3.0,3.0,0.1,0.03984625724775285,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,3.0,0.1,0.03984625724775285,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03827,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,2.0,0.06,0.03984322952017774,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03013,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,3.0,3.0,0.06,0.03983587674096159,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.03007,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,1.5,0.06,0.03981194485328313,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02985,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,3.0,0.08,0.03979243679464257,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03156,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,3.0,0.1,0.03979243679464257,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03156,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,2.0,0.06,0.039786564966953764,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02962,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,2.0,3.0,0.06,0.039765818114471566,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02944,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,2.0,0.08,0.03976101812039593,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,2.0,0.1,0.03976101812039593,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,1.5,0.06,0.03976055032462392,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03128,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,3.0,2.0,0.08,0.03972822853178177,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,3.0,2.0,0.1,0.03972822853178177,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,2.0,0.08,0.03972822853178177,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,2.0,0.1,0.03972822853178177,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03721,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.5,3.0,0.06,0.03972154343170501,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02904,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,2.0,0.06,0.039717530279929386,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03089,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,1.5,0.08,0.03970572450488677,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03078,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,1.5,0.1,0.03970572450488677,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03078,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.08,3.0,3.0,0.08,0.03969869461191401,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03694,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,2.0,0.1,3.0,3.0,0.08,0.03969869461191401,0.02519179761525367,0.05670674440402112,0,"0.02519,0.02528,0.05671,0.04515,0.03148,0.04792,0.03694,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,2.0,1.5,0.06,0.03966977994644985,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03046,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,3.0,0.08,0.03965566372411097,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02845,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,3.0,0.1,0.03965566372411097,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02845,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,2.0,0.06,0.03964824069750486,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,2.0,0.08,0.03964824069750486,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,2.0,0.1,0.03964824069750486,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02838,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,2.0,2.0,0.06,0.039633597001654794,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03013,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,3.0,0.06,0.03963189711315876,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02823,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,3.0,3.0,0.06,0.03962624422243864,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.03007,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,1.5,0.06,0.039618050687307144,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,1.5,0.08,0.039618050687307144,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.1,1.0,1.5,0.1,0.039618050687307144,0.02519179761525367,0.06291022752387468,0,"0.02519,0.02528,0.06291,0.04515,0.03148,0.04982,0.02811,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
3.0,3.0,0.08,1.5,1.5,0.06,0.03960231233476018,0.02519179761525367,0.0610235348571682,0,"0.02519,0.02528,0.06102,0.04515,0.03148,0.04982,0.02985,0.04293,0.04569","base,base,overnight,base,base,overnight,ret1low,base,base"
