strategy,mean,median,min,max,neg
reweight_drawdown_20d_low_g1.5_p1.0,0.02413425001827407,0.023908348668899584,0.004896566555824294,0.04569432486630157,0
reweight_drawdown_20d_low_g1.5_p0.8,0.024105457001131904,0.023826418748031597,0.004745180635420274,0.0457830279373104,0
reweight_drawdown_20d_low_g1.5_p1.5,0.023971763977511416,0.02355840544938201,0.005237207898979149,0.045302493932645654,0
reweight_drawdown_20d_low_g1.0_p1.0,0.02391946517735823,0.02272930161945161,0.004745635602259601,0.045302241812530175,0
reweight_drawdown_20d_low_g1.0_p0.8,0.023892522732592337,0.022611875378602653,0.004608830210779104,0.04538255808874489,0
reweight_ret_5d_low_g1.5_p0.8,0.02386863604006065,0.024694418907766122,0.0038666700283777333,0.04692468381110135,0
reweight_drawdown_20d_low_g1.5_p2.0,0.023816759380385397,0.02287168310512029,0.005539748116493902,0.04495646370210871,0
reweight_drawdown_20d_low_g1.0_p1.5,0.023808592445030016,0.02244675080927465,0.005017325455528965,0.04501302096401873,0
reweight_ret_5d_low_g1.5_p1.0,0.023784954040085945,0.02470746085122552,0.003845095610331091,0.04635886793760205,0
reweight_close_over_ma60_low_g1.5_p1.5,0.02377330781018732,0.021177994779318074,0.0055720009350044425,0.04447862537211415,0
reweight_drawdown_20d_low_g0.8_p1.0,0.023771579916196446,0.02204780033427778,0.004654131068672719,0.045134931791631736,0
reweight_drawdown_20d_low_g0.8_p0.8,0.023761706810651827,0.021968619784463017,0.004534781216284076,0.04520699189824198,0
reweight_close_over_ma60_low_g1.5_p2.0,0.023709747975165247,0.020820788521026867,0.005549374425365267,0.044466428601374564,0
reweight_close_over_ma60_low_g1.5_p1.0,0.023704995097578768,0.02146679077649452,0.005443673643701824,0.044478298554310666,0
reweight_drawdown_20d_low_g0.8_p1.5,0.023690939958638742,0.021891143739012936,0.004900480455534081,0.04489384612272043,0
reweight_drawdown_20d_low_g1.0_p2.0,0.023685948106581117,0.021922344658863918,0.005251842912391183,0.04477365168853045,0
reweight_ret_5d_low_g1.0_p0.8,0.023685878667584967,0.024578849639726494,0.003887060967636427,0.04614501550228661,0
reweight_ret_5d_low_g1.0_p1.0,0.023620051670546118,0.024623589371940924,0.003874137959630569,0.04574047325158988,0
reweight_close_over_ma60_low_g1.5_p0.8,0.0236140548277355,0.0216616302491785,0.005317329513850305,0.04441330634998719,0
reweight_ret_5d_low_g1.5_p1.5,0.023603702078346372,0.024705857381512902,0.00377698832750252,0.04541597229974961,0
reweight_drawdown_20d_low_g0.8_p2.0,0.02359372683453804,0.02151836419580147,0.005100913455612227,0.04469947291903825,0
reweight_close_over_ma60_low_g1.0_p1.5,0.023582624166794457,0.02076322316233506,0.005239693670187062,0.044473898902249884,0
reweight_ret_5d_low_g0.8_p0.8,0.02356166727665313,0.02433701285236406,0.003898068184841924,0.04581786587354088,0
reweight_close_over_ma60_low_g1.0_p1.0,0.023560431677407696,0.0210267369316392,0.00516207564568634,0.0444650086943502,0
reweight_close_over_ma20_low_g1.5_p1.5,0.02354664769926221,0.021356117716712128,0.00497483521967608,0.04449299493964087,0
reweight_close_over_ma20_low_g1.5_p1.0,0.02354091712456277,0.021932450543865917,0.004709379673020174,0.04464386703791409,0
reweight_close_over_ma20_low_g1.5_p2.0,0.023537451485922053,0.02106737006839618,0.005209657832013187,0.04443627487753646,0
reweight_ret_5d_low_g1.5_p2.0,0.02353276965984679,0.024807820604273556,0.0037328572293863632,0.04495285400328014,0
reweight_ret_60d_low_g1.5_p1.0,0.02353254902520768,0.021559632075881047,0.0029412274459415313,0.04496152991525229,0
reweight_close_over_ma60_low_g1.0_p2.0,0.023528415890407346,0.020504406563393376,0.005208902313221596,0.044465723204648214,0
reweight_drawdown_20d_low_g0.5_p0.8,0.023527196434294993,0.020874364096566456,0.004390190606750048,0.04492480926208048,0
reweight_drawdown_20d_low_g0.5_p1.0,0.02352366174917321,0.020908696632386314,0.0044764557463567445,0.04487163881120121,0
reweight_ret_60d_low_g1.5_p1.5,0.023523200283877402,0.020144975039383284,0.0028983365998943647,0.045012263700246746,0
reweight_ret_5d_low_g0.8_p1.0,0.023522716888667722,0.024685259802593826,0.0038869235118656753,0.04548490319002463,0
