strategy,mean,min,median,max,neg
overlay,0.024283201881242666,0.004896566555824246,0.02390834866889953,0.0456943248663014,0
overlay_0.95+adaptive_0.05,0.024220728180910072,0.004847132706808657,0.02364836554212335,0.04563282392750179,0
overlay_0.90+adaptive_0.10,0.024158254480577047,0.004797698857793027,0.02338838241534716,0.0455713229886979,0
overlay_0.85+adaptive_0.15,0.02409578078024356,0.004748265008777397,0.023128399288570953,0.04550982204988993,0
overlay_0.80+adaptive_0.20,0.02403330707990963,0.004698831159761774,0.022868416161794747,0.04544832111107788,0
overlay_0.75+adaptive_0.25,0.023970833379575233,0.004649397310746144,0.022608433035018527,0.04538682017226173,0
overlay_0.95+scoreprop30_0.05,0.023943144310160525,0.004658939946533533,0.02312033665215317,0.04502446922273931,0
overlay_0.70+adaptive_0.30,0.02390835967924039,0.004599963461730507,0.02234844990824232,0.04532531923344152,0
overlay_0.95+scoreprop40_0.05,0.02388074440037227,0.004732352485353003,0.0233266886716903,0.045165467041222096,0
overlay0.90+adaptive0.05+scoreprop300.05,0.023879817651626622,0.0046100193041933996,0.02285884874220248,0.04496236392072381,0
overlay_0.95+guarded_v2_0.05,0.023854533732945823,0.004921700421529007,0.02280067645322581,0.04561641317383122,0
overlay_0.95+guarded_0.05,0.023823522372410085,0.004905481391382652,0.022808432155316208,0.045611066038500014,0
overlay0.90+adaptive0.05+scoreprop400.05,0.02381813557003563,0.004682808661279195,0.02306629421130138,0.045103849920452715,0
overlay_0.95+scoreprop50_0.05,0.02379891333136976,0.0048026475005762265,0.023522240588096294,0.04513138390927693,0
overlay0.90+adaptive0.05+guarded_v20.05,0.023792060032626017,0.00487226657251337,0.022540693326449562,0.04555491223514638,0
overlay_0.60+adaptive_0.40,0.023783412278569345,0.004501095763699253,0.021828483654689923,0.04520231735578882,0
overlay0.90+adaptive0.05+guarded0.05,0.023761048672080867,0.004856047542367042,0.022548449028540002,0.04554956509973036,0
overlay0.80+adaptive0.15+scoreprop300.05,0.023753797554906576,0.004510136796129285,0.022335872922301103,0.04483815331668847,0
overlay0.90+adaptive0.05+scoreprop500.05,0.02373643946212047,0.004753213651560589,0.023262257461320074,0.045069881450151894,0
overlay_0.95+aggressive_0.05,0.02373521068907478,0.004905481391382652,0.022808432155316208,0.045611066038500014,0
overlay_0.95+target3_0.05,0.023712913810822214,0.00546134284602693,0.02222309763107469,0.04486630624342017,0
overlay_0.95+balanced_0.05,0.023705461551915157,0.005061471301014878,0.022915242767906657,0.04532091861411994,0
overlay0.80+adaptive0.15+scoreprop400.05,0.023692917508252694,0.004583721013131599,0.02254550529052357,0.04498061567891132,0
overlay0.90+adaptive0.05+aggressive0.05,0.023672736988745557,0.004856047542367042,0.022548449028540002,0.04554956509973036,0
overlay0.80+adaptive0.15+guarded_v20.05,0.02366711263198524,0.004773398874482124,0.02202072707289715,0.04543191035776617,0
overlay_0.50+adaptive_0.50,0.02365846487789647,0.004402228065667993,0.021308517401137456,0.045079315478119775,0
overlay0.90+adaptive0.05+target30.05,0.02365044011048726,0.005411908997011314,0.021963114504298456,0.04480480530459896,0
overlay0.90+adaptive0.05+balanced0.05,0.023642987851608937,0.0050120374519992544,0.022655259641130437,0.0452594176755573,0
overlay0.80+adaptive0.15+guarded0.05,0.023636101271421503,0.004757179844335782,0.022028482774987576,0.045426563222182886,0
overlay0.80+adaptive0.15+scoreprop500.05,0.02361149172362183,0.004654345953529329,0.022742291207767634,0.04494687653190134,0
overlay_0.90+scoreprop30_0.10,0.023596500513669502,0.004414492850429122,0.022323149497501096,0.0443413177144933,0
overlay0.90+guarded_v20.05+scoreprop300.05,0.023558533602191352,0.004686847127456789,0.021987379691685627,0.04494579189993299,0
overlay0.80+adaptive0.15+aggressive0.05,0.02354778958808619,0.004757179844335782,0.022028482774987576,0.045426563222182886,0
overlay0.90+scoreprop300.05+scoreprop400.05,0.023536859723652458,0.004486270210271537,0.02255036168986964,0.044491104719358576,0
overlay0.90+guarded0.05+scoreprop300.05,0.023527694629476303,0.00467046167748017,0.02199515602469837,0.04493756603467902,0
overlay0.80+adaptive0.15+target30.05,0.023525492709817214,0.0053130412989800535,0.021443148250746044,0.044681803426955324,0
overlay0.80+adaptive0.15+balanced0.05,0.023518040450996067,0.004913169753967994,0.022135293387578026,0.04513641579842825,0
overlay_0.90+scoreprop40_0.10,0.023475811766921546,0.00456740613452726,0.022743185205241934,0.04463460729143916,0
overlay0.80+adaptive0.10+scoreprop300.10,0.02347263233310469,0.004316750232218669,0.0217992392858197,0.04424453724239484,0
overlay0.90+scoreprop300.05+scoreprop500.05,0.023468163818677473,0.004586144479241279,0.0226883152251907,0.044420062355273154,0
overlay0.90+guarded_v20.05+scoreprop400.05,0.023460557616929827,0.004758388298620804,0.02220837605444259,0.04508740816487408,0
overlay0.90+aggressive0.05+scoreprop300.05,0.023439382946140994,0.00467046167748017,0.02199515602469837,0.04493756603467902,0
overlay0.90+guarded0.05+scoreprop400.05,0.023429429731052547,0.00474213866988038,0.022216137716607673,0.04508205092820783,0
overlay_0.90+guarded_v2_0.10,0.023425865584649,0.004946834287233734,0.021693004237551994,0.04553850148136086,0
overlay0.90+balanced0.05+scoreprop300.05,0.023407557931534387,0.00482755429148711,0.02209590824346061,0.04464321748621898,0
overlay0.90+scoreprop400.05+scoreprop500.05,0.02339776697938784,0.004634336622994506,0.02290035920947639,0.04457834856059137,0
overlay0.90+guarded_v20.05+guarded0.05,0.02339485422411324,0.0049306152570873785,0.021700759939642433,0.04553315434602956,0
overlay0.90+target30.05+scoreprop300.05,0.023382267326654806,0.005153290498201096,0.021394674995845492,0.04411357121009227,0
overlay0.90+guarded_v20.05+scoreprop500.05,0.023370232349640214,0.004827781366280932,0.022414568372422533,0.0450534702908237,0
overlay_0.90+guarded_0.10,0.023363842863577407,0.004914396226941044,0.021708515641732845,0.045527807210698434,0
