as_of,idx_ret_5d,idx_ret_20d,breadth,factor,direction,gamma,power,max_weight,base,excess,delta
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.0,0.04,0.00709507757433531,0.00616233920313539,-0.0009327383711999204
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.0,0.05,0.00709507757433531,0.0063166803777878235,-0.0007783971965474867
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.0,0.06,0.00709507757433531,0.0063166803777878235,-0.0007783971965474867
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.0,0.08,0.00709507757433531,0.0063166803777878235,-0.0007783971965474867
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.0,0.1,0.00709507757433531,0.0063166803777878235,-0.0007783971965474867
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.5,0.04,0.00709507757433531,0.006295749881699498,-0.0007993276926358123
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.5,0.05,0.00709507757433531,0.006446810450380744,-0.0006482671239545663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.5,0.06,0.00709507757433531,0.006446810450380744,-0.0006482671239545663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.5,0.08,0.00709507757433531,0.006446810450380744,-0.0006482671239545663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,1.5,0.1,0.00709507757433531,0.006446810450380744,-0.0006482671239545663
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,2.0,0.04,0.00709507757433531,0.006376690347541469,-0.0007183872267938415
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,2.0,0.05,0.00709507757433531,0.006540551738811608,-0.0005545258355237025
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,2.0,0.06,0.00709507757433531,0.006540551738811608,-0.0005545258355237025
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,2.0,0.08,0.00709507757433531,0.006540551738811608,-0.0005545258355237025
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,2.0,0.1,0.00709507757433531,0.006540551738811608,-0.0005545258355237025
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,3.0,0.04,0.00709507757433531,0.006473512299245431,-0.000621565275089879
20260130,-0.02556947095085227,0.12121586364290282,0.2725450901803607,ret_1d,low,0.5,3.0,0.05,0.00709507757433531,0.006671699629563162,-0.0004233779447721485
