as_of,baseline_xgb,gated_layered_lstm,lightgbm,lstm_rank_weight,tuned_xgb,idx_ret_1d,idx_ret_3d,idx_ret_5d,idx_ret_10d,idx_ret_20d,idx_vol_20d,breadth_ret_5d_pos,dispersion_ret_5d,median_ret_5d,median_ret_20d,median_vol_20d
2026-03-26,-0.00327,-0.01165,0.00249,-0.01043,-0.01165,-0.01616122734438208,0.027065166189675915,-0.029828274146924794,-0.08581187902776632,-0.10693734971747826,0.018556619287442445,0.218436873747495,0.05543807836807183,-0.03430079155672816,-0.10781249999999998,0.02661617813253819
2026-04-02,-0.001,0.00359,-0.00779,0.00253,0.00359,-0.018683520144018972,-0.019143061984546073,-0.00482025299229405,-0.03450474731150721,-0.08471097778587067,0.01746873123214241,0.46586345381526106,0.06231171019143978,-0.0031875749845840518,-0.07358624708624711,0.02499326122423521
2026-04-10,0.0183,0.02634,0.02285,0.00053,0.02634,0.008954967270918823,0.052601791203431114,0.04787087098419485,0.04281986828279538,-0.04666646410203901,0.020929032490093626,0.7329317269076305,0.05922385950086762,0.02264375490830317,-0.058037782926394554,0.02709042503919005
2026-04-17,0.0116999999999999,0.01837,0.01133,-0.00361,0.01837,0.00417012934589156,0.015531177393677265,0.03072126825663024,0.08006279311000908,0.04279549935318738,0.019690645365876253,0.6492985971943888,0.05755414460615136,0.01318944844124692,0.0008629481446615905,0.026835929459002563
2026-04-24,0.03189,0.0148399999999999,0.01218,0.05574,0.0148399999999999,-0.005705825062593428,-0.0027146447776489335,0.0041004631738672526,0.03494770285963811,0.07926402717566972,0.015255787735680535,0.3907815631262525,0.058841124608047975,-0.010408921933085402,0.027638190954773822,0.023973650923205893
