kind,key,lam_current,mean,min,max,neg,vals
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.9500000000000001,0.06645932520898114,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03454,0.04546,0.07761,0.06517,0.05696,0.06895,0.06776,0.06415,0.08130"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.9500000000000001,0.06638625276132996,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03447,0.04480,0.07761,0.06517,0.05696,0.06895,0.06760,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.9,0.06638535281301707,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03448,0.04546,0.07761,0.06517,0.05696,0.06895,0.06693,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.8500000000000001,0.06631138041705299,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03443,0.04546,0.07761,0.06517,0.05696,0.06895,0.06609,0.06415,0.08130"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.9,0.06623920791771475,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03436,0.04415,0.07761,0.06517,0.05696,0.06895,0.06661,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.8,0.06623740802108892,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03437,0.04546,0.07761,0.06517,0.05696,0.06895,0.06526,0.06415,0.08130"
pair,stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.0662035398341447,0.034305469361251444,0.13492134089422417,0,"0.03431,0.06419,0.13492,0.03447,0.04480,0.07761,0.06517,0.05696,0.06895,0.06760,0.06415,0.08130"
pair,stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,0.75,0.06616343562512483,0.034305469361251444,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03432,0.04546,0.07761,0.06517,0.05696,0.06895,0.06443,0.06415,0.08130"
pair,stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,0.9500000000000001,0.06615503175623531,0.034305469361251444,0.13492134089422417,0,"0.03431,0.06361,0.13492,0.03447,0.04480,0.07761,0.06517,0.05696,0.06895,0.06760,0.06415,0.08130"
pair,stage2_final_confidence_12w_20260509_summary_detail:hybrid_gate,0.9500000000000001,0.06612907266406229,0.03423483719694167,0.13492134089422417,0,"0.03423,0.06361,0.13492,0.03447,0.04480,0.07761,0.06517,0.05696,0.06895,0.06760,0.06391,0.08130"
pair,stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,0.8500000000000001,0.06609216307409951,0.034239105707539276,0.13711389602044738,0,"0.03431,0.06419,0.13711,0.03424,0.04349,0.07761,0.06517,0.05696,0.06895,0.06561,0.06415,0.08130"
