as_of,start,end,cached_source,future_price_rows_available,future_index_rows_available,final_route,same_codes,max_abs_weight_diff,sum_abs_weight_diff,left_names,right_names,leak_check_pass,portfolio_return,benchmark_return,excess_return
2026-02-13,2026-02-24,2026-03-02,submissions/stage2/backtests/probes/factor_ic_dampen_12w_20260510/hybrid_gate_factor_ic_dampen_20260213.csv,24917,50,factor_route,True,9.71445146547012e-17,1.687614891582312e-15,30,30,True,0.18033882835140125,0.04322493233095415,0.1371138960204471
2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/probes/factor_ic_dampen_12w_20260510/hybrid_gate_factor_ic_dampen_20260302.csv,22428,45,factor_route,True,6.938893903907228e-17,1.0221858082193336e-15,30,30,True,-0.010265657661041327,-0.043755877285399314,0.033490219624357984
2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/probes/factor_ic_dampen_12w_20260510/hybrid_gate_factor_ic_dampen_20260309.csv,19942,40,factor_route,True,9.367506770274758e-17,1.6796460056145435e-15,40,40,True,0.03406391082727295,-0.011393105437406015,0.04545701626467896
2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/probes/factor_ic_dampen_12w_20260510/hybrid_gate_factor_ic_dampen_20260414.csv,7485,15,factor_route,True,6.938893903907228e-17,1.0221858082193336e-15,30,30,True,0.07441081262777732,0.022470971070408075,0.05193984155736925
2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/probes/factor_ic_dampen_12w_20260510/hybrid_gate_factor_ic_dampen_20260428.csv,2495,5,tree_consensus_drawdown_overlay_regime_alpha_secondary_alpha_final_confidence_alpha,True,9.71445146547012e-17,1.1529405902210854e-15,30,30,True,0.14105509072206932,0.05975284377875534,0.08130224694331398
