n,topk,power,mix_agg,mean,min,max,neg,keys,vals
6,30,2.5,0.25,0.07027934038831198,0.03627478272502424,0.14894755380704205,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03627,0.06231,0.14895,0.03764,0.04127,0.07353,0.06806,0.06703,0.08060,0.07495,0.07021,0.08254"
8,30,2.5,0.0,0.07009135772787943,0.036682056957204875,0.15135124671087116,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap|stage2_final_confidence_12w_20260509_summary_detail:hybrid_gate|stage2_shapegrid_regularized_12w_20260509_summary_detail:hybrid_gate,"0.03728,0.06007,0.15135,0.03681,0.03668,0.07225,0.06856,0.07070,0.08459,0.06905,0.07125,0.08250"
3,30,2.5,0.25,0.07009021879395827,0.037781017437461775,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03778,0.06418,0.14214,0.04074,0.04328,0.07353,0.06806,0.06703,0.08060,0.07099,0.07021,0.08254"
2,40,2.5,0.0,0.07006158763727167,0.036390068364422615,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03639,0.06418,0.14351,0.04345,0.04248,0.07212,0.05586,0.07017,0.08454,0.07292,0.07218,0.08295"
2,35,2.5,0.25,0.06996193086306508,0.037774596702229254,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03777,0.06418,0.14214,0.04355,0.04289,0.07353,0.06308,0.06703,0.08060,0.07203,0.07021,0.08254"
2,30,2.5,0.5,0.06969902786338554,0.03844494247492086,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate,"0.03844,0.06419,0.14061,0.04358,0.04519,0.07493,0.06757,0.06380,0.07669,0.07110,0.06818,0.08212"
3,40,2.5,0.0,0.06968400093566544,0.034981364769774786,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03498,0.06418,0.14351,0.04033,0.04248,0.07212,0.05586,0.07017,0.08454,0.07292,0.07218,0.08295"
4,35,2.5,0.25,0.06964890554339086,0.03603207674522478,0.14213790035769594,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03603,0.06418,0.14214,0.03936,0.04490,0.07353,0.06308,0.06703,0.08060,0.07219,0.07021,0.08254"
4,40,2.5,0.0,0.06955206520685404,0.03447504096226851,0.14350562861655283,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03448,0.06418,0.14351,0.03976,0.04433,0.07212,0.05586,0.07017,0.08454,0.07056,0.07218,0.08295"
4,30,2.5,0.5,0.06953550594942919,0.0371954766898606,0.14060971806655914,0,stage2_alpha_feature_route_v2_12w_20260510_summary_detail:hybrid_gate|stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03720,0.06419,0.14061,0.03942,0.04671,0.07493,0.06757,0.06380,0.07669,0.07302,0.06818,0.08212"
