as_of,start,end,cached_source,future_price_rows_available,future_index_rows_available,final_route,same_codes,max_abs_weight_diff,sum_abs_weight_diff,left_names,right_names,leak_check_pass,portfolio_return,benchmark_return,excess_return
2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_hybrid_gate_regularized_top30_12w_20260509/hybrid_gate_20260302.csv,22428,45,regularized_consensus_route_alpha,True,9.71445146547012e-17,1.5577816814271728e-15,30,30,True,-0.011988540971706233,-0.043755877285399314,0.03176733631369308
2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_hybrid_gate_regularized_top30_12w_20260509/hybrid_gate_20260309.csv,19942,40,regularized_consensus_route_alpha,True,9.020562075079397e-17,1.259409243559162e-15,30,30,True,0.020808409998388795,-0.011393105437406015,0.03220151543579481
