heldout,winner_by_train,train_v1,train_v2,heldout_v1,heldout_v2,heldout_delta
2026-01-30,v2,0.05476727272727271,0.05937454545454545,0.02235,0.03289,0.010540000000000004
2026-02-06,v2,0.05379727272727271,0.05766181818181817,0.03302,0.05173,0.018709999999999997
2026-02-13,v2,0.048320909090909074,0.05388636363636363,0.09326,0.09326,0.0
2026-03-02,v2,0.05407272727272725,0.05963818181818181,0.02999,0.02999,0.0
2026-03-09,v2,0.05426181818181817,0.05982727272727272,0.02791,0.02791,0.0
2026-03-16,v2,0.05015999999999998,0.05572545454545454,0.07303,0.07303,0.0
2026-03-23,v2,0.050874545454545436,0.05644,0.06517,0.06517,0.0
2026-03-30,v2,0.05356272727272726,0.05719272727272726,0.0356,0.05689,0.021290000000000003
2026-04-07,v2,0.05067545454545453,0.056240909090909084,0.06736,0.06736,0.0
2026-04-14,v2,0.052399999999999995,0.057965454545454535,0.04839,0.04839,0.0
2026-04-21,v2,0.05237545454545455,0.05696999999999999,0.0486599999999999,0.05934,0.0106800000000001
2026-04-28,v2,0.049521818181818174,0.05508727272727272,0.08005,0.08005,0.0
