as_of,start,end,final_route,factor,direction,active_layer,realized_target_excess_5d_rank_ic,top30_target_excess_5d_mean,universe_target_excess_5d_mean,top30_target_excess_5d_spread,trailing_target_excess_5d_ic_mean,trailing_target_excess_5d_ic_std,trailing_target_excess_5d_icir,trailing_target_excess_5d_ic_pos_rate,trailing_target_excess_5d_days,trailing_top30_target_excess_5d_spread_mean,realized_target_5d_rank_ic,top30_target_5d_mean,universe_target_5d_mean,top30_target_5d_spread,trailing_target_5d_ic_mean,trailing_target_5d_ic_std,trailing_target_5d_icir,trailing_target_5d_ic_pos_rate,trailing_target_5d_days,trailing_top30_target_5d_spread_mean
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,intraday_mean_5d,high,,-0.1590585661982832,-0.031399061142080735,0.010123917984313608,-0.04152297912639434,-0.01190642224204765,0.13891807909566783,-0.08570822688851125,0.48333333333333334,60,0.010277529921599759,-0.1590585661982832,-0.058172427671280884,-0.01664944854488654,-0.04152297912639434,-0.01190642224204765,0.13891807909566783,-0.08570822688851125,0.48333333333333334,60,0.010277529921599759
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,intraday_mean_5d,low,,0.1590585661982832,0.03015153613854522,0.010123917984313608,0.02002761815423161,0.01190642224204765,0.13891807909566783,0.08570822688851125,0.5166666666666667,60,0.0030697841127205958,0.1590585661982832,0.003378169609345072,-0.01664944854488654,0.02002761815423161,0.01190642224204765,0.13891807909566783,0.08570822688851125,0.5166666666666667,60,0.0030697841127205953
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,obv_20d,high,,-0.2027938482066647,-0.013399688572784722,0.010123917984313608,-0.023523606557098328,-0.006075992703325234,0.1323692538920225,-0.04590184294822421,0.48333333333333334,60,0.0015616850956649076,-0.2027938482066647,-0.04017305510198487,-0.01664944854488654,-0.02352360655709833,-0.006075992703325234,0.1323692538920225,-0.04590184294822421,0.48333333333333334,60,0.001561685095664908
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,obv_20d,low,,0.2027938482066647,0.02041944652843441,0.010123917984313608,0.010295528544120804,0.006075992703325234,0.1323692538920225,0.04590184294822421,0.5166666666666667,60,-0.004225747891292501,0.2027938482066647,-0.006353920000765737,-0.01664944854488654,0.010295528544120802,0.006075992703325234,0.1323692538920225,0.04590184294822421,0.5166666666666667,60,-0.004225747891292502
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,ret_min_20d,high,,0.27356047283500146,0.022406509123693567,0.010123917984313608,0.01228259113937996,-0.025923486130565897,0.20590310042199833,-0.1259013879705343,0.4666666666666667,60,-0.009163185265609232,0.27356047283500146,-0.004366857405506582,-0.01664944854488654,0.012282591139379958,-0.025923486130565897,0.20590310042199833,-0.1259013879705343,0.4666666666666667,60,-0.009163185265609235
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,ret_min_20d,low,,-0.27356047283500146,-0.02315417863305269,0.010123917984313608,-0.0332780966173663,0.025923486130565897,0.20590310042199833,0.1259013879705343,0.5333333333333333,60,-0.0011018067599623293,-0.27356047283500146,-0.04992754516225283,-0.01664944854488654,-0.03327809661736629,0.025923486130565897,0.20590310042199833,0.1259013879705343,0.5333333333333333,60,-0.001101806759962329
2026-03-02,2026-03-03,2026-03-09,factor_route,intraday_mean_5d,high,,-0.043398432554306546,-0.009355133337054844,0.007984007182281826,-0.01733914051933667,-0.021084377933495786,0.1438753034486369,-0.1465461926273042,0.45,60,0.009634180694892965,-0.043398432554306546,-0.05311101062245416,-0.035771870103117484,-0.017339140519336674,-0.021084377933495786,0.1438753034486369,-0.1465461926273042,0.45,60,0.009634180694892965
2026-03-02,2026-03-03,2026-03-09,factor_route,intraday_mean_5d,low,,0.043398432554306546,0.008198633892180044,0.007984007182281826,0.00021462670989821735,0.021084377933495786,0.1438753034486369,0.1465461926273042,0.55,60,0.006545601576479497,0.043398432554306546,-0.035557243393219265,-0.035771870103117484,0.00021462670989821908,0.021084377933495786,0.1438753034486369,0.1465461926273042,0.55,60,0.006545601576479495
2026-03-02,2026-03-03,2026-03-09,factor_route,obv_20d,high,,0.04733592465340705,0.023614019517189343,0.007984007182281826,0.015630012334907517,0.0005125804950720236,0.12207232163098808,0.004198990305283954,0.48333333333333334,60,-0.0007700619190771164,0.04733592465340705,-0.02014185776820997,-0.035771870103117484,0.015630012334907514,0.0005125804950720236,0.12207232163098808,0.004198990305283954,0.48333333333333334,60,-0.0007700619190771156
2026-03-02,2026-03-03,2026-03-09,factor_route,obv_20d,low,,-0.04733592465340705,0.005054915032402896,0.007984007182281826,-0.0029290921498789308,-0.0005125804950720236,0.12207232163098808,-0.004198990305283954,0.5166666666666667,60,-0.004411330221934874,-0.04733592465340705,-0.038700962252996414,-0.035771870103117484,-0.00292909214987893,-0.0005125804950720236,0.12207232163098808,-0.004198990305283954,0.5166666666666667,60,-0.004411330221934875
2026-03-02,2026-03-03,2026-03-09,factor_route,ret_min_20d,high,,0.28736387691384924,0.03315511255569019,0.007984007182281826,0.025171105373408362,-0.07145607622982686,0.1966551499727154,-0.363357258834772,0.35,60,-0.012973054851902286,0.28736387691384924,-0.010600764729709127,-0.035771870103117484,0.02517110537340836,-0.07145607622982686,0.1966551499727154,-0.363357258834772,0.35,60,-0.012973054851902286
2026-03-02,2026-03-03,2026-03-09,factor_route,ret_min_20d,low,,-0.28736387691384924,-0.0006844380332025464,0.007984007182281826,-0.008668445215484372,0.07145607622982686,0.1966551499727154,0.363357258834772,0.65,60,-0.0016672002038083816,-0.28736387691384924,-0.044440315318601854,-0.035771870103117484,-0.00866844521548437,0.07145607622982686,0.1966551499727154,0.363357258834772,0.65,60,-0.0016672002038083816
