variant,as_of,excess_return,portfolio_return,benchmark_return,n_names,max_weight
base,2026-01-30,0.03289282607505589,0.006119459545855747,-0.02677336652920015,30,0.0999999999999999
base,2026-02-06,0.05255272825412087,0.07135511404035581,0.018802385786234943,30,0.1
base,2026-04-21,0.05933547439464271,0.05131088238032455,-0.008024592014318155,30,0.1
base,2026-04-28,0.08130224694331398,0.14105509072206932,0.05975284377875534,30,0.1
adaptive_cap,2026-01-30,0.03430546936125144,0.007532102832051285,-0.02677336652920015,30,0.1
adaptive_cap,2026-02-06,0.05255272825412087,0.07135511404035581,0.018802385786234943,30,0.1
adaptive_cap,2026-04-21,0.06415301322997398,0.056128421215655824,-0.008024592014318155,30,0.1
adaptive_cap,2026-04-28,0.08130224694331398,0.14105509072206932,0.05975284377875534,30,0.1
