model,mean,sum,median,min,max,count,negative_windows
hybrid_gate_no_secondary,0.049945833333333335,0.59935,0.0428,0.02235,0.09326000000000001,12,0
hybrid_gate_no_route,0.049778333333333334,0.59734,0.04677,0.02235,0.09326000000000001,12,0
hybrid_gate_no_liquidity,0.047087500000000004,0.56505,0.045660000000000006,0.02222,0.08005000000000001,12,0
hybrid_gate_no_regime,0.0388475,0.46617,0.03559,0.01083,0.06938,12,0
hybrid_gate_no_alpha,0.027480833333333333,0.32977,0.025235,0.0070999999999999995,0.04569,12,0
