variant,mean,min,max,count
cap08,0.0566244839335706,0.03430546936125144,0.07564013961508942,4
cap06,0.0565672271289563,0.03432320778019043,0.07607661319205247,4
base,0.05652081891678336,0.03289282607505589,0.08130224694331398,4
top30_rank20_cap06,0.056202504031218375,0.03390338013474942,0.07543079007272241,4
top35_cap06,0.052912789489314244,0.03405768101626538,0.0727084985580031,4
