alpha_open_lgb,mean,min,max,negative_windows,scores
0.0,0.011523252707665124,-0.0032737534644837318,0.031892421560715215,2,"[-0.0032737534644837318, -0.0010026604446416107, 0.018297963651857964, 0.011702292234877783, 0.031892421560715215]"
0.1,0.011550184081373923,-0.0035790675741446502,0.02951556507104916,1,"[-0.0035790675741446502, 3.820657056662069e-05, 0.018763176717032627, 0.013013039622365854, 0.02951556507104916]"
0.2,0.011577115455082715,-0.003884381683805567,0.027138708581383064,1,"[-0.003884381683805567, 0.0010790735857748868, 0.01922838978220727, 0.014323787009853924, 0.027138708581383064]"
0.3,0.011604046828791504,-0.004189695793466482,0.024761852091716968,1,"[-0.004189695793466482, 0.002119940600983111, 0.019693602847381933, 0.015634534397341988, 0.024761852091716968]"
0.4,0.0116309782025003,-0.0044950099031274005,0.022384995602050914,1,"[-0.0044950099031274005, 0.0031608076161913565, 0.020158815912556582, 0.01694528178483005, 0.022384995602050914]"
0.5,0.011657909576209097,-0.004800324012788312,0.02062402897773124,1,"[-0.004800324012788312, 0.004201674631399595, 0.02062402897773124, 0.018256029172318125, 0.02000813911238484]"
0.6,0.011684840949917893,-0.005105638122449234,0.021089242042905867,1,"[-0.005105638122449234, 0.005242541646607847, 0.021089242042905867, 0.0195667765598062, 0.01763128262271879]"
0.7,0.011711772323626687,-0.005410952232110149,0.02155445510808053,1,"[-0.005410952232110149, 0.006283408661816092, 0.02155445510808053, 0.020877523947294262, 0.015254426133052695]"
0.8,0.011738703697335488,-0.005716266341771067,0.022188271334782322,1,"[-0.005716266341771067, 0.007324275677024358, 0.022019668173255187, 0.022188271334782322, 0.012877569643386634]"
0.9,0.011765635071044282,-0.006021580451431986,0.02349901872227039,1,"[-0.006021580451431986, 0.00836514269223259, 0.02248488123842985, 0.02349901872227039, 0.010500713153720559]"
1.0,0.011792566444753075,-0.006326894561092903,0.024809766109758456,1,"[-0.006326894561092903, 0.009406009707440842, 0.022950094303604493, 0.024809766109758456, 0.00812385666405449]"
