feature,mean_ic,abs_mean_ic,std_ic,ir,pos_rate,n_days
amplitude_ma_20d,-0.05045585703120681,0.05045585703120681,0.2414872986019162,-0.20893793306360461,0.4156545209176788,741
amplitude_ma_20d_rank,-0.05045585703120681,0.05045585703120681,0.2414872986019162,-0.20893793306360461,0.4156545209176788,741
high_low_range,-0.04853922188300809,0.04853922188300809,0.18621132617757957,-0.2606673980532109,0.37582128777923784,761
vol_20d,-0.04583208537217428,0.04583208537217428,0.23219760008667376,-0.19738397535060173,0.41700404858299595,741
vol_20d_rank,-0.04583208537217428,0.04583208537217428,0.23219760008667376,-0.19738397535060173,0.41700404858299595,741
vol_5d,-0.042143996514392004,0.042143996514392004,0.18867112937192754,-0.2233727897557137,0.4087301587301587,756
turnover_ma_20d,-0.03569345448640762,0.03569345448640762,0.2295193709760741,-0.155513908627664,0.4326145552560647,742
close_over_ma60,-0.03260897720960504,0.03260897720960504,0.2029017936401393,-0.16071310472138386,0.4586894586894587,702
ret_10d,-0.03056236867924048,0.03056236867924048,0.1784408669963266,-0.17127449105982187,0.41145139813581894,751
close_over_ma20,-0.030327122537825924,0.030327122537825924,0.18027915026316632,-0.16822312781809232,0.42452830188679247,742
ret_20d,-0.02907966739570493,0.02907966739570493,0.18769339898942153,-0.15493175333879983,0.44534412955465585,741
ret_20d_rank,-0.02907966739570493,0.02907966739570493,0.18769339898942153,-0.15493175333879983,0.44534412955465585,741
excess_ret_20d,-0.02907966739570493,0.02907966739570493,0.18769339898942153,-0.15493175333879983,0.44534412955465585,741
excess_ret_20d_rank,-0.02907966739570493,0.02907966739570493,0.18769339898942153,-0.15493175333879983,0.44534412955465585,741
ret_60d,-0.026356365059798555,0.026356365059798555,0.20664086595246492,-0.127546721884789,0.4479315263908702,701
mom_accel_5_20,0.0209018559421259,0.0209018559421259,0.1768371410761475,0.11819833670013467,0.5479082321187584,741
rsi_14,-0.01994717317062965,0.01994717317062965,0.1637742897560435,-0.12179673134422356,0.4457831325301205,747
amount_z_20d,-0.019091005156828503,0.019091005156828503,0.12131372553369024,-0.15736888033637494,0.44070080862533695,742
amount_z_20d_rank,-0.019091005156828503,0.019091005156828503,0.12131372553369024,-0.15736888033637494,0.44070080862533695,742
close_pos_20d,-0.01679277686723622,0.01679277686723622,0.16142620125182267,-0.10402757877536677,0.45417789757412397,742
turnover_z_20d,-0.016522812522457915,0.016522812522457915,0.11513020317911166,-0.14351414369181079,0.4299191374663073,742
volume_z_20d,-0.016305048872017967,0.016305048872017967,0.11516511333966929,-0.14157975795835054,0.4299191374663073,742
ret_5d,-0.015979995808121858,0.015979995808121858,0.16846557473111995,-0.09485614989015963,0.47619047619047616,756
ret_5d_rank,-0.015979995808121858,0.015979995808121858,0.16846557473111995,-0.09485614989015963,0.47619047619047616,756
excess_ret_5d,-0.015979995808121858,0.015979995808121858,0.16846557473111995,-0.09485614989015963,0.47619047619047616,756
excess_ret_5d_rank,-0.015979995808121858,0.015979995808121858,0.16846557473111995,-0.09485614989015963,0.47619047619047616,756
reversal_3d,0.015735007751322205,0.015735007751322205,0.16146948186145926,0.09744880314117428,0.5237467018469657,758
ret_3d,-0.015735007751322205,0.015735007751322205,0.16146948186145926,-0.09744880314117428,0.4762532981530343,758
overnight_ret,0.011491555755261323,0.011491555755261323,0.11762013104258914,0.09770058622875226,0.5618421052631579,760
intraday_ret,-0.009462979856916543,0.009462979856916543,0.16770621822009024,-0.05642593314245104,0.49014454664914586,761
drawdown_20d,-0.007123652123936228,0.007123652123936228,0.1898924415804111,-0.03751414255675974,0.4797843665768194,742
ret_1d,-0.006542217695544279,0.006542217695544279,0.1706059867164548,-0.03834694093343291,0.4986842105263158,760
vol_ratio_5_20,-0.002453685177990135,0.002453685177990135,0.1088065901927007,-0.022550887530084458,0.49527665317139,741
