model,as_of,start,end,submission,status,error,portfolio_return,benchmark_return,excess_return,n_names
tree_consensus_target3,2026-03-02,2026-03-03,2026-03-09,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260302.csv,ok,,-0.042839999999999996,-0.04376,0.00092,30
tree_consensus_target3,2026-03-09,2026-03-10,2026-03-16,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260309.csv,ok,,-0.00211,-0.01139,0.00929,498
tree_consensus_target3,2026-03-16,2026-03-17,2026-03-23,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260316.csv,ok,,-0.07719000000000001,-0.09095,0.01375,30
tree_consensus_target3,2026-03-23,2026-03-24,2026-03-30,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260323.csv,ok,,0.05825,0.04206000000000001,0.01619,30
tree_consensus_target3,2026-03-30,2026-03-31,2026-04-07,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260330.csv,ok,,-0.00104,-0.02355,0.02251,30
tree_consensus_target3,2026-04-07,2026-04-08,2026-04-14,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260407.csv,ok,,0.058550000000000005,0.06835,-0.0098,30
tree_consensus_target3,2026-04-14,2026-04-15,2026-04-21,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260414.csv,ok,,0.0429,0.02247,0.02043,30
tree_consensus_target3,2026-04-21,2026-04-22,2026-04-28,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260421.csv,ok,,0.00544,-0.008020000000000001,0.01347,30
tree_consensus_target3,2026-04-28,2026-04-29,2026-05-08,submissions/stage2/backtests/candidates/stage2_target3_9w_20260509/tree_consensus_target3_20260428.csv,ok,,0.08889,0.05975,0.02913,30
