n,topk,power,mix_agg,mean,min,max,neg,keys,vals
2,35,2.0,0.25,0.06559707376545003,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04314,0.06756,0.05844,0.06408,0.07495,0.06651,0.06822,0.07938"
4,30,2.0,0.75,0.06551962643047138,0.033626023949301774,0.13482235793437067,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate,"0.03363,0.06314,0.13482,0.03428,0.03797,0.07426,0.06627,0.05933,0.07095,0.06541,0.06551,0.08066"
2,40,2.0,0.5,0.06545020805647526,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03295,0.06209,0.13711,0.03432,0.04426,0.07091,0.05779,0.06171,0.07295,0.06443,0.06686,0.08002"
5,30,2.0,0.5,0.06543883027550702,0.032946578537352104,0.13655582296481664,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic|stage2_quality_gate_12w_20260509_summary_detail:hybrid_gate|stage2_adaptive_cap_12w_20260509_summary_detail:hybrid_gate_adaptive_cap,"0.03295,0.06090,0.13656,0.03502,0.03760,0.07091,0.06521,0.06171,0.07295,0.06457,0.06686,0.08002"
2,50,2.0,0.75,0.06543157508669219,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04486,0.07426,0.05920,0.05933,0.07095,0.06235,0.06551,0.08066"
3,40,2.0,0.75,0.06542118104893244,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03363,0.06314,0.13711,0.03393,0.04422,0.07426,0.06182,0.05933,0.07095,0.06049,0.06551,0.08066"
3,40,2.0,0.5,0.0652867130042976,0.032946578537352104,0.13711389602044732,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03295,0.06209,0.13711,0.03392,0.04397,0.07091,0.05779,0.06171,0.07295,0.06316,0.06686,0.08002"
2,60,2.0,0.75,0.0652823046242797,0.033626023949301774,0.13711389602044738,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03363,0.06314,0.13711,0.03418,0.04486,0.07426,0.05741,0.05933,0.07095,0.06235,0.06551,0.08066"
2,40,2.0,0.25,0.0652503473365029,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen,"0.03227,0.06104,0.13711,0.03445,0.04367,0.06756,0.05376,0.06408,0.07495,0.06651,0.06822,0.07938"
3,40,2.0,0.25,0.06515224495966279,0.03226713312540244,0.1371138960204473,0,stage2_factor_route_12w_20260509_summary_detail:hybrid_gate|stage2_factor_ic_dampen_12w_20260510_summary_detail:hybrid_gate_factor_ic_dampen|stage2_factor_ic_gate_12w_20260510_summary_detail:hybrid_gate_factor_ic,"0.03227,0.06104,0.13711,0.03390,0.04372,0.06756,0.05376,0.06408,0.07495,0.06583,0.06822,0.07938"
