stock_code,weight
600487,0.060594954215544346
003035,0.05833690511141638
300757,0.05610762292184244
601567,0.05390748376476162
002837,0.051736878909380245
688525,0.04959621582164818
300677,0.04748591931361624
300751,0.045406432810335504
600602,0.04335821975022228
300570,0.04134176513753095
300054,0.03935757726886228
688599,0.03740618965962705
000027,0.0354881632012659
000591,0.03360408858603198
601991,0.031754589043584434
300724,0.029940323442928383
301308,0.0281619898249205
688248,0.026420329445382553
000960,0.0247161314278423
601016,0.02305023814945827
001389,0.021423551515749893
002025,0.019837040322146282
300763,0.01829174895712502
600985,0.016788807778767643
000426,0.015329445602779332
601231,0.013915004888943016
002203,0.012546960425735006
601139,0.011226942623255302
600157,0.00995676698845392
603606,0.00873847206866262
000937,0.007574369276943043
688192,0.006467109863672531
300285,0.005419777468777785
300395,0.004436020400158238
600339,0.0035202487281150623
002517,0.0026779439394687366
688709,0.0019161807003474165
003021,0.00124459587355674
301200,0.0006774721835972231
000021,0.00023952258754342707
