model,as_of,start,end,alpha_lstm,reason,n,max_weight,portfolio_return,benchmark_return,excess_return
guarded_ensemble,20260403,20260407,20260409,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=-0.0093, ret10=-0.0290)",40,0.10000000000000002,0.08136717820036887,0.048267815873202835,0.03309936232716604
guarded_ensemble,20260407,20260408,20260410,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=0.0048, ret10=0.0175)",40,0.1,0.06228537762579426,0.052601791203431114,0.009683586422363145
guarded_ensemble,20260408,20260409,20260413,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=0.0494, ret10=0.0458)",40,0.1,0.038612838530572666,0.002837453224626474,0.03577538530594619
guarded_ensemble,20260409,20260410,20260414,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=-0.0059, ret10=0.0169)",40,0.09999999999999998,0.03124884354627551,0.02404669263656145,0.0072021509097140585
guarded_ensemble,20260410,20260413,20260415,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=0.0090, ret10=0.0428)",40,0.1,0.013892527160588568,0.009374900007717013,0.0045176271528715554
guarded_ensemble,20260413,20260414,20260416,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=-0.0002, ret10=0.0297)",40,0.10000000000000002,0.024832175404134557,0.026655757617289,-0.0018235822131544427
guarded_ensemble,20260414,20260415,20260417,1.0,"normal_lstm: no strong-rally pullback guard triggered (ret1=0.0152, ret10=0.0432)",40,0.1,0.027773254640484364,0.015531177393677265,0.0122420772468071
