stock_code,confidence,model_rank_score,calendar_alpha
003031,0.9445068925730249,0.997979797979798,0.7840881763527056
000960,0.9384924394243032,0.990909090909091,0.7812424849699399
001389,0.9360921843687375,1.0,0.7443687374749501
688629,0.9274573389202648,0.9737373737373738,0.788617234468938
300136,0.926219712151576,0.9878787878787879,0.74124248496994
688702,0.9219022894273395,0.9414141414141414,0.8633667334669339
002281,0.919007712394486,0.9949494949494949,0.6911823647294589
002353,0.9177828384040808,0.9878787878787878,0.70749498997996
601231,0.9145582073237384,0.9848484848484849,0.703687374749499
002126,0.9136816056355136,0.9373737373737374,0.8426052104208419
000426,0.9079185644015304,0.9787878787878788,0.6953106212424851
300570,0.9053461468391328,0.990909090909091,0.6486573146292586
688002,0.9038033643043664,0.9292929292929293,0.8273346693386775
002203,0.9013763891419202,0.9272727272727272,0.823687374749499
300285,0.899918625129046,0.9797979797979798,0.6602805611222445
300395,0.8979373899313781,0.9585858585858587,0.7159919839679361
300058,0.8902875447865428,0.9161616161616162,0.8126653306613226
002837,0.8902207445193417,0.9717171717171718,0.6457314629258518
300373,0.8773434748284448,0.9464646464646465,0.6699799599198397
002738,0.8746565858990709,0.9545454545454546,0.63498997995992
688052,0.8727269690896945,0.9252525252525252,0.7151503006012025
002156,0.8694625614866096,0.8606060606060606,0.8960320641282566
688347,0.8675314264893423,0.9393939393939394,0.6519438877755511
000034,0.8659312564522987,0.9565656565656566,0.5940280561122246
002851,0.8633321187830206,0.9575757575757575,0.5806012024048098
000657,0.8624242424242425,0.9565656565656566,0.5800000000000001
300604,0.8585586324163479,0.891919191919192,0.7584769539078157
601168,0.8545521345721747,0.9171717171717172,0.6666933867735472
688387,0.8520841683366733,0.8999999999999999,0.7083366733466935
600497,0.8504032307038321,0.9070707070707071,0.6804008016032065
688037,0.8498864395457582,0.9444444444444444,0.5662124248496996
300567,0.8466369101840043,0.9272727272727272,0.6047294589178358
000831,0.8438774518734438,0.8949494949494949,0.6906613226452907
600673,0.8435012449140706,0.9707070707070706,0.4618837675350702
300054,0.8423416530029757,0.9161616161616162,0.6208817635270543
300679,0.8419921661504828,0.9030303030303031,0.6588777555110221
002436,0.8418470273881096,0.8888888888888888,0.7007214428857717
688027,0.8407870286026599,0.9575757575757575,0.49042084168336675
002025,0.8398084046881643,0.8797979797979798,0.7198396793587175
000629,0.8393049735835306,0.906060606060606,0.6390380761523048
002409,0.8392184368737475,0.9,0.6568737474949901
002850,0.83897856318698,0.8767676767676768,0.72561122244489
300017,0.8380898159956276,0.9272727272727272,0.5705410821643288
300748,0.8369551223659439,0.8868686868686868,0.6872144288577156
301536,0.8321497540535617,0.8909090909090909,0.655871743486974
601061,0.8314316511811503,0.8464646464646465,0.7863326653306615
600707,0.8313876237323132,0.8808080808080808,0.6831262525050101
002261,0.828949110341896,0.8868686868686869,0.6551903807615233
605358,0.8289260338859537,0.8696969696969696,0.7066132264529059
000062,0.8264407603084958,0.8646464646464647,0.7118236472945892
300432,0.8255064674804155,0.8575757575757575,0.7292985971943889
000060,0.8236342381733165,0.8494949494949495,0.746052104208417
300450,0.8227892147932229,0.8272727272727273,0.8093386773547095
300073,0.8219781988218862,0.8373737373737373,0.7757915831663328
601958,0.8163915710208296,0.9131313131313131,0.5261723446893789
002185,0.8139129774700916,0.9191919191919191,0.4980761523046093
601212,0.809417623125038,0.9131313131313131,0.4982765531062125
688019,0.8091607457338921,0.8737373737373737,0.6154308617234471
688375,0.8091446529422481,0.8060606060606061,0.8183967935871743
603979,0.8077342563915711,0.8797979797979798,0.5915430861723449
000021,0.8075235319123094,0.9747474747474747,0.3058517034068137
688322,0.8051751988826137,0.814141414141414,0.7782765531062126
301308,0.8042815934900103,0.9171717171717171,0.4656112224448899
688017,0.8005292402987794,0.803030303030303,0.7930260521042085
601233,0.800107487702678,0.8545454545454545,0.6367935871743488
300487,0.797125766684885,0.8585858585858586,0.6127454909819641
000933,0.7875332483148114,0.8696969696969696,0.5410420841683368
600885,0.7849219651424062,0.8686868686868687,0.5336272545090182
603699,0.7835853525232283,0.8696969696969696,0.5252505010020041
002131,0.7820896338130807,0.8575757575757575,0.5556312625250502
688220,0.7795017307341957,0.7787878787878788,0.7816432865731465
600208,0.7792557842958646,0.8878787878787879,0.4533867735470943
002429,0.7789466812412704,0.8464646464646465,0.5763927855711424
002335,0.7783837371713124,0.9161616161616162,0.36505010020040085
600392,0.7777187708750837,0.788888888888889,0.7442084168336675
002340,0.7763681909273091,0.7909090909090909,0.7327454909819641
000987,0.7752359263982511,0.8242424242424242,0.6282164328657316
002155,0.7744167122123033,0.8313131313131312,0.6037274549098197
002465,0.7732908240723871,0.8373737373737373,0.5810420841683368
300919,0.7723091637821098,0.7424242424242424,0.8619639278557115
