as_of,csv,meta,n_names,max_weight,final_route,start,end,portfolio_return,benchmark_return,excess_return
2026-04-28,submissions/stage2/current_best/stage2_hybrid_gate_20260428.csv,submissions/stage2/current_best/stage2_hybrid_gate_20260428_meta.csv,30,0.10000000000000003,tree_consensus_drawdown_overlay_regime_alpha_secondary_alpha_final_confidence_alpha,2026-04-29,2026-05-08,0.14105509072206948,0.05975284377875534,0.08130224694331414
2026-05-08,submissions/stage2/current_best/stage2_hybrid_gate_20260508.csv,submissions/stage2/current_best/stage2_hybrid_gate_20260508_meta.csv,30,0.09999999999999998,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha,,,,,
