set,current_votes,top_k,power,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,avg_candidates,avg_names,vals
hybrid_strong,2,35,2,0.06617342703452676,0.03568010025382458,0.1361178684102693,0,0.07035807255152565,9.0,32.916666666666664,"0.03568,0.05148,0.13612,0.04458,0.04237,0.06422,0.05580,0.06645,0.07695,0.07216,0.06952,0.07874"
tree_shapes,1,30,4,0.06613049758005222,0.006858141780774852,0.1679147111022232,0,0.07031514309705111,7.083333333333333,30.0,"0.03836,0.05362,0.16791,0.03700,0.00686,0.06998,0.05509,0.07088,0.08017,0.05675,0.07220,0.08473"
core_factor3,2,40,2,0.06610287739823904,0.033137600158115774,0.13711389602044724,0,0.07028752291523792,5.0,34.166666666666664,"0.03314,0.05999,0.13711,0.04383,0.04500,0.06422,0.04972,0.06645,0.07695,0.06850,0.06957,0.07874"
core_factor3,0,35,2,0.06607209593700863,0.03158768771345277,0.13711389602044724,0,0.07025674145400752,3.0,31.666666666666668,"0.03159,0.05999,0.13711,0.03447,0.04360,0.06422,0.05580,0.06645,0.07695,0.07436,0.06957,0.07874"
core_plus_alpha,1,40,2,0.06590357304905958,0.03401520408334388,0.13711389602044724,0,0.07008821856605847,5.0,34.166666666666664,"0.03402,0.05999,0.13711,0.04247,0.04500,0.06422,0.04972,0.06645,0.07695,0.06659,0.06957,0.07874"
hybrid_strong,4,35,2,0.06587469269342154,0.03547146453612759,0.13259415925749268,0,0.07005933821042042,11.0,32.916666666666664,"0.03547,0.05197,0.13259,0.04216,0.04460,0.06422,0.05580,0.06645,0.07695,0.07201,0.06952,0.07874"
hybrid_broad,1,30,2,0.06584553211635254,0.03603976688092354,0.14102893539849012,0,0.07003017763335141,11.0,30.0,"0.03647,0.05543,0.14103,0.03888,0.03604,0.06318,0.06308,0.06709,0.07757,0.06756,0.06660,0.07721"
tree_shapes,1,50,8,0.06583499326444471,0.006785032512518561,0.16692638927907735,0,0.0700196387814436,7.083333333333333,49.916666666666664,"0.03814,0.05407,0.16693,0.03702,0.00679,0.07040,0.05502,0.07013,0.07956,0.05636,0.07119,0.08441"
tree_shapes,2,40,4,0.06579010786140822,0.014746986664687337,0.1516160259946199,0,0.0699747533784071,8.083333333333334,40.0,"0.03897,0.05665,0.15162,0.03814,0.01475,0.06591,0.05894,0.06785,0.07268,0.07437,0.07238,0.07722"
core_factor3,1,40,2,0.06567436561797506,0.031826114890703625,0.13711389602044724,0,0.06985901113497393,4.0,34.166666666666664,"0.03183,0.05999,0.13711,0.04057,0.04444,0.06422,0.04972,0.06645,0.07695,0.06850,0.06957,0.07874"
core_factor3,4,40,2,0.06566687207175732,0.034358718848448835,0.13711389602044724,0,0.06985151758875621,7.0,34.166666666666664,"0.03436,0.05999,0.13711,0.03932,0.04306,0.06422,0.04972,0.06645,0.07695,0.06850,0.06957,0.07874"
core_plus_alpha,2,40,2,0.06561135918336171,0.034429279296919996,0.13711389602044724,0,0.0697960047003606,6.0,34.166666666666664,"0.03443,0.05999,0.13711,0.03952,0.04361,0.06422,0.04972,0.06645,0.07695,0.06701,0.06957,0.07874"
core_plus_alpha,4,40,2,0.06560449505240841,0.0347617742071825,0.13711389602044724,0,0.0697891405694073,8.0,34.166666666666664,"0.03476,0.05999,0.13711,0.03839,0.04332,0.06422,0.04972,0.06645,0.07695,0.06802,0.06957,0.07874"
hybrid_strong,1,35,2,0.06548034085636409,0.034790800635852735,0.13454523173027944,0,0.06966498637336296,8.0,32.916666666666664,"0.03479,0.05119,0.13455,0.04256,0.04094,0.06422,0.05580,0.06645,0.07695,0.07004,0.06952,0.07874"
hybrid_broad,0,80,4,0.0654782883337106,0.03386860080889934,0.12282813617451069,0,0.06966293385070949,10.0,49.0,"0.03394,0.05435,0.12283,0.03387,0.03484,0.07657,0.04076,0.07703,0.09200,0.05914,0.07026,0.09016"
core_plus_alpha,0,40,2,0.06538166849104539,0.03274221318995587,0.13711389602044724,0,0.06956631400804426,4.0,34.166666666666664,"0.03274,0.05999,0.13711,0.03897,0.04444,0.06422,0.04972,0.06645,0.07695,0.06566,0.06957,0.07874"
core_factor3,0,40,2,0.06501777691502797,0.03158768771345277,0.13711389602044724,0,0.06920242243202686,3.0,33.333333333333336,"0.03159,0.05999,0.13711,0.03389,0.04347,0.06422,0.04972,0.06645,0.07695,0.06850,0.06957,0.07874"
tree_shapes,1,60,8,0.06495972847432231,0.008962263567015478,0.16692638927907735,0,0.06914437399132119,7.083333333333333,58.0,"0.03783,0.05394,0.16693,0.04025,0.00896,0.06592,0.05492,0.06808,0.07574,0.05576,0.07077,0.08043"
hybrid_broad,4,35,2,0.06495917605651638,0.034399902369178566,0.13048895500463772,0,0.06914382157351527,14.0,32.916666666666664,"0.03440,0.04951,0.13049,0.04486,0.04077,0.06411,0.05580,0.06709,0.07757,0.07107,0.06663,0.07721"
tree_shapes,2,80,8,0.0647840837831777,0.01655991611343347,0.16832760927921084,0,0.06896872930017657,8.083333333333334,73.0,"0.03913,0.05814,0.16833,0.03756,0.01656,0.06065,0.05544,0.06310,0.06731,0.06987,0.06810,0.07322"
tree_shapes,1,35,4,0.0643991966589773,0.008928427828123245,0.15799867340042995,0,0.06858384217597618,7.083333333333333,35.0,"0.03772,0.05308,0.15800,0.04009,0.00893,0.06571,0.05497,0.06905,0.07648,0.05614,0.07193,0.08071"
tree_shapes,4,30,2,0.06433240833639299,0.03555352759351347,0.1408297794529144,0,0.06851705385339187,10.083333333333334,30.0,"0.03720,0.05586,0.14083,0.03555,0.04091,0.05760,0.05655,0.06606,0.06582,0.07479,0.06963,0.07118"
hybrid_broad,2,35,2,0.06411378553732701,0.034350797222110326,0.13230434976129662,0,0.06829843105432588,12.0,32.916666666666664,"0.03435,0.04991,0.13230,0.04081,0.03747,0.06327,0.05580,0.06709,0.07757,0.06672,0.06686,0.07721"
hybrid_strong,0,35,2,0.06395819970433893,0.03215703965796442,0.13268357929422164,0,0.06814284522133782,7.0,32.916666666666664,"0.03216,0.05164,0.13268,0.03557,0.03787,0.06422,0.05580,0.06645,0.07695,0.06644,0.06898,0.07874"
core_factor3,2,50,2,0.06383964061636714,0.029581990016819687,0.13711389602044724,0,0.06802428613336602,5.0,38.25,"0.02958,0.05999,0.13711,0.04005,0.04517,0.06422,0.04030,0.06645,0.07695,0.05794,0.06957,0.07874"
core_plus_alpha,1,50,2,0.06372868102440311,0.03042115865688215,0.13711389602044724,0,0.06791332654140199,5.0,38.25,"0.03042,0.05999,0.13711,0.03936,0.04517,0.06422,0.04030,0.06645,0.07695,0.05646,0.06957,0.07874"
hybrid_broad,0,30,2,0.0636438716537754,0.03448878279574556,0.1276549845936321,0,0.06782851717077429,10.0,30.0,"0.03449,0.05350,0.12765,0.03572,0.03598,0.06294,0.06308,0.06709,0.07757,0.06188,0.06660,0.07721"
