feature,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,asof_20260130,asof_20260309,asof_20260421,asof_20260428,vals
trend_quality_20d,high,40,2,-0.0024273952197585145,-0.05289578575712653,0.04585916490994315,7,-0.03103034551197563,-0.01399816109211334,0.027863693466481834,0.028983032593793367,"-0.03103,-0.02329,0.01427,-0.00567,-0.01400,0.04586,-0.01448,-0.01367,-0.05290,0.00893,0.02786,0.02898"
trend_quality_20d_rank,high,40,2,-0.0024273952197585145,-0.05289578575712653,0.04585916490994315,7,-0.03103034551197563,-0.01399816109211334,0.027863693466481834,0.028983032593793367,"-0.03103,-0.02329,0.01427,-0.00567,-0.01400,0.04586,-0.01448,-0.01367,-0.05290,0.00893,0.02786,0.02898"
overnight_ret,high,50,1,-0.002428799284957525,-0.04217205235277421,0.04279748769234408,8,-0.004020265220654507,-0.009326734829343063,-0.000514708186063648,-0.009928837376795605,"-0.00402,-0.02421,-0.04217,-0.00230,-0.00933,0.02176,-0.02860,0.01672,0.04280,0.01064,-0.00051,-0.00993"
open,high,50,8,-0.0024338905319079844,-0.08979369416714236,0.021536187433422296,4,-0.010032374131084182,0.01646060293453481,-0.009814468241406457,0.01301137500130041,"-0.01003,0.01001,-0.08979,0.00757,0.01646,0.00604,-0.01646,0.01411,0.02154,0.00815,-0.00981,0.01301"
open,low,40,4,-0.0024424846880745075,-0.049516975183728384,0.04745329456351584,6,0.010531588343043151,0.023852154583909945,-0.004792916791881317,-0.0023967328390599035,"0.01053,-0.03418,0.04745,0.02039,0.02385,0.00106,-0.00838,0.00075,-0.04952,-0.03408,-0.00479,-0.00240"
amount,low,50,32,-0.002445833335211971,-0.051031464474559945,0.02889738964247032,6,0.02889738964247032,0.024137054962173242,-0.006123158181429738,-0.051031464474559945,"0.02890,-0.02713,-0.03519,0.02840,0.02414,0.02781,0.01131,0.02759,-0.04786,-0.01014,-0.00612,-0.05103"
amount,low,30,16,-0.002447955941362418,-0.051027439144545675,0.028868327831866027,6,0.028868327831866027,0.02413282693961539,-0.006148593889419948,-0.051027439144545675,"0.02887,-0.02710,-0.03517,0.02839,0.02413,0.02780,0.01131,0.02759,-0.04787,-0.01015,-0.00615,-0.05103"
ret_2d,low,30,1,-0.0024497242259039543,-0.05859746606045643,0.047066639491116335,5,-0.032560842320867915,0.00978841811470107,-0.004160206536865491,0.022981697098379786,"-0.03256,0.01790,0.04707,-0.00860,0.00979,0.00552,0.00130,-0.05860,-0.03314,0.00311,-0.00416,0.02298"
ret_2d_rank,low,30,1,-0.0024497242259039543,-0.05859746606045643,0.047066639491116335,5,-0.032560842320867915,0.00978841811470107,-0.004160206536865491,0.022981697098379786,"-0.03256,0.01790,0.04707,-0.00860,0.00979,0.00552,0.00130,-0.05860,-0.03314,0.00311,-0.00416,0.02298"
high,low,40,4,-0.0024516839897557445,-0.04874168823921304,0.04747174170628468,6,0.010624827549668862,0.023349751526105036,-0.004997199005766801,-0.0025549219226669723,"0.01062,-0.03428,0.04747,0.02037,0.02335,0.00143,-0.00908,0.00078,-0.04874,-0.03379,-0.00500,-0.00255"
market_corr_60d,high,50,2,-0.002454499844248741,-0.021886141467420718,0.008247129791917336,8,0.008247129791917336,0.008168227644905306,-0.021886141467420718,-0.0017844729901538847,"0.00825,-0.00492,0.00572,-0.00543,0.00817,-0.00713,-0.00731,0.00686,-0.00497,-0.00503,-0.02189,-0.00178"
market_corr_60d_rank,high,50,2,-0.002454499844248741,-0.021886141467420718,0.008247129791917336,8,0.008247129791917336,0.008168227644905306,-0.021886141467420718,-0.0017844729901538847,"0.00825,-0.00492,0.00572,-0.00543,0.00817,-0.00713,-0.00731,0.00686,-0.00497,-0.00503,-0.02189,-0.00178"
market_corr_60d,high,40,1,-0.0024550118990919138,-0.019396629734586248,0.007395783339297822,7,0.007395783339297822,0.007270196354431537,-0.019396629734586248,0.00012755348414469903,"0.00740,-0.00585,0.00469,-0.00498,0.00727,-0.00662,-0.00802,0.00695,-0.00606,-0.00496,-0.01940,0.00013"
market_corr_60d_rank,high,40,1,-0.0024550118990919138,-0.019396629734586248,0.007395783339297822,7,0.007395783339297822,0.007270196354431537,-0.019396629734586248,0.00012755348414469903,"0.00740,-0.00585,0.00469,-0.00498,0.00727,-0.00662,-0.00802,0.00695,-0.00606,-0.00496,-0.01940,0.00013"
