cap,power,portfolio_return,benchmark_return,excess_return,maxw,eff_n,capped
0.07,128.0,0.022844349694574998,-0.004030357032638099,0.026874706727213097,0.07,14.492797029761258,14
0.07,96.0,0.02284341606853633,-0.004030357032638099,0.02687377310117443,0.07,14.493095171491698,14
0.07,64.0,0.02283637554878172,-0.004030357032638099,0.02686673258141982,0.07,14.49540188708696,14
0.07,32.0,0.022798285404458465,-0.004030357032638099,0.026828642437096564,0.07,14.511339529017006,14
0.07,20.0,0.022308608544122883,-0.004030357032638099,0.02633896557676098,0.07,14.664616133987922,13
0.06,128.0,0.021785901017700077,-0.004030357032638099,0.025816258050338176,0.06,16.891961205476303,16
0.06,96.0,0.021780365103216633,-0.004030357032638099,0.02581072213585473,0.06,16.892633696480768,16
0.06,64.0,0.02172130632818571,-0.004030357032638099,0.02575166336082381,0.06,16.899760930737227,16
0.06,32.0,0.02111333208912418,-0.004030357032638099,0.025143689121762278,0.06,16.96887111195711,16
0.07,12.0,0.020974866888460893,-0.004030357032638099,0.025005223921098992,0.07,14.990143248697619,13
0.06,20.0,0.020257313559031556,-0.004030357032638099,0.024287670591669655,0.06,17.057489628935134,16
0.1,3.0,0.020160328065758532,-0.004030357032638099,0.02419068509839663,0.1,14.146897924004932,3
0.1,4.0,0.020126257652929552,-0.004030357032638099,0.02415661468556765,0.1,12.957177110966592,5
0.1,2.0,0.020025659656325724,-0.004030357032638099,0.024056016688963823,0.09518773135906927,16.95051989960559,0
0.06,12.0,0.01940143876814099,-0.004030357032638099,0.023431795800779087,0.06,17.196053650682334,15
0.07,8.0,0.01912874056921007,-0.004030357032638099,0.02315909760184817,0.07,15.31586922134635,12
0.06,8.0,0.019114830822546343,-0.004030357032638099,0.02314518785518444,0.06,17.54174372414765,15
0.1,6.0,0.01896421208038057,-0.004030357032638099,0.02299456911301867,0.1,11.854355109541583,7
0.06,6.0,0.018833369143689018,-0.004030357032638099,0.022863726176327117,0.06,17.798664293965956,14
0.09,3.0,0.01849540745453281,-0.004030357032638099,0.022525764487170908,0.09,14.796496766285637,5
0.09,2.0,0.018408133137682896,-0.004030357032638099,0.022438490170320995,0.09,17.062291104106343,1
0.09,4.0,0.018149953907747728,-0.004030357032638099,0.022180310940385826,0.09,13.785940492210035,6
0.06,4.0,0.01783079281895452,-0.004030357032638099,0.02186114985159262,0.06,18.365766283080415,13
0.1,8.0,0.017029235999711418,-0.004030357032638099,0.021059593032349517,0.1,11.354238442462224,7
0.07,6.0,0.016994496165357646,-0.004030357032638099,0.021024853197995744,0.07,15.632250747904601,12
0.09,1.6,0.016922168268062875,-0.004030357032638099,0.020952525300700974,0.08303698749449709,18.953800288212054,0
0.1,1.6,0.016922168268062875,-0.004030357032638099,0.020952525300700974,0.08303698749449709,18.953800288212054,0
0.08,3.0,0.01656923500093222,-0.004030357032638099,0.02059959203357032,0.08,15.724433831028474,6
0.08,2.0,0.016152063703439797,-0.004030357032638099,0.020182420736077896,0.08,17.54697626858815,3
0.09,6.0,0.0160577907647027,-0.004030357032638099,0.020088147797340798,0.09,12.844206286884223,8
0.08,1.6,0.01597750934798353,-0.004030357032638099,0.02000786638062163,0.08,19.022604034840093,1
0.06,3.0,0.015838642990824173,-0.004030357032638099,0.01986900002346227,0.06,18.916017212538573,12
0.08,4.0,0.015752546339234095,-0.004030357032638099,0.019782903371872194,0.08,14.890283344834256,8
0.1,12.0,0.015401550534878985,-0.004030357032638099,0.019431907567517084,0.1,10.900505500312926,8
0.07,4.0,0.015337721049174894,-0.004030357032638099,0.01936807808181299,0.07,16.351501664938198,10
0.05,128.0,0.014906241244519945,-0.004030357032638099,0.018936598277158045,0.05,20.000010063817374,19
0.05,96.0,0.014905552536181307,-0.004030357032638099,0.018935909568819406,0.05,20.000212452642224,19
0.05,64.0,0.014891032687852798,-0.004030357032638099,0.018921389720490896,0.05,20.004472598203883,19
0.09,8.0,0.014620326420253231,-0.004030357032638099,0.01865068345289133,0.09,12.374897008536887,9
0.07,3.0,0.014602410095076944,-0.004030357032638099,0.01863276712771504,0.07,17.05595995650194,9
0.05,32.0,0.014591928687506186,-0.004030357032638099,0.018622285720144287,0.05,20.0896459487942,19
0.07,2.0,0.014394893086306352,-0.004030357032638099,0.01842525011894445,0.07,18.48381979226299,6
0.08,8.0,0.014242962730615172,-0.004030357032638099,0.01827331976325327,0.08,13.66491643546523,10
0.08,6.0,0.01412361141694036,-0.004030357032638099,0.018153968449578457,0.08,14.033969091303385,9
0.05,20.0,0.013959017367849198,-0.004030357032638099,0.0179893744004873,0.05,20.254450985692543,19
0.08,12.0,0.013950729158561713,-0.004030357032638099,0.017981086191199813,0.08,13.291010966875143,11
0.07,1.6,0.013787495169875048,-0.004030357032638099,0.017817852202513147,0.07,19.578297471770735,4
0.08,128.0,0.013527880016388005,-0.004030357032638099,0.017558237049026103,0.08,12.755447756362106,12
0.08,96.0,0.013519239898433705,-0.004030357032638099,0.017549596931071804,0.08,12.757246032332613,12
0.08,64.0,0.013464372406295128,-0.004030357032638099,0.017494729438933227,0.08,12.768131775376677,12
0.1,20.0,0.013254677569691163,-0.004030357032638099,0.01728503460232926,0.1,10.563347683910413,9
