cands,wg,mode,top,power,maxw,mean,median,min,max,neg,vals,objective
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,4,0.1,0.022354693615080495,0.012743684126744956,-0.01748986377160991,0.08471707267360785,2,"-0.0098,0.0623,-0.0175,0.0250,0.0624,0.0023,0.0847,0.0126,0.0009,0.0024,0.0129,0.0300",-0.008316119409861964
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,8,0.1,0.02205125674850873,0.012311979166727164,-0.018245681403097347,0.08421105182362733,2,"-0.0098,0.0611,-0.0182,0.0251,0.0629,0.0024,0.0842,0.0118,0.0009,0.0019,0.0128,0.0296",-0.00920255834333153
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,8,0.08,0.02044643139953548,0.009490330557925163,-0.014649129808670822,0.07691496174527612,2,"-0.0079,0.0658,-0.0146,0.0203,0.0475,0.0017,0.0769,0.0124,0.0005,0.0066,0.0040,0.0323",-0.009495947318289467
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1,rerank,35,4,0.1,0.022836293499153226,0.007007046995748474,-0.01768761793458226,0.08387569210480104,2,"-0.0058,0.0635,-0.0177,0.0244,0.0705,0.0006,0.0839,0.0005,0.0031,0.0027,0.0109,0.0374",-0.009674163162871589
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,2:1:1:1,rerank,50,8,0.08,0.02265936498993897,0.006624659920354454,-0.01721627574292739,0.1199558925333716,2,"0.0022,0.0577,-0.0172,0.0244,0.0558,-0.0150,0.1200,0.0011,0.0002,0.0003,0.0111,0.0314",-0.009683002479711128
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,3,0.1,0.021295575774835217,0.010244262245695253,-0.017007382029742904,0.0849075697265128,2,"-0.0113,0.0621,-0.0170,0.0240,0.0602,0.0021,0.0849,0.0117,0.0013,0.0005,0.0088,0.0283",-0.009835574769301948
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,4,0.1,0.021341708350753497,0.010748092154760858,-0.0176362080225813,0.08459811304796111,2,"-0.0112,0.0615,-0.0176,0.0243,0.0609,0.0024,0.0846,0.0115,0.0011,0.0005,0.0100,0.0280",-0.010015588816367027
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,3,0.08,0.02029518149289558,0.008388436996338712,-0.015063318000318071,0.07869239030559946,2,"-0.0070,0.0642,-0.0151,0.0201,0.0478,0.0014,0.0787,0.0101,0.0006,0.0067,0.0034,0.0328",-0.010226278208393646
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,4,0.08,0.02024064384394955,0.008408916715450115,-0.015222160560688758,0.07807967365931077,2,"-0.0071,0.0641,-0.0152,0.0202,0.0479,0.0015,0.0781,0.0103,0.0006,0.0065,0.0035,0.0325",-0.010369977477828671
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,2:1:1:1,rerank,30,3,0.08,0.022479264966847257,0.005154756697284806,-0.017446001840030242,0.11769452520412549,2,"0.0003,0.0569,-0.0174,0.0247,0.0563,-0.0127,0.1177,0.0009,0.0009,0.0002,0.0094,0.0325",-0.010441909127985444
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,2:1:1:1,rerank,35,4,0.08,0.022405342643836538,0.0053691074408049495,-0.017599134707914542,0.1178466350861383,2,"0.0004,0.0567,-0.0176,0.0247,0.0562,-0.0130,0.1178,0.0010,0.0007,0.0002,0.0097,0.0321",-0.010543405948670705
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,2,0.1,0.01957752419305257,0.0060675702270356485,-0.015169354461082946,0.07947283242252942,2,"-0.0103,0.0617,-0.0152,0.0202,0.0537,0.0007,0.0795,0.0099,0.0022,0.0012,0.0010,0.0302",-0.011703817415486503
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,rerank,30,8,0.1,0.024609565222723753,0.0117584497258763,-0.02700446649772218,0.11750045639120224,2,"0.0024,0.0651,-0.0270,0.0319,0.0694,-0.0210,0.1175,0.0034,0.0009,0.0031,0.0201,0.0296",-0.012065579758146667
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,40,4,0.08,0.01937848395477677,0.006617349730920598,-0.016415562862070222,0.07784058503310455,2,"-0.0082,0.0613,-0.0164,0.0202,0.0485,0.0011,0.0778,0.0082,0.0007,0.0051,0.0028,0.0316",-0.012485648843189184
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,40,3,0.1,0.018975038496885033,0.005700631929353212,-0.015397659045882348,0.07744806080201905,2,"-0.0102,0.0596,-0.0154,0.0204,0.0537,0.0008,0.0774,0.0092,0.0022,0.0006,0.0003,0.0289",-0.012553367351838414
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,3,0.08,0.01928460235194646,0.0063558207420390846,-0.016478712086632583,0.07836121513617501,2,"-0.0088,0.0612,-0.0165,0.0199,0.0485,0.0015,0.0784,0.0080,0.0008,0.0047,0.0023,0.0313",-0.012695878677421365
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,4,0.1,0.0186966018177745,0.005650658673400227,-0.015367214803418391,0.07620751863292655,2,"-0.0097,0.0584,-0.0154,0.0206,0.0536,0.0010,0.0762,0.0090,0.0023,0.0003,0.0000,0.0281",-0.012828529462256466
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,30,8,0.1,0.02700862225116245,0.02013380934748823,-0.017076683000147433,0.1339665897993541,3,"0.0018,0.0532,-0.0171,0.0270,0.0682,-0.0099,0.1340,0.0161,0.0001,-0.0019,0.0242,0.0284",-0.013197244744679544
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,2,0.08,0.018766575149457,0.005478717209737947,-0.016661241044376204,0.07854836631743674,2,"-0.0096,0.0610,-0.0167,0.0195,0.0477,0.0015,0.0785,0.0074,0.0010,0.0036,0.0007,0.0305",-0.01358655431424734
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,35,8,0.1,0.02597864506722405,0.019169041609813357,-0.016019467769243394,0.1321115986120311,3,"-0.0061,0.0507,-0.0160,0.0277,0.0630,-0.0090,0.1321,0.0170,0.0017,0.0009,0.0213,0.0284",-0.013882323111377985
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,1:1:1,rerank,35,8,0.1,0.026443766604133712,0.011734069151013077,-0.013648676316408807,0.12272641758902439,3,"-0.0026,0.0659,-0.0136,0.0289,0.0715,-0.0125,0.1227,0.0044,0.0021,0.0015,0.0191,0.0301",-0.014225218440407653
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,40,8,0.1,0.025685568195265056,0.018168043091563342,-0.015650289946345784,0.12867274650312,3,"-0.0080,0.0514,-0.0157,0.0277,0.0629,-0.0068,0.1287,0.0169,0.0018,0.0015,0.0195,0.0285",-0.014254192845073413
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,1:1:1,rerank,40,8,0.1,0.0261597610995139,0.010984616877110599,-0.013686087835139707,0.1204811271961877,3,"-0.0044,0.0651,-0.0137,0.0285,0.0720,-0.0107,0.1205,0.0049,0.0024,0.0004,0.0171,0.0319",-0.01475650653843675
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1,blend,0,0,0.1,0.01608997431735599,0.004570672066816214,-0.013966102570135336,0.0601672171493272,2,"-0.0047,0.0488,-0.0140,0.0226,0.0497,0.0002,0.0602,0.0065,0.0026,0.0011,0.0005,0.0196",-0.014918485604680348
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1,blend,0,0,0.08,0.01602494707503958,0.004515668168919315,-0.013985944251320624,0.06043885104889856,2,"-0.0050,0.0493,-0.0140,0.0234,0.0482,0.0001,0.0604,0.0065,0.0026,0.0017,0.0001,0.0190",-0.015011919025077
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1,blend,0,0,0.08,0.015998955887107858,0.004423083340918066,-0.014077605203221696,0.06014900029213442,2,"-0.0047,0.0487,-0.0141,0.0226,0.0484,0.0009,0.0601,0.0063,0.0026,0.0011,0.0004,0.0196",-0.015120682232549741
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,blend,0,0,0.06,0.016242239029029503,0.003198968279348426,-0.01435585057363313,0.0789996590625726,2,"0.0031,0.0478,-0.0144,0.0213,0.0391,-0.0069,0.0790,0.0007,0.0033,0.0000,0.0014,0.0204",-0.01541158083134585
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,30,4,0.1,0.02482360929085124,0.014717701049221661,-0.014520986505239988,0.12188584645705286,3,"-0.0094,0.0534,-0.0145,0.0272,0.0624,-0.0041,0.1219,0.0141,0.0022,0.0016,0.0153,0.0278",-0.015473672297526258
