cands,wg,mode,top,power,maxw,mean,median,min,max,neg,vals,objective
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,1:1:1:1,blend,0,0,0.08,0.016952073433257293,0.0033984374267634026,-0.01514772687532416,0.07120251437549036,3,"-0.0015,0.0468,-0.0151,0.0214,0.0492,0.0002,0.0712,0.0032,0.0033,-0.0016,0.0035,0.0228",-0.02711703146390819
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,2,0.08,0.017362875604759093,0.004095060107879644,-0.01623336601556604,0.07431506786835931,3,"-0.0095,0.0582,-0.0162,0.0184,0.0464,0.0011,0.0743,0.0056,0.0014,0.0026,-0.0035,0.0296",-0.027148625972216643
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,30,8,0.08,0.023485072812526517,0.00976222312303491,-0.02929383202429242,0.12836320728568618,3,"0.0110,0.0581,-0.0217,0.0291,0.0649,-0.0293,0.1284,-0.0085,0.0012,0.0085,0.0072,0.0329",-0.027162559465138465
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,blend,0,0,0.06,0.015875748601522154,0.005993549339673863,-0.014739544289214257,0.07601551279136379,3,"0.0079,0.0445,-0.0147,0.0238,0.0390,-0.0100,0.0760,0.0017,0.0031,-0.0042,0.0041,0.0193",-0.027169913170104247
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,40,8,0.1,0.0249271854074478,0.017572075484437705,-0.015650289946345784,0.12554938731284265,4,"-0.0089,0.0516,-0.0157,0.0287,0.0633,-0.0062,0.1255,0.0149,0.0032,-0.0058,0.0202,0.0282",-0.02719136591502836
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,50,8,0.08,0.021983615296401696,0.007346349476539839,-0.02580340424615163,0.12070785857610863,3,"0.0049,0.0547,-0.0258,0.0272,0.0619,-0.0212,0.1207,-0.0060,0.0021,0.0045,0.0098,0.0310",-0.027294522408327332
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,50,3,0.06,0.016963538517333388,0.003493276760253564,-0.01572130427637264,0.0908228899497783,3,"0.0038,0.0477,-0.0157,0.0248,0.0366,-0.0066,0.0908,0.0023,0.0031,-0.0085,0.0004,0.0247",-0.02742126102041413
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,2:1:1,blend,0,0,0.08,0.018099278193248646,0.007743232477785382,-0.019770001816276965,0.0761864325824592,3,"0.0033,0.0459,-0.0198,0.0255,0.0542,-0.0059,0.0762,0.0022,0.0036,-0.0037,0.0119,0.0237",-0.027439753153181923
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1:1,rerank,30,8,0.1,0.024607337504548504,0.02009883309478573,-0.016795232670684362,0.13536839588354171,4,"-0.0113,0.0474,-0.0168,0.0274,0.0620,-0.0105,0.1354,0.0167,0.0010,-0.0045,0.0235,0.0250",-0.027440152169426395
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,2:2:1,rerank,50,4,0.1,0.019996890910057123,0.006210437658956985,-0.022183208013234826,0.09519363401039047,3,"0.0023,0.0444,-0.0222,0.0282,0.0602,-0.0087,0.0952,0.0020,0.0039,-0.0062,0.0086,0.0324",-0.027449902600196682
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,4:2:1,rerank,50,3,0.08,0.01750592864444604,0.006144467533862767,-0.018003449262887786,0.08807417302348763,3,"0.0058,0.0424,-0.0180,0.0258,0.0474,-0.0081,0.0881,0.0011,0.0036,-0.0117,0.0065,0.0274",-0.027452800653127808
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,4:2:1,rerank,50,3,0.1,0.01750592864444604,0.006144467533862767,-0.018003449262887786,0.08807417302348763,3,"0.0058,0.0424,-0.0180,0.0258,0.0474,-0.0081,0.0881,0.0011,0.0036,-0.0117,0.0065,0.0274",-0.027452800653127808
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,40,8,0.1,0.025555280123038673,0.016410112543596308,-0.016612869223407073,0.12575996560846017,4,"-0.0093,0.0539,-0.0166,0.0286,0.0652,-0.0056,0.1258,0.0149,0.0039,-0.0009,0.0179,0.0289",-0.027489407647926678
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,2:2:1,rerank,30,8,0.06,0.018431648516299273,0.0024460230272958516,-0.018033029373126397,0.09945644255208658,3,"0.0024,0.0490,-0.0180,0.0272,0.0455,-0.0106,0.0995,-0.0153,0.0020,0.0010,0.0025,0.0361",-0.027654362199387814
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,rerank,35,4,0.08,0.021689850580308104,0.005344660450555528,-0.02495134093222108,0.10836329281425995,3,"0.0024,0.0636,-0.0250,0.0263,0.0595,-0.0155,0.1084,-0.0054,0.0021,0.0031,0.0076,0.0331",-0.02767755584385789
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,rerank,30,3,0.08,0.02172470688884867,0.005119013893177501,-0.024911369985004782,0.10849488574026546,3,"0.0018,0.0637,-0.0249,0.0262,0.0598,-0.0150,0.1085,-0.0055,0.0023,0.0029,0.0074,0.0336",-0.02768641093420095
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,35,4,0.08,0.021583074420912538,0.00640822936921091,-0.02563387808040568,0.11684638062057218,3,"0.0033,0.0535,-0.0256,0.0268,0.0620,-0.0187,0.1168,-0.0053,0.0023,0.0031,0.0095,0.0313",-0.027874783616567603
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,30,8,0.08,0.025592112114801738,0.010080227219751079,-0.014189021489778096,0.12421512463229928,4,"0.0062,0.0623,-0.0011,0.0236,0.0548,-0.0142,0.1242,0.0059,-0.0008,-0.0001,0.0139,0.0322",-0.027897232613139797
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,30,3,0.08,0.021567888346966175,0.006294157699965653,-0.025603425514621275,0.11631883082727393,3,"0.0028,0.0535,-0.0256,0.0266,0.0622,-0.0183,0.1163,-0.0054,0.0023,0.0031,0.0095,0.0318",-0.027905919651816897
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1,blend,0,0,0.06,0.014848259428754134,0.004627834610217128,-0.013672594203586491,0.06031174629845286,3,"-0.0027,0.0484,-0.0137,0.0208,0.0362,0.0002,0.0603,0.0041,0.0019,0.0051,-0.0023,0.0198",-0.027966946710332626
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,35,8,0.08,0.025013434915284308,0.010145305431206994,-0.013383539631567298,0.12235491813596455,4,"0.0051,0.0617,-0.0036,0.0232,0.0545,-0.0134,0.1224,0.0062,-0.0008,-0.0009,0.0141,0.0318",-0.027973097234293975
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1:1,rerank,30,4,0.1,0.023730456563237825,0.014849616703669896,-0.013610619106995701,0.1259306393515434,4,"-0.0136,0.0502,-0.0136,0.0275,0.0601,-0.0040,0.1259,0.0141,0.0008,-0.0037,0.0156,0.0254",-0.02798102988985863
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,2:2:1,blend,0,0,0.1,0.018386021442173432,0.008986041751005851,-0.02183439219773537,0.06768067844783007,3,"0.0034,0.0467,-0.0218,0.0279,0.0588,-0.0059,0.0677,0.0038,0.0031,-0.0030,0.0142,0.0257",-0.028018801351166037
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,50,8,0.1,0.025244608906326047,0.013806117965769232,-0.01567815728743986,0.1251719613906886,4,"-0.0064,0.0550,-0.0157,0.0270,0.0681,-0.0041,0.1252,0.0097,0.0002,-0.0038,0.0180,0.0298",-0.0280204500764071
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,30,8,0.08,0.02187406723401575,0.010434426347178106,-0.0083769820429378,0.07699208936131062,4,"-0.0084,0.0762,-0.0065,0.0218,0.0440,-0.0019,0.0770,0.0144,-0.0000,0.0064,0.0039,0.0355",-0.028021794087593498
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,3,0.08,0.016257778294858412,0.003592741562493701,-0.01583322471675737,0.06953931148580414,3,"-0.0076,0.0544,-0.0158,0.0183,0.0438,0.0014,0.0695,0.0048,0.0018,0.0024,-0.0052,0.0273",-0.028164334066447902
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,3,0.1,0.016257778294858412,0.003592741562493701,-0.01583322471675737,0.06953931148580414,3,"-0.0076,0.0544,-0.0158,0.0183,0.0438,0.0014,0.0695,0.0048,0.0018,0.0024,-0.0052,0.0273",-0.028164334066447902
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,35,2,0.06,0.015926123733943365,0.005006573327485352,-0.016025656363840547,0.06987109101473708,3,"-0.0074,0.0586,-0.0160,0.0154,0.0352,0.0011,0.0699,0.0032,0.0005,0.0068,-0.0077,0.0316",-0.028187298086115364
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,30,4,0.1,0.0242814483974035,0.01386327972205914,-0.014520986505239988,0.1201351528319329,4,"-0.0089,0.0536,-0.0145,0.0279,0.0626,-0.0034,0.1201,0.0121,0.0041,-0.0073,0.0157,0.0293",-0.028272159589122752
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,40,8,0.1,0.025280916385149052,0.016950509937564296,-0.017818498419046966,0.129218942492975,4,"-0.0064,0.0508,-0.0178,0.0305,0.0639,-0.0064,0.1292,0.0133,0.0028,-0.0039,0.0206,0.0268",-0.028325029685009835
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1,blend,0,0,0.06,0.014801577596957334,0.004156093469570434,-0.013960879511523257,0.05970561135367904,3,"-0.0021,0.0479,-0.0140,0.0202,0.0366,0.0009,0.0597,0.0036,0.0019,0.0047,-0.0019,0.0201",-0.02832812206908549
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,35,8,0.1,0.025323978894765457,0.017942448118228406,-0.018508554509776128,0.1313331903311193,4,"-0.0059,0.0504,-0.0185,0.0303,0.0640,-0.0083,0.1313,0.0133,0.0024,-0.0027,0.0226,0.0250",-0.0283984193756317
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,40,4,0.08,0.020935069277296516,0.0062692782792484626,-0.025387157036826258,0.10906467991565065,3,"0.0035,0.0514,-0.0254,0.0264,0.0615,-0.0148,0.1091,-0.0043,0.0027,0.0016,0.0090,0.0305",-0.028416441461024705
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,40,8,0.08,0.02450034853208728,0.009758345474260202,-0.013205165341894087,0.1215213805895674,4,"0.0032,0.0612,-0.0068,0.0230,0.0546,-0.0132,0.1215,0.0064,-0.0006,-0.0006,0.0131,0.0321",-0.028495247030771113
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,30,4,0.1,0.024930983689672167,0.01281601691002095,-0.01545720727365786,0.12037115452945815,4,"-0.0095,0.0556,-0.0155,0.0278,0.0648,-0.0026,0.1204,0.0121,0.0044,-0.0023,0.0135,0.0304",-0.028498535601516266
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,2:2:1,blend,0,0,0.08,0.017901055340865373,0.008986041744805388,-0.02183439218615888,0.06768067844783007,3,"0.0037,0.0469,-0.0218,0.0280,0.0560,-0.0065,0.0677,0.0038,0.0028,-0.0028,0.0142,0.0230",-0.028503767447388344
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1,rerank,40,2,0.06,0.014932745234362917,0.005117258154347749,-0.015092179771550245,0.06786970782671814,3,"-0.0060,0.0538,-0.0151,0.0166,0.0348,0.0002,0.0679,0.0036,0.0012,0.0066,-0.0106,0.0262",-0.02858738518226291
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,50,8,0.08,0.023593832714213937,0.008973182964372824,-0.011470325857228549,0.11958373991159962,4,"0.0013,0.0585,-0.0112,0.0227,0.0545,-0.0115,0.1196,0.0071,-0.0001,-0.0007,0.0108,0.0320",-0.028596407910811347
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,30,4,0.08,0.023986183433617667,0.008903773346526925,-0.012214811895048173,0.12038060187397065,4,"0.0015,0.0602,-0.0096,0.0228,0.0547,-0.0122,0.1204,0.0068,-0.0002,-0.0004,0.0110,0.0329",-0.028671571699453162
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,2:1:1:1,blend,0,0,0.06,0.015881592992537344,0.005171277595626354,-0.01691092851720142,0.07342659210575389,3,"0.0069,0.0463,-0.0169,0.0228,0.0408,-0.0088,0.0734,0.0003,0.0035,-0.0015,0.0033,0.0205",-0.028713580839095608
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,35,3,0.08,0.02060588666592201,0.005921975939410287,-0.025183228827336424,0.10641935830168495,3,"0.0038,0.0511,-0.0252,0.0261,0.0617,-0.0139,0.1064,-0.0055,0.0027,0.0010,0.0081,0.0310",-0.02872745784865676
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,rerank,40,4,0.08,0.021107010283074,0.00393627527868623,-0.02505067821772368,0.10458203805169555,3,"0.0005,0.0604,-0.0251,0.0261,0.0595,-0.0115,0.1046,-0.0043,0.0024,0.0016,0.0054,0.0335",-0.02874251406395434
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,30,4,0.1,0.024890030249666985,0.013862291385293726,-0.01635308713687887,0.123567577423845,4,"-0.0057,0.0525,-0.0164,0.0305,0.0635,-0.0036,0.1236,0.0108,0.0035,-0.0063,0.0169,0.0295",-0.028763134616872223
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:2:1,rerank,40,8,0.1,0.025376028802602837,0.01604121892914742,-0.01825844490279413,0.11933412041939874,4,"-0.0051,0.0567,-0.0183,0.0286,0.0657,-0.0074,0.1193,0.0141,0.0037,-0.0001,0.0180,0.0294",-0.028766672460329414
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1,blend,0,0,0.08,0.015220168438427184,0.00305453991886408,-0.014849820288632284,0.054059792050251104,3,"-0.0007,0.0495,-0.0148,0.0213,0.0480,0.0003,0.0541,0.0013,0.0037,0.0024,-0.0039,0.0216",-0.028773361759092966
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1:1,rerank,50,8,0.1,0.023577232843660607,0.014705753618626284,-0.014612536799407813,0.12516826199148906,4,"-0.0138,0.0497,-0.0146,0.0274,0.0606,-0.0031,0.1252,0.0139,0.0008,-0.0039,0.0155,0.0253",-0.028778563150396196
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,blend,0,0,0.06,0.014744231263274692,0.0035661838568612596,-0.01435585057363313,0.058864192254544,3,"-0.0014,0.0470,-0.0144,0.0193,0.0372,0.0021,0.0589,0.0031,0.0018,0.0041,-0.0013,0.0205",-0.028799423923846816
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,40,2,0.08,0.015808978971907275,0.003357007214703573,-0.016201319281327696,0.0692898517471911,3,"-0.0080,0.0547,-0.0162,0.0174,0.0415,0.0013,0.0693,0.0037,0.0014,0.0031,-0.0066,0.0282",-0.028904710432478276
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,40,2,0.1,0.015808978971907275,0.003357007214703573,-0.016201319281327696,0.0692898517471911,3,"-0.0080,0.0547,-0.0162,0.0174,0.0415,0.0013,0.0693,0.0037,0.0014,0.0031,-0.0066,0.0282",-0.028904710432478276
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,30,2,0.08,0.02028982494269437,0.0055887671461461105,-0.024877964342437747,0.1023404441655911,3,"0.0043,0.0509,-0.0249,0.0256,0.0621,-0.0127,0.1023,-0.0067,0.0028,0.0002,0.0069,0.0325",-0.028960323518924448
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,rerank,35,8,0.1,0.025012117407254397,0.01729120890233019,-0.01859974541917246,0.12847627656835392,4,"-0.0070,0.0502,-0.0186,0.0305,0.0663,-0.0128,0.1285,0.0127,0.0026,-0.0012,0.0219,0.0270",-0.028960367173550022
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:1:1,rerank,30,4,0.1,0.02522017464630066,0.012622999071369694,-0.016622560786564364,0.12149082233007764,4,"-0.0066,0.0556,-0.0166,0.0272,0.0705,-0.0075,0.1215,0.0086,0.0023,-0.0041,0.0166,0.0351",-0.02896646210422705
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,30,3,0.1,0.02427898357165822,0.010532246592298518,-0.01414606164268175,0.12041461533054282,4,"-0.0070,0.0570,-0.0141,0.0258,0.0661,-0.0049,0.1204,0.0077,0.0007,-0.0055,0.0134,0.0319",-0.029048979436261273
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,rerank,40,8,0.1,0.024845221258405593,0.016137138919435075,-0.017977440796427893,0.12405062496556861,4,"-0.0075,0.0506,-0.0180,0.0307,0.0663,-0.0099,0.1241,0.0126,0.0030,-0.0023,0.0197,0.0288",-0.02910010154362062
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,1:1:1:1,rerank,35,3,0.08,0.02078962209663487,0.0035117250927144622,-0.02500390123873309,0.10245785900809351,3,"0.0001,0.0599,-0.0250,0.0259,0.0599,-0.0105,0.1025,-0.0056,0.0025,0.0014,0.0045,0.0340",-0.02915920111879065
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,35,4,0.1,0.02434478094836177,0.011274542756187243,-0.014892213462306111,0.12079601415812216,4,"-0.0071,0.0563,-0.0149,0.0263,0.0664,-0.0042,0.1208,0.0079,0.0005,-0.0054,0.0147,0.0309",-0.02920818430216572
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,50,8,0.1,0.023933848186857218,0.01360692994542748,-0.015460422505383258,0.1184862542541072,4,"-0.0097,0.0528,-0.0155,0.0279,0.0629,-0.0028,0.1185,0.0119,0.0039,-0.0072,0.0153,0.0291",-0.029260326332744495
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,30,8,0.06,0.021157796770542445,0.009141729108897653,-0.008662979088007894,0.09738370403729543,4,"0.0115,0.0616,-0.0030,0.0269,0.0343,-0.0068,0.0974,-0.0024,0.0068,-0.0087,0.0010,0.0353",-0.029297471949592997
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,1:1:1,rerank,30,4,0.1,0.025566717036094488,0.008054931761916764,-0.015517555566547964,0.1184922592905758,4,"-0.0053,0.0638,-0.0155,0.0275,0.0730,-0.0085,0.1185,0.0025,0.0027,-0.0003,0.0134,0.0350",-0.029327336775259262
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1,rerank,50,2,0.06,0.013250155723025889,0.004337907056594845,-0.013161248807087942,0.060466812179436925,3,"-0.0043,0.0470,-0.0125,0.0181,0.0313,0.0005,0.0605,0.0038,0.0012,0.0049,-0.0132,0.0217",-0.029345221444248427
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1,rerank,50,2,0.08,0.013250155723025889,0.004337907056594845,-0.013161248807087942,0.060466812179436925,3,"-0.0043,0.0470,-0.0125,0.0181,0.0313,0.0005,0.0605,0.0038,0.0012,0.0049,-0.0132,0.0217",-0.029345221444248427
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,4:2:1,rerank,50,2,0.1,0.013250155723025889,0.004337907056594845,-0.013161248807087942,0.060466812179436925,3,"-0.0043,0.0470,-0.0125,0.0181,0.0313,0.0005,0.0605,0.0038,0.0012,0.0049,-0.0132,0.0217",-0.029345221444248427
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,30,8,0.1,0.02522378071297872,0.01834809991115087,-0.02012585801353682,0.13349755863079982,4,"-0.0052,0.0500,-0.0201,0.0298,0.0641,-0.0098,0.1335,0.0130,0.0021,-0.0023,0.0237,0.0240",-0.029347304121798114
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,30,2,0.06,0.018117302176857506,0.008422552974431131,-0.02332420201190319,0.09796306764259136,3,"0.0126,0.0510,-0.0233,0.0217,0.0502,-0.0177,0.0980,-0.0137,0.0025,0.0042,0.0004,0.0316",-0.02935045313795507
weekly_alpha_auto|meta_portfolio_ensemble,3:1,rerank,40,8,0.1,0.023277880213926353,0.018326396105556184,-0.016887083511955496,0.12756121314065344,4,"-0.0083,0.0425,-0.0169,0.0301,0.0607,-0.0076,0.1276,0.0165,0.0015,-0.0130,0.0262,0.0202",-0.02935645106158009
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,1:1:1,rerank,50,8,0.1,0.02531692294109636,0.008050226519229556,-0.015162425135517549,0.11664835681464686,4,"-0.0058,0.0626,-0.0152,0.0276,0.0726,-0.0076,0.1166,0.0030,0.0028,-0.0007,0.0131,0.0345",-0.029365464184445304
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,50,8,0.08,0.02247086755986616,0.008999259303214116,-0.010943241929712015,0.1196533599846227,4,"-0.0012,0.0557,-0.0109,0.0236,0.0477,-0.0097,0.1197,0.0065,0.0038,-0.0056,0.0115,0.0286",-0.029395299806996816
weekly_alpha_auto|meta_portfolio_ensemble,3:1,rerank,35,8,0.1,0.023767870669865635,0.01863191378889064,-0.01796325721264308,0.1308002955364176,4,"-0.0075,0.0434,-0.0180,0.0294,0.0612,-0.0082,0.1308,0.0165,0.0015,-0.0110,0.0263,0.0208",-0.029420509521053025
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,30,3,0.08,0.02319629083120731,0.007923259644254554,-0.011688791188633627,0.1180690270501711,4,"-0.0020,0.0581,-0.0117,0.0228,0.0546,-0.0102,0.1181,0.0070,0.0001,-0.0005,0.0088,0.0331",-0.0294400059886965
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,30,3,0.1,0.023572773253168904,0.010639557055682054,-0.013741645806446746,0.11718826093427853,4,"-0.0101,0.0548,-0.0137,0.0261,0.0601,-0.0031,0.1172,0.0111,0.0029,-0.0009,0.0102,0.0283",-0.029480347113994526
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:1:1:1,rerank,35,4,0.08,0.023190687681405506,0.008200987433661554,-0.01190249744270186,0.11817696837523226,4,"-0.0014,0.0578,-0.0119,0.0228,0.0546,-0.0103,0.1182,0.0072,0.0000,-0.0006,0.0092,0.0327",-0.029490514554117143
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1,rerank,30,8,0.08,0.020777789977209516,0.010941731123083763,-0.009291804004097529,0.07637800801856974,4,"-0.0082,0.0744,-0.0061,0.0227,0.0461,-0.0093,0.0764,0.0109,0.0022,0.0110,-0.0023,0.0315",-0.029514773088323874
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,3:2:1,rerank,50,8,0.1,0.024530620304496157,0.012574695129134547,-0.016369733550706464,0.11871210595723472,4,"-0.0101,0.0547,-0.0164,0.0278,0.0649,-0.0021,0.1187,0.0120,0.0042,-0.0025,0.0132,0.0300",-0.02951881128718736
weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,2:2:1,rerank,50,3,0.06,0.015172215179075813,0.003860293558931381,-0.016518380288722892,0.06670576779477959,3,"-0.0060,0.0538,-0.0165,0.0166,0.0359,0.0016,0.0667,0.0021,0.0008,0.0056,-0.0073,0.0286",-0.02958072492647851
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,rerank,30,4,0.1,0.024545714740523913,0.012760734273280807,-0.016620623001074752,0.11847603103527896,4,"-0.0068,0.0521,-0.0166,0.0308,0.0663,-0.0061,0.1185,0.0099,0.0037,-0.0044,0.0157,0.0317",-0.0295984387781367
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,4:2:1:1,rerank,50,8,0.1,0.024626045443443153,0.013778433293843713,-0.017294228043913423,0.12264858656045038,4,"-0.0065,0.0517,-0.0173,0.0305,0.0639,-0.0032,0.1226,0.0111,0.0034,-0.0067,0.0164,0.0295",-0.029616961394751784
weekly_alpha_auto|meta_portfolio_ensemble|weekly_alpha_floor|weekly_cycle_tree,3:2:1:1,rerank,30,8,0.1,0.02508283719042448,0.01790569444672583,-0.020152055585694842,0.13422455783300433,4,"-0.0062,0.0499,-0.0202,0.0299,0.0662,-0.0157,0.1342,0.0126,0.0022,-0.0010,0.0232,0.0258",-0.029636687826974678
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,4:2:1,rerank,30,3,0.1,0.023549864116119795,0.010111943270921343,-0.013741645806446746,0.11561682837138823,4,"-0.0087,0.0550,-0.0137,0.0265,0.0602,-0.0023,0.1156,0.0089,0.0047,-0.0071,0.0113,0.0322",-0.029661540386471848
weekly_alpha_auto|weekly_alpha_floor|weekly_alpha_current|weekly_cycle_tree,3:2:1:1,rerank,35,4,0.1,0.023645590731319572,0.011305714024388618,-0.014547827403660424,0.1174184772309786,4,"-0.0102,0.0541,-0.0145,0.0263,0.0607,-0.0026,0.1174,0.0113,0.0026,-0.0008,0.0113,0.0282",-0.0296913915035601
weekly_alpha_auto|weekly_alpha_floor|weekly_cycle_tree,2:1:1,rerank,50,8,0.1,0.024863424757769353,0.012486546034278682,-0.01725654668794701,0.11965561451326141,4,"-0.0072,0.0546,-0.0173,0.0273,0.0702,-0.0068,0.1197,0.0089,0.0024,-0.0042,0.0161,0.0347",-0.029744539444715248
weekly_alpha_auto|meta_portfolio_ensemble,3:1,blend,0,0,0.1,0.022672305456952157,0.019348001499754984,-0.017118848652281124,0.1066960246874689,4,"-0.0065,0.0446,-0.0171,0.0309,0.0619,-0.0064,0.1067,0.0170,0.0011,-0.0091,0.0271,0.0217",-0.02979460328449002
weekly_alpha_auto|meta_portfolio_ensemble|weekly_cycle_tree,1:1:1,rerank,40,3,0.06,0.01779290092548372,0.008401457818029808,-0.02355788454999313,0.09603886172331647,3,"0.0137,0.0494,-0.0236,0.0224,0.0490,-0.0169,0.0960,-0.0125,0.0031,0.0029,0.0006,0.0294",-0.029821392459103216
