kind,formula,topk,power,cpen,full_mean,full_min,full_neg,roll_mean,roll_min,roll_neg,all_full_mean,all_full_min,all_full_neg,full_vals,roll_vals,score
static,weekly_stable_flow,30,8,0.35,0.005943697791199783,-0.038125744877009746,6,-0.018711209270649874,-0.042761066289328305,9,0.0024274223691630754,-0.06336003910559844,54,"-0.00413,-0.01507,0.01467,0.02064,-0.03813,0.03175,0.07560,0.02172,-0.00757,0.02485,-0.03410,-0.01892","-0.03564,0.00013,-0.04276,-0.01157,-0.01892,-0.02475,0.00657,0.01453,-0.00142,-0.03075,-0.04025,-0.03970",-0.028881471244995398
static,weekly_stable_flow,30,12,0.0,-0.0028691127092852205,-0.038095162285562534,6,0.010082530361093883,-0.03512047756666506,5,0.005784209493183641,-0.05385116677307507,54,"-0.03810,0.00868,-0.00453,0.00155,-0.01517,-0.01086,0.00141,-0.02968,0.06777,0.01416,-0.03032,0.00065","-0.02352,-0.01689,-0.03512,-0.00606,0.00065,0.01937,0.05215,0.06371,0.05347,-0.00772,0.01224,0.00870",-0.019816701671580172
static,weekly_stable_flow,30,12,0.1,-0.0035037698731913286,-0.04539552066600966,7,-0.015457358711536093,-0.04209713289598966,10,0.00398212929315222,-0.07091637702307607,51,"-0.01863,-0.00295,0.00079,0.00469,-0.03624,-0.00198,0.04539,0.00175,0.03301,-0.00468,-0.04540,-0.01781","-0.04210,-0.00800,-0.03647,-0.01075,-0.01781,-0.02941,-0.00029,0.01969,0.00709,-0.02825,-0.02636,-0.01283",-0.036255779072544125
static,weekly_stable_flow,30,12,0.2,7.91327025901611e-05,-0.04441938088678591,5,-0.01951874605159953,-0.047127321233557,9,0.002367926448995081,-0.0711372724131884,48,"-0.01231,-0.00638,0.01430,0.01433,-0.03721,0.02055,0.05529,0.01381,0.00214,0.00288,-0.04442,-0.02203","-0.04713,-0.00239,-0.03842,-0.01696,-0.02203,-0.02514,0.00008,0.02013,0.00090,-0.02902,-0.03441,-0.03985",-0.033053520162418894
static,weekly_stable_flow,30,12,0.35,0.005794705048463735,-0.038168712900182464,6,-0.018181545093974173,-0.042902170498672856,8,0.002414941288376213,-0.06773897664422456,56,"-0.00401,-0.01468,0.01374,0.02083,-0.03817,0.03108,0.07661,0.02075,-0.00690,0.02395,-0.03356,-0.02010","-0.03571,0.00108,-0.04290,-0.01125,-0.02010,-0.02498,0.00781,0.01465,0.00100,-0.02925,-0.03860,-0.03993",-0.027829094188184543
static,weekly_stable_flow,40,2,0.0,-0.0007317738259397327,-0.020968868019415617,6,0.006863118116822757,-0.027722131011832848,5,0.004759231425104323,-0.04158358689605472,50,"-0.01986,0.00763,-0.00747,0.00222,-0.00616,-0.00841,0.01480,-0.02000,0.04005,0.00334,-0.02097,0.00606","-0.02772,-0.01493,-0.01722,-0.00774,0.00606,0.00896,0.02838,0.04140,0.03827,-0.00743,0.00988,0.02444",-0.015595642160520784
static,weekly_stable_flow,40,2,0.1,-0.0018194079308589857,-0.03500026598339615,6,-0.010980185420729543,-0.034308577254881914,9,0.003097657418079498,-0.05156068624503446,46,"-0.00768,0.00093,0.00227,0.00650,-0.02598,0.00119,0.04668,-0.00246,0.01702,-0.00805,-0.03500,-0.01725","-0.03431,-0.00997,-0.03148,-0.01067,-0.01725,-0.01507,0.00675,0.02191,0.00738,-0.01750,-0.01296,-0.01859",-0.029260992297646803
static,weekly_stable_flow,40,2,0.2,0.0006040218239092779,-0.03915311395289591,6,-0.019677796432753594,-0.04024013419012149,10,0.0022220131540749166,-0.06025536719819058,48,"-0.00950,-0.00295,0.01243,0.01747,-0.03367,0.01501,0.05746,0.01487,0.00132,-0.00206,-0.03915,-0.02397","-0.03566,-0.00747,-0.04024,-0.01574,-0.02397,-0.02577,0.00366,0.01288,-0.00109,-0.02781,-0.03547,-0.03945",-0.03309246116315607
static,weekly_stable_flow,40,2,0.35,0.004195807388386254,-0.035024180344837175,6,-0.021192124403711852,-0.04406263203407783,10,0.0017107657324034625,-0.05610909488996089,51,"-0.00802,-0.01046,0.01573,0.02127,-0.03450,0.02855,0.06554,0.02481,-0.00670,0.01127,-0.03502,-0.02212","-0.03505,-0.00679,-0.04230,-0.01589,-0.02212,-0.02600,0.00262,0.01019,-0.00349,-0.03259,-0.03882,-0.04406",-0.031204427670015817
static,weekly_stable_flow,40,4,0.0,-0.002366197378497243,-0.02750055654863661,7,0.00927078086889402,-0.029020050232703938,5,0.005212234189292112,-0.04760012457163636,52,"-0.02750,0.00893,-0.00699,-0.00121,-0.01082,-0.01169,0.00842,-0.02492,0.05074,0.00994,-0.02533,0.00202","-0.02902,-0.01877,-0.02839,-0.00684,0.00202,0.02050,0.04014,0.05791,0.04637,-0.00575,0.01390,0.01917",-0.018140455502109177
