k_sim,top_n,top_k,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
20,1,50,4,0.1,0.0,0.02041185905796468,-0.03717745017613305,0.0562013019709766,1,"0.02818,0.00301,-0.03718,0.02265,0.01297,0.02111,0.01168,0.02550,0.02677,0.03093,0.04311,0.05620",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,1,30,2,0.08,0.0,0.0199419185258573,-0.04119573454346583,0.050791327706095825,1,"0.02562,0.00557,-0.04120,0.02057,0.01541,0.01990,0.01138,0.02722,0.02633,0.03176,0.04594,0.05079",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
30,2,30,4,0.1,0.0,0.019659657586457054,-0.029615328550079787,0.06117871768897458,4,"0.01916,-0.00372,0.01180,-0.02962,-0.02067,0.03781,0.03326,-0.00245,0.03172,0.04278,0.06118,0.05467",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
30,2,40,6,0.1,0.0,0.019615461193682224,-0.029332317302104727,0.06112796719605281,4,"0.01882,-0.00349,0.01169,-0.02933,-0.02064,0.03768,0.03298,-0.00244,0.03145,0.04271,0.06113,0.05483",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,1,50,4,0.08,0.0,0.019532956898787597,-0.038421858002514825,0.051435103352005775,1,"0.02511,0.00401,-0.03842,0.02126,0.01401,0.01971,0.01071,0.02568,0.02593,0.03091,0.04405,0.05144",ret_1d:high / ret_1d:high / ret_1d:high / ret_10d:low / ret_1d:high / ret_1d:high / intraday_mean_5d:low / ret_15d:low / intraday_mean_5d:low / range_vol_20d:low / ret_1d:high / ret_1d:high
20,2,30,4,0.1,0.5,0.019242938464572368,-0.05090558882040716,0.05628808910243753,2,"0.02830,0.00750,-0.05091,0.03013,-0.02913,0.03683,0.02466,0.00163,0.03053,0.04267,0.05241,0.05629",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
20,2,40,6,0.1,0.5,0.019198593300835558,-0.05064615189125944,0.0564371130771428,2,"0.02767,0.00707,-0.05065,0.03010,-0.02910,0.03724,0.02454,0.00164,0.03019,0.04264,0.05261,0.05644",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
30,2,50,6,0.1,0.0,0.01827188730701212,-0.02797181042600151,0.056356730790398865,4,"0.01801,-0.00135,0.00487,-0.02797,-0.01906,0.03322,0.03229,-0.00281,0.03033,0.04169,0.05636,0.05368",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
20,2,50,6,0.1,0.5,0.018119087734284497,-0.045109693527007166,0.05443112231438049,2,"0.02704,0.00557,-0.04511,0.02940,-0.02905,0.03386,0.02383,0.00063,0.02961,0.04149,0.04571,0.05443",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_10d:low / ret_1d:high|volume_z_20d:high / ret_5d:low|ret_3d:low / overnight_vol_20d:low|range_vol_20d:low / ret_1d:high|drawdown_20d:high / range_vol_20d:low|intraday_mean_5d:low / amount_trend_5_20:low|vol_ratio_5_20:low / ret_5d:low|intraday_mean_5d:low / range_vol_20d:low|overnight_vol_20d:low / drawdown_20d:high|ret_1d:high / ret_1d:high|ret_2d:high
30,2,40,4,0.1,0.0,0.017768297004295955,-0.028773896026998095,0.05520585724405265,4,"0.01817,-0.00129,0.00249,-0.02877,-0.01817,0.03140,0.03209,-0.00213,0.02999,0.04118,0.05521,0.05305",ret_1d:high|ret_2d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / amount_trend_5_20:low|vol_ratio_5_20:low / ret_1d:high|ret_2d:high / intraday_mean_5d:low|ret_1d:high / ret_1d:high|drawdown_20d:low / intraday_mean_5d:low|ret_5d:low / range_vol_20d:low|overnight_vol_20d:low / ret_1d:high|ret_2d:high / ret_1d:high|ret_2d:high
