fullweek_tree,fullweek_tree_aggressive,hybrid_gate,meta_portfolio_ensemble,mean_excess,min_excess,max_excess,neg_windows,vals
0.0,0.15000000000000002,0.0,0.85,0.0143091511091362,0.0010334563988973998,0.030725796683106203,0,"0.02681,0.00754,0.00201,0.00103,0.01773,0.03073"
0.05,0.0,0.30000000000000004,0.6499999999999999,0.014255692581716653,-0.002017832157154408,0.03129588682584458,1,"0.03130,0.00937,0.00326,-0.00202,0.01880,0.02482"
0.05,0.05,0.15000000000000002,0.7499999999999999,0.014251726631982617,-0.0005327424643116474,0.029014607605451666,1,"0.02901,0.00847,0.00258,-0.00053,0.01847,0.02751"
0.05,0.1,0.0,0.85,0.01424776068224859,0.0009523472285311099,0.030201869887827852,0,"0.02673,0.00756,0.00190,0.00095,0.01814,0.03020"
0.0,0.0,0.5,0.5,0.014198557378182613,-0.003823532041767941,0.03365766190931343,1,"0.03366,0.01027,0.00438,-0.00382,0.01821,0.02251"
0.0,0.05,0.35000000000000003,0.5999999999999999,0.014194591428069442,-0.0023384423480886166,0.03137638268892051,1,"0.03138,0.00936,0.00370,-0.00234,0.01788,0.02520"
0.0,0.1,0.2,0.7,0.014190625478484832,-0.0008533526543493576,0.0290951034685276,1,"0.02910,0.00845,0.00302,-0.00085,0.01755,0.02789"
0.1,0.0,0.15000000000000002,0.75,0.01419033620748515,-0.0006138516266194494,0.028934111742375743,1,"0.02893,0.00848,0.00248,-0.00061,0.01888,0.02699"
0.0,0.15000000000000002,0.05,0.7999999999999999,0.014186659528910206,0.0006317370394498464,0.030575604518028356,0,"0.02681,0.00754,0.00234,0.00063,0.01722,0.03058"
0.1,0.05,0.0,0.85,0.014186370257751123,0.0008712380662233114,0.0296779430925495,0,"0.02665,0.00757,0.00180,0.00087,0.01855,0.02968"
0.05,0.0,0.35000000000000003,0.5999999999999999,0.014133201002885266,-0.002419551514516654,0.03129588682584458,1,"0.03130,0.00937,0.00359,-0.00242,0.01829,0.02467"
0.05,0.05,0.2,0.7,0.014129235053151232,-0.0009344618216739001,0.029014607605451666,1,"0.02901,0.00847,0.00291,-0.00093,0.01796,0.02736"
0.05,0.1,0.05,0.7999999999999999,0.014125269103417206,0.0005506278711688573,0.03005167772275001,0,"0.02673,0.00756,0.00223,0.00055,0.01763,0.03005"
0.15000000000000002,0.0,0.0,0.85,0.014124979833253651,0.0007901289039155164,0.029154016297271164,0,"0.02657,0.00759,0.00169,0.00079,0.01895,0.02915"
0.0,0.0,0.55,0.44999999999999996,0.014076065799243477,-0.004225251399495044,0.03365766190931343,1,"0.03366,0.01027,0.00470,-0.00423,0.01770,0.02236"
0.0,0.05,0.4,0.5499999999999999,0.014072099849173398,-0.0027401617058388193,0.03137638268892051,1,"0.03138,0.00936,0.00402,-0.00274,0.01737,0.02505"
0.0,0.1,0.25,0.65,0.014068133899584943,-0.0012550720121226357,0.029095103468527596,1,"0.02910,0.00845,0.00334,-0.00126,0.01704,0.02774"
0.1,0.0,0.2,0.7,0.01406784462865377,-0.0010155709839816986,0.028934111742375736,1,"0.02893,0.00848,0.00280,-0.00102,0.01837,0.02684"
