min_weight,rank_power,mean_excess,min_excess,max_excess,neg_windows,avg_capped,avg_eff_n,vals
0.0,128,0.08718059885656716,0.04362065904005538,0.201898353180476,0,9.0,10.003871640470589,"0.04362,0.06617,0.20190,0.06404,0.04364,0.07429,0.07524,0.08584,0.10224,0.09870,0.08605,0.10444"
1e-05,128,0.08716860378585327,0.04360520671739504,0.20186746428256594,0,9.0,10.007855871188053,"0.04361,0.06617,0.20187,0.06403,0.04365,0.07430,0.07521,0.08580,0.10224,0.09868,0.08603,0.10443"
0.0,96,0.0871402919305534,0.04355991702668281,0.20190581677711814,0,9.0,10.018314459556764,"0.04356,0.06619,0.20191,0.06392,0.04366,0.07431,0.07521,0.08574,0.10215,0.09866,0.08596,0.10442"
1e-05,96,0.08712838150438418,0.04354459226225056,0.20187491220565518,0,9.0,10.022249473447244,"0.04354,0.06620,0.20187,0.06391,0.04367,0.07432,0.07518,0.08571,0.10214,0.09864,0.08594,0.10441"
5e-05,128,0.08712062350299775,0.043543397426753686,0.20174390869092573,0,9.0,10.023740523548168,"0.04354,0.06621,0.20174,0.06400,0.04368,0.07435,0.07509,0.08566,0.10223,0.09860,0.08592,0.10441"
5e-05,96,0.08708073979970717,0.04348329320452152,0.20175129391980312,0,9.0,10.037937475101646,"0.04348,0.06623,0.20175,0.06388,0.04370,0.07437,0.07506,0.08556,0.10214,0.09857,0.08583,0.10439"
0.0001,128,0.08706064814942836,0.043466135813451975,0.20158946420137552,0,9.0,10.04347751398259,"0.04347,0.06626,0.20159,0.06396,0.04372,0.07441,0.07495,0.08548,0.10222,0.09851,0.08579,0.10438"
0.0001,96,0.08702118766886092,0.04340666938236022,0.20159677106248816,0,9.0,10.057429167393888,"0.04341,0.06628,0.20160,0.06384,0.04374,0.07444,0.07492,0.08539,0.10212,0.09847,0.08570,0.10436"
0.0,64,0.08694968208841465,0.043275042048968586,0.2019130483275252,0,9.0,10.084514694619726,"0.04328,0.06628,0.20191,0.06336,0.04375,0.07443,0.07506,0.08531,0.10171,0.09847,0.08552,0.10432"
0.0002,128,0.08694069744228956,0.04331161258684856,0.20128057522227497,0,9.0,10.08254771068805,"0.04331,0.06635,0.20128,0.06389,0.04379,0.07454,0.07466,0.08512,0.10220,0.09832,0.08553,0.10432"
1e-05,64,0.08693817194291391,0.04326031552198953,0.20188212856980636,0,9.0,10.088222097450295,"0.04326,0.06629,0.20188,0.06335,0.04376,0.07444,0.07503,0.08527,0.10171,0.09845,0.08550,0.10431"
0.0002,96,0.08690208340716843,0.04325342173803764,0.20128772534785813,0,9.0,10.096010662944208,"0.04325,0.06637,0.20129,0.06377,0.04381,0.07456,0.07463,0.08503,0.10210,0.09828,0.08544,0.10430"
5e-05,64,0.08689213136091085,0.04320140941407329,0.20175844953893093,0,9.0,10.103000813057212,"0.04320,0.06633,0.20176,0.06333,0.04379,0.07449,0.07492,0.08513,0.10170,0.09838,0.08540,0.10429"
0.0001,64,0.08683458063340706,0.04312777677917799,0.2016038507503367,0,9.0,10.121358629247268,"0.04313,0.06637,0.20160,0.06330,0.04382,0.07455,0.07477,0.08496,0.10170,0.09828,0.08527,0.10426"
0.0002,64,0.08671947917839949,0.042980511509387406,0.20129465317314812,0,9.0,10.1576822766083,"0.04298,0.06646,0.20129,0.06324,0.04390,0.07467,0.07449,0.08461,0.10168,0.09810,0.08502,0.10420"
0.0005,128,0.08658084532087316,0.042848042907038315,0.20035390828497343,0,9.0,10.196382407315328,"0.04285,0.06662,0.20035,0.06366,0.04402,0.07491,0.07379,0.08404,0.10212,0.09775,0.08473,0.10413"
