factor,direction,top_k,power,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,asof_20260428_excess
peer_ret_10d,low,50,8.0,0.013867916198506539,-0.04863761924644783,0.1497749082919901,6,0.018052561715505427,-0.006849328485543302
peer_ret_10d,low,40,6.0,0.013834074489948498,-0.04885726943166169,0.14973976455186697,6,0.018018720006947386,-0.006865144423652186
peer_ret_10d,low,35,6.0,0.013781742693839463,-0.049672978162900894,0.15038158562294698,6,0.017966388210838347,-0.00659296034877694
peer_ret_10d,low,50,6.0,0.013781219253649371,-0.04577057594675732,0.14615188650242392,6,0.017965864770648262,-0.0071920182742555155
peer_ret_10d,low,30,4.0,0.013774377947306208,-0.04926950355200713,0.1496427292077347,6,0.017959023464305092,-0.00686217710191666
peer_ret_10d,low,40,8.0,0.013754149837504392,-0.04975688794146968,0.15044049201185025,6,0.017938795354503278,-0.006506711644702012
peer_ret_10d,low,35,4.0,0.013736327217599825,-0.04722235603155023,0.14727132727769016,6,0.01792097273459871,-0.0072186523338008055
peer_ret_10d,low,30,6.0,0.013681959175920239,-0.05002624550990781,0.15027903767481177,6,0.017866604692919123,-0.006530773303508611
peer_ret_10d,low,35,8.0,0.01362729913581557,-0.0499304389617157,0.14991850994500955,6,0.017811944652814455,-0.006695442026659622
peer_ret_10d,low,30,3.0,0.013620793228403831,-0.04696774019065181,0.1463626140351215,6,0.017805438745402715,-0.007220613370566453
peer_ret_10d,low,40,4.0,0.013593519262310625,-0.04477769122987829,0.14418450580977726,6,0.01777816477930951,-0.007213213620696907
peer_ret_10d,low,30,8.0,0.013397343107657092,-0.04978923464201404,0.14845806184429008,6,0.017581988624655976,-0.007371052174371624
peer_ret_10d,low,35,3.0,0.013209658948959119,-0.04439691592374723,0.14135015175831503,6,0.017394304465958,-0.007559311293696719
peer_ret_10d,low,50,4.0,0.01284225461967087,-0.04099765658969437,0.13391548213540155,6,0.017026900136669753,-0.006816012505979657
peer_ret_10d,low,40,3.0,0.012814545311916802,-0.041771048311805836,0.13482397928731726,6,0.016999190828915687,-0.006944695827522385
peer_ret_10d,low,30,2.0,0.012689522365932739,-0.04333332450987604,0.13601428229306334,6,0.016874167882931623,-0.007149300692642545
peer_ret_10d,low,35,2.0,0.01225412838643429,-0.0397193027526577,0.12830974113736568,6,0.016438773903433176,-0.005991112888900814
own_ret_5d,low,30,8.0,0.012156306134736344,-0.050600696287241384,0.04814245180843784,4,0.01634095165173523,0.03502433226471757
quiet_peer_leader,low,35,6.0,0.012109122610456243,-0.035467912530557213,0.04266416544631638,4,0.016293768127455126,-0.004892276904786996
peer_ret_10d,low,50,3.0,0.012095551771733397,-0.03704563427944263,0.12319806447226053,6,0.01628019728873228,-0.005174057383554469
peer_ret_10d,low,30,1.5,0.012049816020977414,-0.04021685051160384,0.12775052886532448,6,0.016234461537976298,-0.006006890079945829
