k_sim,top_n,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
999,2,6,0.06,0.5,0.008861580249411014,-0.028064814528199748,0.03922464563220848,4,"0.03252,-0.00626,0.00499,-0.02806,-0.02722,0.01653,0.02640,-0.00550,0.01325,0.02552,0.01495,0.03922",gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high
30,2,6,0.08,0.25,0.008783607068647274,-0.04073746622085028,0.04403659934656351,5,"-0.00016,0.01332,-0.04074,-0.00773,-0.00779,0.01371,0.02549,-0.02924,0.02169,0.03426,0.04404,0.03855",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
999,2,4,0.08,0.25,0.008659018342453598,-0.04574129451800102,0.037131838892774126,4,"0.03713,-0.00934,-0.04574,-0.00890,-0.03143,0.01204,0.03179,0.00288,0.02368,0.03117,0.02625,0.03438",ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high
999,2,6,0.08,0.25,0.008614639408727143,-0.04518554985715529,0.03622027241339284,4,"0.03622,-0.01114,-0.04519,-0.00773,-0.02946,0.01212,0.03042,0.00256,0.02411,0.03278,0.02436,0.03432",ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high
12,1,6,0.1,0.5,0.008507331187391122,-0.054959746355198354,0.06743906474911203,4,"0.02975,0.00909,-0.05496,0.03122,-0.02566,0.03819,0.01451,-0.04190,0.00916,-0.03771,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,4,0.1,0.5,0.008401026010332156,-0.05090558882040716,0.06652721416769068,4,"0.02830,0.00750,-0.05091,0.03104,-0.02248,0.03471,0.01463,-0.03723,0.01048,-0.04165,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
30,2,4,0.08,0.25,0.008314303347514982,-0.04245335328056314,0.04320423018584437,4,"0.00175,0.01303,-0.04245,-0.00890,-0.00926,0.01131,0.02397,-0.02739,0.02204,0.03494,0.04320,0.03753",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
30,3,4,0.06,0.25,0.008075138457043267,-0.024711775566061543,0.04069334338180449,5,"-0.00959,0.01048,-0.01928,-0.02471,-0.01195,0.01084,0.01695,-0.00692,0.02245,0.03250,0.04069,0.03545",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|gap_mean_20d:high|ret_15d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high|drawdown_20d:low / ret_1d:high|ret_3d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|drawdown_20d:low / vol_ratio_5_20:low|gap_mean_20d:high|intraday_mean_20d:low / overnight_vol_20d:low|ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|gap_mean_20d:high|amount_z_20d:high
12,1,6,0.1,0.25,0.008064955889080034,-0.054959746355198354,0.06743906474911203,4,"0.02975,0.00909,-0.05496,0.03122,-0.03096,0.03819,0.01451,-0.04190,0.00916,-0.03771,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,4,0.08,0.5,0.008006768554153105,-0.04574129451800102,0.050399590679578866,4,"0.03414,0.00838,-0.04574,0.03209,-0.02050,0.02192,0.01142,-0.02739,0.00959,-0.02843,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,6,0.08,0.5,0.007968882915158937,-0.04518554985715529,0.04934445394228976,4,"0.03699,0.01007,-0.04519,0.03162,-0.02104,0.02004,0.01173,-0.02924,0.00946,-0.02686,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
30,3,6,0.06,0.25,0.007912529450750687,-0.026504383302873524,0.038199862670325005,5,"-0.00900,0.00956,-0.01907,-0.02650,-0.01192,0.01094,0.01701,-0.00399,0.02214,0.03292,0.03820,0.03466",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|gap_mean_20d:high|ret_15d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high|drawdown_20d:low / ret_1d:high|ret_3d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|drawdown_20d:low / vol_ratio_5_20:low|gap_mean_20d:high|intraday_mean_20d:low / overnight_vol_20d:low|ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|gap_mean_20d:high|amount_z_20d:high
30,3,6,0.08,0.25,0.0077854249041451875,-0.02924150617935625,0.05889172252367196,5,"-0.01877,0.01332,-0.02921,-0.00773,-0.01865,0.01646,0.01853,-0.02924,0.01897,0.03426,0.05889,0.03660",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|gap_mean_20d:high|ret_15d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high|drawdown_20d:low / ret_1d:high|ret_3d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|drawdown_20d:low / vol_ratio_5_20:low|gap_mean_20d:high|intraday_mean_20d:low / overnight_vol_20d:low|ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|gap_mean_20d:high|amount_z_20d:high
30,2,6,0.06,0.25,0.007764774277869491,-0.04712463155964986,0.04459331875630493,4,"0.00285,0.00956,-0.04712,-0.02650,-0.00553,0.01809,0.01909,-0.00399,0.01745,0.03292,0.03176,0.04459",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
12,1,4,0.1,0.25,0.007693181560413456,-0.05090558882040716,0.06652721416769068,4,"0.02830,0.00750,-0.05091,0.03104,-0.03098,0.03471,0.01463,-0.03723,0.01048,-0.04165,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
30,2,4,0.06,0.25,0.00759275893051364,-0.045284360710172354,0.04151261299408204,4,"0.00186,0.01048,-0.04528,-0.02471,-0.00727,0.01787,0.02101,-0.00692,0.01784,0.03250,0.03222,0.04151",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
30,2,6,0.1,0.25,0.007552897492336228,-0.04190079834849472,0.04928605742481706,4,"-0.00217,0.01458,-0.04089,0.00444,-0.01269,0.00414,0.02103,-0.04190,0.02446,0.03704,0.04929,0.03332",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
30,3,6,0.06,0.5,0.007519398425079774,-0.044321362903114114,0.03177117545635016,3,"0.01854,0.01055,-0.04432,0.01745,-0.03187,0.00696,0.02067,-0.00130,0.02214,0.00849,0.03177,0.03115",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
30,2,4,0.1,0.25,0.007509997450420681,-0.0402409983241497,0.04683278031639879,4,"-0.00284,0.01153,-0.04024,0.00253,-0.01124,0.00812,0.02223,-0.03723,0.02284,0.03438,0.04683,0.03321",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / vol_ratio_5_20:low|gap_mean_20d:high / overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high
30,3,4,0.06,0.5,0.007344093046848126,-0.04409666513368125,0.032249618986832554,3,"0.01491,0.01097,-0.04410,0.01717,-0.03104,0.00797,0.02056,-0.00384,0.02245,0.00940,0.03225,0.03143",ret_1d:high|ret_15d:low|amount_z_20d:high / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|drawdown_20d:low|gap_mean_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / vol_ratio_5_20:low|overnight_vol_20d:low|intraday_mean_20d:low / ret_1d:high|vol_ratio_5_20:low|amount_z_20d:high / gap_mean_20d:high|vol_ratio_5_20:low|intraday_mean_20d:low / overnight_vol_20d:low|amount_z_20d:high|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|drawdown_20d:low|amount_z_20d:high
30,3,4,0.08,0.25,0.007131778249875368,-0.030594270941478943,0.058433397765975253,5,"-0.01898,0.01303,-0.03059,-0.00890,-0.01814,0.01483,0.01614,-0.02739,0.01936,0.03494,0.05843,0.03284",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|gap_mean_20d:high|ret_15d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high|drawdown_20d:low / ret_1d:high|ret_3d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|drawdown_20d:low / vol_ratio_5_20:low|gap_mean_20d:high|intraday_mean_20d:low / overnight_vol_20d:low|ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|gap_mean_20d:high|amount_z_20d:high
20,1,6,0.1,0.5,0.007113263462099961,-0.054959746355198354,0.06743906474911203,4,"0.02975,0.00909,-0.05496,0.01449,-0.02566,0.03819,0.01451,-0.04190,0.00916,-0.03771,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,1,4,0.1,0.5,0.007084970473980735,-0.05090558882040716,0.06652721416769068,4,"0.02830,0.00750,-0.05091,0.01525,-0.02248,0.03471,0.01463,-0.03723,0.01048,-0.04165,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,4,0.08,0.25,0.007080617491960665,-0.04574129451800102,0.050399590679578866,4,"0.03414,0.00838,-0.04574,0.03209,-0.03162,0.02192,0.01142,-0.02739,0.00959,-0.02843,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,6,0.08,0.25,0.007073872678559641,-0.04518554985715529,0.04934445394228976,4,"0.03699,0.01007,-0.04519,0.03162,-0.03178,0.02004,0.01173,-0.02924,0.00946,-0.02686,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,3,4,0.06,0.5,0.0069879801416231025,-0.044321000055516355,0.038084086222439646,4,"0.02788,0.01097,-0.04432,0.01712,-0.03910,-0.00295,0.02611,0.03808,0.00297,-0.00457,0.03430,0.01737",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
20,3,6,0.06,0.5,0.006964872001033638,-0.0452017975725277,0.03797426748878283,4,"0.02748,0.01055,-0.04520,0.01736,-0.03931,-0.00410,0.02739,0.03797,0.00356,-0.00276,0.03347,0.01717",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|ret_15d:low|drawdown_20d:low / ret_1d:high|ret_15d:low|amount_z_20d:high / drawdown_20d:low|gap_mean_20d:high|ret_1d:high / vol_ratio_5_20:low|overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|ret_3d:high|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|gap_mean_20d:high / ret_1d:high|vol_ratio_5_20:low|overnight_vol_20d:low / intraday_mean_20d:low|overnight_vol_20d:low|gap_mean_20d:high / obv_20d:high|overnight_vol_20d:low|ret_1d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|amount_z_20d:high|ret_3d:high
12,1,6,0.06,0.5,0.006829415630524786,-0.03868986319189406,0.03974937366114509,4,"0.02748,0.01055,-0.03869,0.03457,-0.00995,0.00345,0.00656,-0.00399,0.01187,-0.03079,0.03975,0.03115",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,1,6,0.08,0.5,0.006825010191317906,-0.04518554985715529,0.04934445394228976,4,"0.03699,0.01007,-0.04519,0.01789,-0.02104,0.02004,0.01173,-0.02924,0.00946,-0.02686,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,1,4,0.08,0.5,0.006688063074108568,-0.04574129451800102,0.050399590679578866,4,"0.03414,0.00838,-0.04574,0.01626,-0.02050,0.02192,0.01142,-0.02739,0.00959,-0.02843,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,1,6,0.1,0.25,0.006670888163788874,-0.054959746355198354,0.06743906474911203,4,"0.02975,0.00909,-0.05496,0.01449,-0.03096,0.03819,0.01451,-0.04190,0.00916,-0.03771,0.06296,0.06744",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
12,1,4,0.06,0.5,0.0065695918563539605,-0.038013742708319524,0.03803593946290043,4,"0.02788,0.01097,-0.03801,0.03360,-0.01104,0.00529,0.00710,-0.00692,0.01081,-0.03030,0.03804,0.03143",ret_1d:high / ret_1d:high / ret_1d:high / overnight_vol_20d:low / vol_ratio_5_20:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,1,4,0.1,0.25,0.0063771260240620365,-0.05090558882040716,0.06652721416769068,4,"0.02830,0.00750,-0.05091,0.01525,-0.03098,0.03471,0.01463,-0.03723,0.01048,-0.04165,0.05990,0.06653",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,2,6,0.1,0.25,0.00634429599702008,-0.04931796141260189,0.07488076091865778,5,"-0.00217,0.01393,-0.04932,0.01699,-0.03147,0.02952,0.02103,-0.04190,0.01677,-0.01466,0.07488,0.04253",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / drawdown_20d:low|ret_1d:high / overnight_vol_20d:low|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|ret_3d:high
20,2,4,0.08,0.25,0.006276436820526456,-0.04984103439876924,0.06340478195937925,4,"0.00175,0.01195,-0.04984,0.02029,-0.03177,0.01596,0.02397,-0.02739,0.01887,-0.01203,0.06340,0.04014",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / drawdown_20d:low|ret_1d:high / overnight_vol_20d:low|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|ret_3d:high
30,3,6,0.1,0.25,0.005979380386165106,-0.043224301339181245,0.0744881260777809,4,"-0.02782,0.01458,-0.04322,0.00444,-0.02013,0.01751,0.01513,-0.04190,0.01769,0.03704,0.07449,0.02395",ret_1d:high|amount_z_20d:high|ret_15d:low / ret_1d:high|gap_mean_20d:high|ret_15d:low / ret_1d:high|amount_z_20d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high|drawdown_20d:low / ret_1d:high|ret_3d:high|gap_mean_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low|ret_15d:low / ret_1d:high|vol_ratio_5_20:low|drawdown_20d:low / vol_ratio_5_20:low|gap_mean_20d:high|intraday_mean_20d:low / overnight_vol_20d:low|ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high|ret_3d:high / ret_1d:high|gap_mean_20d:high|amount_z_20d:high
20,1,6,0.08,0.25,0.005929999954718612,-0.04518554985715529,0.04934445394228976,4,"0.03699,0.01007,-0.04519,0.01789,-0.03178,0.02004,0.01173,-0.02924,0.00946,-0.02686,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
999,2,4,0.06,0.25,0.005901665530762446,-0.038013742708319524,0.03796663074055953,5,"0.03232,-0.00696,-0.03801,-0.02471,-0.02810,0.01672,0.02879,-0.00376,0.01422,0.02519,0.01717,0.03797",ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|gap_mean_20d:high
20,2,6,0.08,0.25,0.005847860448983406,-0.05090069435562527,0.06232817339094667,5,"-0.00016,0.01219,-0.05090,0.02214,-0.03250,0.01567,0.02549,-0.02924,0.01782,-0.01322,0.06233,0.04055",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / drawdown_20d:low|ret_1d:high / overnight_vol_20d:low|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|ret_3d:high
12,2,6,0.08,0.5,0.0058111855998976975,-0.04518554985715529,0.06477996152272728,3,"0.01191,0.01007,-0.04519,0.01785,-0.02104,0.01621,0.00954,0.00256,0.01782,-0.02686,0.06478,0.01208",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / overnight_vol_20d:low|vol_ratio_5_20:low / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|intraday_mean_20d:low / ret_1d:high|gap_mean_20d:high / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high
20,1,4,0.08,0.25,0.005761912011916129,-0.04574129451800102,0.050399590679578866,4,"0.03414,0.00838,-0.04574,0.01626,-0.03162,0.02192,0.01142,-0.02739,0.00959,-0.02843,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / drawdown_20d:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high / ret_1d:high / intraday_mean_20d:low / obv_20d:high / ret_1d:high / ret_1d:high
20,2,6,0.1,0.5,0.005726141617749379,-0.03991407436285393,0.06212418730741343,5,"0.02975,0.00909,-0.03991,0.00652,-0.03333,0.03368,0.02103,-0.00036,-0.01035,-0.02672,0.06212,0.01720",ret_1d:high|amount_z_20d:high / ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / drawdown_20d:low|gap_mean_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / intraday_mean_20d:low|overnight_vol_20d:low / obv_20d:high|overnight_vol_20d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|amount_z_20d:high
12,2,4,0.1,0.5,0.00572433209971298,-0.05090558882040716,0.0638786138728269,3,"0.00994,0.00750,-0.05091,0.01716,-0.02248,0.02781,0.01532,0.01107,0.01846,-0.04165,0.06388,0.01260",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / overnight_vol_20d:low|vol_ratio_5_20:low / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|intraday_mean_20d:low / ret_1d:high|gap_mean_20d:high / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|amount_z_20d:high
20,2,4,0.1,0.25,0.005643599466050842,-0.05080480046491617,0.06680694808355786,5,"-0.00284,0.01072,-0.05080,0.01548,-0.03189,0.02553,0.02223,-0.03723,0.01846,-0.01421,0.06681,0.04548",ret_1d:high|amount_z_20d:high / ret_1d:high|gap_mean_20d:high / ret_1d:high|ret_15d:low / drawdown_20d:low|ret_1d:high / overnight_vol_20d:low|vol_ratio_5_20:low / ret_1d:high|ret_3d:high / ret_1d:high|vol_ratio_5_20:low / ret_1d:high|vol_ratio_5_20:low / intraday_mean_20d:low|vol_ratio_5_20:low / obv_20d:high|overnight_vol_20d:low / ret_1d:high|ret_3d:high / ret_1d:high|ret_3d:high
