k_sim,top_n,power,max_weight,penalty,mean_excess,min_excess,max_excess,neg_windows,vals,choices
30,1,6,0.08,0.25,0.013404619906974334,-0.04518554985715529,0.04934445394228976,3,"0.03699,0.01007,-0.04519,-0.00773,0.02101,0.02004,0.01173,-0.02924,0.01087,0.03426,0.04871,0.04934",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
999,1,4,0.08,0.25,0.013381278684365614,-0.04574129451800102,0.050399590679578866,3,"0.03414,0.00838,-0.04574,-0.00890,0.01984,0.02192,0.01142,-0.02739,0.03046,0.01584,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
30,1,4,0.08,0.25,0.01334393578633615,-0.04574129451800102,0.050399590679578866,3,"0.03414,0.00838,-0.04574,-0.00890,0.01984,0.02192,0.01142,-0.02739,0.01091,0.03494,0.05019,0.05040",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / vol_ratio_5_20:low / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,2,6,0.08,0.5,0.01329056825218014,-0.04757498431143898,0.04934445394228976,4,"0.03807,0.01007,-0.04757,0.02085,-0.02029,0.01932,0.04310,-0.00422,0.02169,-0.01491,0.04404,0.04934",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
999,2,4,0.1,0.5,0.013238025654620107,-0.03309608372244738,0.03674527465637836,3,"0.02918,-0.00702,0.02012,-0.02476,-0.03310,0.01334,0.03042,0.01107,0.01874,0.03330,0.03675,0.03082",gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high
30,1,4,0.06,0.5,0.013154158406829436,-0.038013742708319524,0.07078660216844046,4,"0.02788,0.01097,-0.03801,-0.02471,-0.01017,0.00529,0.07079,-0.00692,0.02077,0.03250,0.03804,0.03143",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,1,6,0.06,0.5,0.01308500350917755,-0.03868986319189406,0.07011040076067944,4,"0.02748,0.01055,-0.03869,-0.02650,-0.01013,0.00345,0.07011,-0.00399,0.02092,0.03292,0.03975,0.03115",ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / ret_1d:high / vol_ratio_5_20:low / ret_1d:high / gap_mean_20d:high / overnight_vol_20d:low / ret_1d:high / ret_1d:high
30,2,4,0.08,0.5,0.01289282447411469,-0.04858749163970651,0.050399590679578866,4,"0.03310,0.00838,-0.04859,0.01926,-0.01967,0.01922,0.04454,-0.00507,0.02204,-0.01212,0.04322,0.05040",ret_1d:high|ret_15d:low / ret_1d:high|ret_15d:low / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low / gap_mean_20d:high|vol_ratio_5_20:low / ret_1d:high|amount_z_20d:high / vol_ratio_5_20:low|overnight_vol_20d:low / ret_1d:high|vol_ratio_5_20:low / gap_mean_20d:high|vol_ratio_5_20:low / overnight_vol_20d:low|amount_z_20d:high / ret_1d:high|amount_z_20d:high / ret_1d:high|drawdown_20d:low
999,2,4,0.08,0.5,0.012273243456388182,-0.03143118509595991,0.037131838892774126,3,"0.03713,-0.00934,0.01688,-0.02814,-0.03143,0.01204,0.03179,0.00288,0.02368,0.03117,0.02625,0.03438",gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high
999,2,6,0.08,0.5,0.01215970256547228,-0.029462831579838186,0.03622027241339284,3,"0.03622,-0.01114,0.01515,-0.02552,-0.02946,0.01212,0.03042,0.00256,0.02411,0.03278,0.02436,0.03432",gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high / gap_mean_20d:high|ret_1d:high
