prefix,as_of,path,excess,ret,n
overlay_cap06,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_overlay_cap06_probe_20260509/overlay_cap06_20260428.csv,0.03623624109732165,0.09598908487607699,30
overlay_cap06,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_overlay_cap06_probe_20260509/overlay_cap06_20260407.csv,0.01586299798925446,0.0842093741023507,30
hybrid_gate,20260421,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260421.csv,0.042929065466870205,0.03490447345255205,30
hybrid_gate,20260309,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260309.csv,0.025275961682076097,0.013882856244670084,50
hybrid_gate,20260323,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260323.csv,0.04514788015494137,0.08721060371286476,80
hybrid_gate,20260130,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260130.csv,0.00709507757433531,-0.01967828895486484,30
hybrid_gate,20260330,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260330.csv,0.031480908275426864,0.007929383414402011,30
hybrid_gate,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260302.csv,0.025191797615253673,-0.01856407967014564,50
hybrid_gate,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260316.csv,0.061023534857168285,-0.029922485448868757,30
hybrid_gate,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260407.csv,0.04982466577590265,0.11817104188899889,30
hybrid_gate,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260428.csv,0.0456943248663014,0.10544716864505674,30
hybrid_gate,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260414.csv,0.036943542524156964,0.05941451359456504,30
hybrid_gate,20260206,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260206.csv,0.022068540410493727,0.04087092619672867,30
hybrid_gate,20260213,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_hybrid_gate_regime_alpha_12w_20260509/hybrid_gate_20260213.csv,0.016622924392950898,0.059847856723905045,30
tree_consensus_guarded_v2,20260428,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260428.csv,0.044136091016891615,0.10388893479564695,30
tree_consensus_guarded_v2,20260414,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260414.csv,0.007390529651845369,0.029861500722253444,30
tree_consensus_guarded_v2,20260407,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260407.csv,0.0017549043554237198,0.07010128046851996,30
tree_consensus_guarded_v2,20260316,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260316.csv,0.011002439073737436,-0.07994358123229961,30
tree_consensus_guarded_v2,20260302,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260302.csv,0.013939361462677637,-0.029816515822721677,30
tree_consensus_guarded_v2,20260330,submissions/stage2/backtests/archive_pre_12pct_20260510/stage2_tree_consensus_guarded_v2_20260508/tree_consensus_guarded_v2_20260330.csv,0.02714011692230891,0.003588592061284057,30
