prefix,mean,min,max,count,neg
hybrid_gate_factor_ic_dampen,0.06404507982964097,0.033490219624357984,0.1371138960204471,13,0
hybrid_gate_factor_ic,0.06359240073264044,0.03224518075008654,0.1371138960204471,12,0
hybrid_gate_adaptive_cap,0.05896798063074738,0.03224518075008654,0.09326279349598274,12,0
base,0.05652081891678336,0.03289282607505589,0.08130224694331398,8,0
hybrid_gate,0.05097034190682116,0.00709507757433531,0.1371138960204471,216,0
hybrid_gate_no_secondary,0.0499474678933148,0.022354861368341285,0.09326279349598274,12,0
hybrid_gate_no_route,0.049778857665746884,0.022354861368341285,0.09326279349598274,12,0
hybrid_gate_no_liquidity,0.04708941408456283,0.022224728440533303,0.08005485753819142,12,0
hybrid_gate_no_regime,0.03884851822862454,0.010827210648043747,0.06938029327566159,12,0
hybrid_gate_quality,0.035926226581142896,-0.01065876988212356,0.06517392972465556,18,1
tree_lstm_gate,0.029825828334817055,0.009287163693739166,0.0456943248663014,9,0
hybrid_gate_no_alpha,0.027480743516466812,0.00709507757433531,0.0456943248663014,12,0
tree_consensus_drawdown_overlay,0.024283201881242666,0.004896566555824239,0.0456943248663014,9,0
tree_consensus_adaptive_decay,0.0230046822971154,0.0038736836576806905,0.04446430609009533,27,0
scoreprop_t30_cap08,0.017837981023630697,-0.0016798332309105116,0.03885524678888442,9,1
tree_consensus_decay,0.017613220364002022,-0.01556581729013453,0.03924053086181542,9,1
scoreprop_t30_cap06,0.017576773937825474,-0.001224939880923162,0.03678815149760759,9,1
scoreprop_t40_cap08,0.01638336282726917,0.0006624353476701178,0.033764515257496755,9,0
tree_consensus_guarded_v2,0.015709838915305682,0.0017549043554237198,0.044136091016891615,18,0
tree_consensus_guarded,0.015089611704589131,0.0019100183972319273,0.04402914831026988,9,0
lstm_rank_weight,0.014926012887644956,-0.023773176124188056,0.04514788015494137,13,4
tree_consensus,0.014741562302046785,-0.004056693491108614,0.038226199822667783,19,2
scoreprop_t50_cap08,0.014654804098594832,0.0030181854508627565,0.034439263571446235,9,0
lgb_reg,0.014391304839982518,0.004042884915534638,0.02569126182265792,9,0
tree_consensus_aggressive,0.013323378037883003,-0.006608939306615998,0.04402914831026988,9,1
tree_consensus_target3,0.012877440472833453,-0.00979667208759874,0.029133952408672642,9,1
lgb_wide_reg,0.012641768502780336,-0.004615797077056966,0.033922942652476806,9,2
lgb_base,0.01189282404962689,0.0022884130930437736,0.026326689334326248,9,0
lightgbm,0.011611026533143243,-0.0002949310550313163,0.026326689334326248,16,1
tree_consensus_ref_decay,0.01102091162332592,0.0015773882261614844,0.02974200324712821,9,0
tree_consensus_excess,0.009602550393955177,-0.0014567467952353447,0.03548381019914616,9,1
tuned_xgb,0.008733532990122998,-0.009711131572964396,0.030179987980237577,17,2
lgb_aggr,0.008498208005451174,-0.00015740597281641705,0.02149640571037105,9,1
baseline_xgb,0.006753407310207049,-0.01610000800555246,0.02081523083431712,14,4
tree_consensus_reference,0.006727167954822677,-0.0016625582280763301,0.03388980917583086,9,3
catboost_quantile,0.0044575465751564005,-0.018720996755428824,0.029846599144131517,6,3
regime_gated_lstm,0.003710249699705788,-0.02473754884136658,0.023562856112820912,7,3
regularized_consensus,-0.0024501919041343143,-0.04644935762815281,0.028314425576506045,9,5
