lookback,top_n,top_k,power,max_weight,mean_excess,min_excess,max_excess,neg_windows,vals,choices
78,1,50,4,0.08,-0.00022981975644692314,-0.028730829757155126,0.04763873057132019,8,"-0.02873,-0.01051,0.04764,0.01160,-0.01057,-0.00204,0.01185,-0.00703,0.00835,-0.00160,-0.01846,-0.00327",trend_efficiency_20d:low / trend_efficiency_20d:low / market_corr_60d_rank:high / trend_efficiency_20d:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d:low / trend_efficiency_20d:low / trend_efficiency_20d:low
78,2,50,4,0.08,-0.00022981975644692314,-0.028730829757155126,0.04763873057132019,8,"-0.02873,-0.01051,0.04764,0.01160,-0.01057,-0.00204,0.01185,-0.00703,0.00835,-0.00160,-0.01846,-0.00327",trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low
999,1,40,4,0.1,-0.00023106425901411268,-0.02791105994727462,0.05646680460987468,8,"-0.00025,-0.02487,0.05647,0.01256,-0.00212,-0.01221,0.00976,0.00252,-0.00860,-0.00304,-0.00507,-0.02791",market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high
999,2,40,4,0.1,-0.00023106425901411268,-0.02791105994727462,0.05646680460987468,8,"-0.00025,-0.02487,0.05647,0.01256,-0.00212,-0.01221,0.00976,0.00252,-0.00860,-0.00304,-0.00507,-0.02791",market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high
104,8,30,6,0.06,-0.00023778870789151034,-0.022690287596343194,0.016934635947130985,6,"-0.02269,-0.01660,-0.01266,0.01693,-0.00063,-0.00126,0.00946,-0.01257,0.01149,0.00704,0.01628,0.00236",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
78,1,30,2,0.1,-0.0002418689756781401,-0.028715966149965955,0.04954349665924966,8,"-0.02872,-0.01004,0.04954,0.01153,-0.01126,-0.00167,0.01191,-0.00894,0.00973,-0.00332,-0.01840,-0.00326",trend_efficiency_20d:low / trend_efficiency_20d:low / market_corr_60d_rank:high / trend_efficiency_20d:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d:low / trend_efficiency_20d:low / trend_efficiency_20d:low
78,2,30,2,0.1,-0.0002418689756781401,-0.028715966149965955,0.04954349665924966,8,"-0.02872,-0.01004,0.04954,0.01153,-0.01126,-0.00167,0.01191,-0.00894,0.00973,-0.00332,-0.01840,-0.00326",trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low
104,8,35,6,0.06,-0.00024430049407364303,-0.022246989458247626,0.01679949916534908,6,"-0.02225,-0.01686,-0.01285,0.01627,-0.00072,-0.00100,0.00872,-0.01301,0.01187,0.00697,0.01680,0.00311",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
52,1,35,4,0.06,-0.0002494036966330139,-0.04447381068684537,0.04051753784972697,7,"-0.02801,-0.04447,0.04052,-0.02253,0.01719,-0.02664,-0.00914,-0.00736,0.02092,-0.01306,0.03687,0.03275",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
78,1,40,3,0.08,-0.00025900300091576264,-0.028712889667567538,0.04832554332870332,8,"-0.02871,-0.01079,0.04833,0.01159,-0.01065,-0.00221,0.01208,-0.00762,0.00908,-0.00197,-0.01853,-0.00371",trend_efficiency_20d:low / trend_efficiency_20d:low / market_corr_60d_rank:high / trend_efficiency_20d:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d:low / trend_efficiency_20d:low / trend_efficiency_20d:low
78,2,40,3,0.08,-0.00025900300091576264,-0.028712889667567538,0.04832554332870332,8,"-0.02871,-0.01079,0.04833,0.01159,-0.01065,-0.00221,0.01208,-0.00762,0.00908,-0.00197,-0.01853,-0.00371",trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low
26,2,30,1,0.08,-0.0002651236850865156,-0.02282208008996788,0.05524109094766116,7,"-0.00980,0.01935,-0.01799,-0.02282,-0.00694,0.00439,-0.01273,-0.01011,0.05524,-0.01663,0.00758,0.00728",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
26,2,30,1,0.1,-0.0002651236850865156,-0.02282208008996788,0.05524109094766116,7,"-0.00980,0.01935,-0.01799,-0.02282,-0.00694,0.00439,-0.01273,-0.01011,0.05524,-0.01663,0.00758,0.00728",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
26,3,30,2,0.06,-0.0002709932513544985,-0.03007262520669112,0.062405013110916,7,"-0.03007,0.00588,-0.00979,-0.02464,-0.01224,0.00393,-0.00132,0.01121,0.06241,-0.01208,0.00660,-0.00315",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
52,1,40,1,0.06,-0.00027329140387953414,-0.033438087912589204,0.033037296869796645,6,"-0.02755,-0.03344,0.03141,-0.01584,0.01158,-0.01983,-0.00780,0.00175,0.00811,-0.01066,0.02595,0.03304",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
52,1,40,1,0.08,-0.00027329140387953414,-0.033438087912589204,0.033037296869796645,6,"-0.02755,-0.03344,0.03141,-0.01584,0.01158,-0.01983,-0.00780,0.00175,0.00811,-0.01066,0.02595,0.03304",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
52,1,40,1,0.1,-0.00027329140387953414,-0.033438087912589204,0.033037296869796645,6,"-0.02755,-0.03344,0.03141,-0.01584,0.01158,-0.01983,-0.00780,0.00175,0.00811,-0.01066,0.02595,0.03304",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
52,1,30,3,0.06,-0.0002825364810139907,-0.04460695356886206,0.04070223439491927,7,"-0.02814,-0.04461,0.04070,-0.02300,0.01729,-0.02654,-0.00902,-0.00767,0.02104,-0.01301,0.03714,0.03241",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
104,1,50,2,0.06,-0.0002950277527661601,-0.03482726278295105,0.027069696366118685,5,"-0.02888,0.00208,0.00825,-0.03483,-0.00275,-0.01404,0.00603,0.00247,0.02263,0.01361,0.02707,-0.00517",trend_efficiency_20d:low / gap_mean_20d:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / gap_mean_20d:high
104,1,50,2,0.08,-0.0002950277527661601,-0.03482726278295105,0.027069696366118685,5,"-0.02888,0.00208,0.00825,-0.03483,-0.00275,-0.01404,0.00603,0.00247,0.02263,0.01361,0.02707,-0.00517",trend_efficiency_20d:low / gap_mean_20d:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / gap_mean_20d:high
104,1,50,2,0.1,-0.0002950277527661601,-0.03482726278295105,0.027069696366118685,5,"-0.02888,0.00208,0.00825,-0.03483,-0.00275,-0.01404,0.00603,0.00247,0.02263,0.01361,0.02707,-0.00517",trend_efficiency_20d:low / gap_mean_20d:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / gap_mean_20d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / ret_1d:high / ret_1d:high / gap_mean_20d:high / gap_mean_20d:high
26,3,50,3,0.08,-0.00029681541545126846,-0.03010515552885335,0.07226483708571342,7,"-0.03011,0.00665,-0.02298,-0.02165,-0.01050,0.00635,-0.00319,0.01074,0.07226,-0.01726,0.00691,-0.00079",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,3,50,3,0.1,-0.00029681541545126846,-0.03010515552885335,0.07226483708571342,7,"-0.03011,0.00665,-0.02298,-0.02165,-0.01050,0.00635,-0.00319,0.01074,0.07226,-0.01726,0.00691,-0.00079",ret_3d:low|ret_3d_rank:low|ret_10d_rank:low / ret_3d:low|ret_3d_rank:low|ret_1d:high / ret_1d:high|ret_20d_rank:high|excess_ret_20d_rank:high / ret_1d:high|ret_20d:high|excess_ret_20d:high / ret_1d:high|ret_20d:high|ret_20d_rank:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_3d_rank:low|ret_3d:low|ret_1d:high / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_3d:low|ret_3d_rank:low / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high / ret_1d:high|market_corr_60d:high|market_corr_60d_rank:high
26,2,40,2,0.06,-0.00032324114211882034,-0.02217888014603752,0.05350435576577435,7,"-0.01097,0.01722,-0.01947,-0.02218,-0.00679,0.00503,-0.01158,-0.00830,0.05350,-0.01620,0.00766,0.00819",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
52,1,40,6,0.06,-0.0003338288970243999,-0.045632041680858736,0.04081671249705017,7,"-0.02811,-0.04563,0.04082,-0.02339,0.01713,-0.02647,-0.00866,-0.00763,0.02161,-0.01343,0.03757,0.03219",ret_15d_rank:low / ret_15d:low / ret_15d:low / ret_1d:high / ret_1d:high / excess_ret_5d_rank:low / excess_ret_5d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / ret_10d:low / ret_1d:high / ret_1d:high
26,2,40,3,0.06,-0.00034722742435845346,-0.020308293686358128,0.05035918511895881,7,"-0.01088,0.01691,-0.01424,-0.02031,-0.00869,0.00574,-0.01520,-0.00690,0.05036,-0.01722,0.00805,0.00820",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
78,1,30,2,0.08,-0.0003497036945981785,-0.028723742588361672,0.049859395599304863,8,"-0.02872,-0.01122,0.04986,0.01179,-0.01095,-0.00258,0.01219,-0.00891,0.01024,-0.00259,-0.01865,-0.00466",trend_efficiency_20d:low / trend_efficiency_20d:low / market_corr_60d_rank:high / trend_efficiency_20d:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low / trend_efficiency_20d:low / trend_efficiency_20d:low / trend_efficiency_20d:low
78,2,30,2,0.08,-0.0003497036945981785,-0.028723742588361672,0.049859395599304863,8,"-0.02872,-0.01122,0.04986,0.01179,-0.01095,-0.00258,0.01219,-0.00891,0.01024,-0.00259,-0.01865,-0.00466",trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / market_corr_60d_rank:high|market_corr_60d:high / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d_rank:low|trend_efficiency_20d:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low / trend_efficiency_20d:low|trend_efficiency_20d_rank:low
26,2,50,3,0.06,-0.0003684518302742784,-0.02172334920836292,0.053201489298645946,7,"-0.01143,0.01708,-0.01995,-0.02172,-0.00691,0.00486,-0.01157,-0.00787,0.05320,-0.01633,0.00769,0.00854",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
26,2,50,2,0.06,-0.00037434659293897966,-0.022623314278632723,0.0514856921205787,7,"-0.01086,0.01780,-0.01966,-0.02262,-0.00741,0.00533,-0.00866,-0.00892,0.05149,-0.01535,0.00751,0.00688",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
26,2,50,2,0.08,-0.00037434659293897966,-0.022623314278632723,0.0514856921205787,7,"-0.01086,0.01780,-0.01966,-0.02262,-0.00741,0.00533,-0.00866,-0.00892,0.05149,-0.01535,0.00751,0.00688",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
26,2,50,2,0.1,-0.00037434659293897966,-0.022623314278632723,0.0514856921205787,7,"-0.01086,0.01780,-0.01966,-0.02262,-0.00741,0.00533,-0.00866,-0.00892,0.05149,-0.01535,0.00751,0.00688",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
104,8,30,4,0.08,-0.0003834885031349935,-0.021362413458255906,0.02221469891804945,5,"-0.02136,-0.02084,-0.01980,0.01834,0.00674,-0.00198,0.00553,-0.01603,0.00694,0.01330,0.02221,0.00234",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,2,30,1,0.06,-0.00038842474266698174,-0.023171707464767828,0.05356942878491667,7,"-0.00971,0.01824,-0.01735,-0.02317,-0.00656,0.00467,-0.01272,-0.00989,0.05357,-0.01628,0.00703,0.00751",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
104,8,30,2,0.06,-0.00039212227432433404,-0.020158597551145366,0.017006710667651994,5,"-0.02016,-0.01501,-0.01666,0.01398,0.00049,-0.00276,0.00757,-0.01455,0.01247,0.00977,0.01701,0.00316",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,2,50,4,0.06,-0.00039602405894435827,-0.02074105087086077,0.05074124252808137,7,"-0.01139,0.01676,-0.01507,-0.02074,-0.00836,0.00525,-0.01437,-0.00691,0.05074,-0.01704,0.00811,0.00826",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
999,1,35,3,0.1,-0.00040991540692719274,-0.027529787643131416,0.053766295192201885,8,"-0.00051,-0.02434,0.05377,0.01248,-0.00305,-0.01202,0.00983,0.00268,-0.00870,-0.00298,-0.00454,-0.02753",market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high / market_corr_60d_rank:high
999,2,35,3,0.1,-0.00040991540692719274,-0.027529787643131416,0.053766295192201885,8,"-0.00051,-0.02434,0.05377,0.01248,-0.00305,-0.01202,0.00983,0.00268,-0.00870,-0.00298,-0.00454,-0.02753",market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high / market_corr_60d_rank:high|market_corr_60d:high
26,2,35,2,0.06,-0.0004131099196310664,-0.021503797799503493,0.051648923291901266,7,"-0.01071,0.01697,-0.01548,-0.02150,-0.00776,0.00487,-0.01443,-0.00755,0.05165,-0.01681,0.00756,0.00825",ret_3d:low|ret_3d_rank:low / ret_3d:low|ret_3d_rank:low / ret_1d:high|ret_20d_rank:high / ret_1d:high|ret_20d:high / ret_1d:high|ret_20d:high / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_3d_rank:low|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|ret_3d:low / ret_1d:high|market_corr_60d:high / ret_1d:high|market_corr_60d:high
