lookback,top_n,top_k,power,max_weight,mean_excess,min_excess,max_excess,neg_windows,vals,choices
104,3,35,4,0.06,0.009169093411580058,-0.029184118249867105,0.035551566877141026,3,"-0.00629,0.01801,0.03365,-0.02918,0.02167,0.00977,0.00559,0.00065,0.01180,-0.01122,0.02003,0.03555",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,1,50,6,0.1,0.009088184631704159,-0.045109693527007166,0.06500969428284727,5,"-0.01685,0.02507,-0.04511,0.00104,0.01392,-0.00142,-0.00971,-0.00837,0.01971,0.01182,0.05396,0.06501",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
26,1,30,3,0.1,0.009085314808611395,-0.0462313031791247,0.0641379941801411,5,"-0.01684,0.02483,-0.04623,0.00017,0.01477,-0.00103,-0.01072,-0.00775,0.02108,0.01188,0.05474,0.06414",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
104,3,30,6,0.08,0.0088010665560379,-0.029705048917406066,0.03700493025953379,4,"-0.01781,0.00801,0.03700,-0.02971,0.02994,0.01290,0.00098,-0.00689,0.01590,-0.00880,0.03187,0.03222",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,30,2,0.06,0.008771605666320114,-0.029434514356755547,0.03547681232943211,4,"-0.00915,0.01820,0.02985,-0.02943,0.02167,0.00940,0.00744,-0.00012,0.01184,-0.01011,0.02021,0.03548",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,50,6,0.06,0.00872119603879555,-0.02941320787795062,0.0349712087949432,4,"-0.00868,0.01711,0.03104,-0.02941,0.02144,0.00960,0.00695,-0.00043,0.01175,-0.01060,0.02091,0.03497",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,35,3,0.06,0.008718174226659067,-0.029378246121552293,0.035252721120615255,4,"-0.00905,0.01766,0.03016,-0.02938,0.02151,0.00950,0.00732,-0.00052,0.01181,-0.01031,0.02067,0.03525",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
104,3,40,4,0.06,0.008710630212953853,-0.029391924934152654,0.03511767770342269,4,"-0.00890,0.01739,0.03052,-0.02939,0.02146,0.00956,0.00716,-0.00055,0.01178,-0.01045,0.02083,0.03512",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
26,1,40,4,0.1,0.008674913059541994,-0.04284871529004257,0.06284562290104899,6,"-0.01618,0.02570,-0.04285,-0.00094,0.01347,-0.00097,-0.01009,-0.00889,0.01970,0.01066,0.05165,0.06285",ret_3d:low / ret_3d:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_3d_rank:low / ret_3d_rank:low / ret_3d_rank:low / ret_1d:high / ret_1d:high / ret_1d:high / ret_1d:high
104,3,30,4,0.08,0.00861090047534484,-0.03262221224255305,0.036000589096000256,4,"-0.01638,0.01102,0.03600,-0.03262,0.02867,0.01268,0.00156,-0.00674,0.01516,-0.00933,0.03085,0.03246",trend_efficiency_20d:low|trend_efficiency_20d_rank:low|gap_mean_20d:high / gap_mean_20d:high|gap_mean_20d_rank:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / gap_mean_20d_rank:high|gap_mean_20d:high|market_corr_60d_rank:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / market_corr_60d_rank:high|market_corr_60d:high|gap_mean_20d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / ret_1d:high|market_corr_60d_rank:high|market_corr_60d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high / gap_mean_20d:high|gap_mean_20d_rank:high|ret_1d:high
