top_k,power,mix_agg,mean_excess,min_excess,max_excess,neg_windows,mean_portfolio_return,avg_names,vals
50,96,0.0,0.08084511771993073,0.03712729907497382,0.15620342643015314,0,0.08502976323692962,35.833333333333336,"0.04154,0.06775,0.15620,0.03713,0.04546,0.07761,0.07483,0.08574,0.10215,0.09137,0.08596,0.10442"
50,64,0.0,0.08083307810620301,0.03738682118864291,0.1569086979989463,0,0.08501772362320188,35.833333333333336,"0.04156,0.06771,0.15691,0.03739,0.04546,0.07761,0.07419,0.08531,0.10171,0.09233,0.08552,0.10432"
60,96,0.0,0.08082959226841556,0.03714015228427538,0.15620342643015314,0,0.08501423778541443,36.916666666666664,"0.04154,0.06775,0.15620,0.03714,0.04546,0.07761,0.07453,0.08574,0.10215,0.09147,0.08596,0.10442"
40,96,0.0,0.08081557725684677,0.03700837420745015,0.15620342643015314,0,0.08500022277384565,33.333333333333336,"0.04154,0.06775,0.15620,0.03701,0.04546,0.07761,0.07506,0.08574,0.10215,0.09089,0.08596,0.10442"
35,96,0.0,0.08080311756598253,0.03696127717193132,0.15620342643015314,0,0.08498776308298144,32.083333333333336,"0.04154,0.06775,0.15620,0.03696,0.04546,0.07761,0.07515,0.08574,0.10215,0.09071,0.08596,0.10442"
40,64,0.0,0.08079999642233661,0.037194651031351444,0.1569086979989463,0,0.08498464193933551,33.333333333333336,"0.04156,0.06771,0.15691,0.03719,0.04546,0.07761,0.07468,0.08531,0.10171,0.09163,0.08552,0.10432"
60,64,0.0,0.08079893527563266,0.0374051862276566,0.1569086979989463,0,0.08498358079263153,36.916666666666664,"0.04156,0.06771,0.15691,0.03741,0.04546,0.07761,0.07364,0.08531,0.10171,0.09245,0.08552,0.10432"
30,96,0.0,0.08079412094399012,0.036928014136851206,0.15620342643015314,0,0.08497876646098901,30.833333333333332,"0.04154,0.06775,0.15620,0.03693,0.04546,0.07761,0.07521,0.08574,0.10215,0.09057,0.08596,0.10442"
35,64,0.0,0.08077795161734694,0.03709827790938897,0.1569086979989463,0,0.08496259713434583,32.083333333333336,"0.04156,0.06771,0.15691,0.03710,0.04546,0.07761,0.07489,0.08531,0.10171,0.09125,0.08552,0.10432"
80,96,0.0,0.0807707114144202,0.03714015228427538,0.15620342643015314,0,0.08495535693141909,38.583333333333336,"0.04154,0.06775,0.15620,0.03714,0.04546,0.07761,0.07382,0.08574,0.10215,0.09147,0.08596,0.10442"
50,48,0.0,0.08076408395835129,0.03761347958914747,0.157917753903554,0,0.08494872947535016,35.833333333333336,"0.04157,0.06769,0.15792,0.03761,0.04546,0.07761,0.07345,0.08469,0.10113,0.09300,0.08486,0.10417"
30,64,0.0,0.08075582411686087,0.03701077626678419,0.1569086979989463,0,0.08494046963385976,30.833333333333332,"0.04156,0.06771,0.15691,0.03701,0.04546,0.07761,0.07506,0.08531,0.10171,0.09090,0.08552,0.10432"
40,48,0.0,0.0807509030071592,0.037388369742973514,0.157917753903554,0,0.08493554852415809,33.333333333333336,"0.04157,0.06769,0.15792,0.03739,0.04546,0.07761,0.07419,0.08469,0.10113,0.09234,0.08486,0.10417"
35,48,0.0,0.08073080375836662,0.037262032297547425,0.157917753903554,0,0.0849154492753655,32.083333333333336,"0.04157,0.06769,0.15792,0.03726,0.04546,0.07761,0.07452,0.08469,0.10113,0.09189,0.08486,0.10417"
60,48,0.0,0.08071200201771796,0.03763374135391023,0.157917753903554,0,0.08489664753471686,36.916666666666664,"0.04157,0.06769,0.15792,0.03763,0.04546,0.07761,0.07271,0.08469,0.10113,0.09310,0.08486,0.10417"
80,64,0.0,0.0807063138474702,0.0374051862276566,0.1569086979989463,0,0.0848909593644691,38.583333333333336,"0.04156,0.06771,0.15691,0.03741,0.04546,0.07761,0.07253,0.08531,0.10171,0.09245,0.08552,0.10432"
30,48,0.0,0.08070316092844364,0.037132454058122204,0.157917753903554,0,0.08488780644544251,30.833333333333332,"0.04157,0.06769,0.15792,0.03713,0.04546,0.07761,0.07482,0.08469,0.10113,0.09139,0.08486,0.10417"
35,32,0.0,0.08060813130061995,0.03756228683419538,0.1599599543114301,0,0.08479277681761882,32.083333333333336,"0.04150,0.06778,0.15996,0.03756,0.04546,0.07761,0.07365,0.08345,0.10018,0.09289,0.08344,0.10382"
80,48,0.0,0.08060808664647114,0.03763374135391023,0.157917753903554,0,0.08479273216347004,38.583333333333336,"0.04157,0.06769,0.15792,0.03763,0.04546,0.07761,0.07147,0.08469,0.10113,0.09310,0.08486,0.10417"
40,32,0.0,0.08060358059197793,0.03771057620126286,0.1599599543114301,0,0.08478822610897684,33.333333333333336,"0.04150,0.06778,0.15996,0.03771,0.04546,0.07761,0.07310,0.08345,0.10018,0.09324,0.08344,0.10382"
30,32,0.0,0.08059464157954238,0.0373914236698113,0.1599599543114301,0,0.08477928709654126,30.833333333333332,"0.04150,0.06778,0.15996,0.03739,0.04546,0.07761,0.07419,0.08345,0.10018,0.09236,0.08344,0.10382"
50,32,0.0,0.08055862084140875,0.03794883209052068,0.1599599543114301,0,0.08474326635840763,35.833333333333336,"0.04150,0.06778,0.15996,0.03795,0.04546,0.07761,0.07204,0.08345,0.10018,0.09352,0.08344,0.10382"
60,32,0.0,0.08052101428800353,0.03796909523608446,0.1599599543114301,0,0.08470565980500243,36.916666666666664,"0.04150,0.06778,0.15996,0.03797,0.04546,0.07761,0.07156,0.08345,0.10018,0.09352,0.08344,0.10382"
80,32,0.0,0.08049203258243602,0.03796909523608446,0.1599599543114301,0,0.08467667809943491,38.583333333333336,"0.04150,0.06778,0.15996,0.03797,0.04546,0.07761,0.07121,0.08345,0.10018,0.09352,0.08344,0.10382"
