top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
70,1.25,-0.0032337181730319443,-0.009701154519095832,-0.007148421309403463,0.0054940431810296605,-0.012305054595795789
70,1.5,-0.0028509397258322604,-0.00855281917749678,-0.007738344910756926,0.0058885705372450315,-0.012650284324624948
65,1.0,-0.003480182474699415,-0.010440547424098244,-0.007399576252411798,0.005485918005876206,-0.012799830029167885
50,0.5,-0.002933369596559423,-0.008800108789678268,-0.007878799012551344,0.006043770292454833,-0.012927488211469959
50,0.75,-0.0024004312495506503,-0.00720129374865195,-0.008360258735426417,0.0062959876130364665,-0.01296428564953983
45,0.5,-0.0024323970015087334,-0.0072971910045262,-0.008433634670404016,0.006177090084994001,-0.01302801320166065
50,1.0,-0.001925302468201234,-0.0057759074046037015,-0.008786022593968237,0.006651312932254146,-0.01303928458845842
80,1.5,-0.0032711012810050038,-0.009813303843015011,-0.007950508308511031,0.005265217621755939,-0.013064435757130614
45,0.75,-0.0018912006132511573,-0.005673601839753472,-0.008905114397317233,0.0065712577742121645,-0.013096255231542647
65,1.25,-0.0030350216802697756,-0.009105065040809327,-0.008005650175749487,0.0059055356556829775,-0.013107609335508304
50,1.25,-0.0014920360480612388,-0.0044761081441837165,-0.009157501056896718,0.0070620331016734055,-0.013121248690543649
45,1.0,-0.0014178865725281559,-0.0042536597175844675,-0.009291059367373837,0.007025877855081297,-0.013168003189180447
50,1.5,-0.0010907673643449425,-0.0032723020930348276,-0.009485018936450589,0.0075045394978289,-0.013202375125035646
55,1.5,-0.0015846807548591812,-0.004754042264577544,-0.009142998071842441,0.007108696627795336,-0.01321572264642999
55,1.25,-0.0020400655844651353,-0.0061201967533954064,-0.00884014404084928,0.006718847533034929,-0.01323180626187664
45,1.25,-0.0009916393995854644,-0.0029749181987563933,-0.009617871758724684,0.007505419777118641,-0.013236408080301673
65,1.5,-0.002586720389617494,-0.007760161168852482,-0.008449186082569747,0.006312316191713425,-0.01324521713928694
45,1.5,-0.0005967047598284177,-0.0017901142794852533,-0.009907352911333843,0.008003649276293556,-0.013305334917865005
55,1.0,-0.002578526131362333,-0.007735578394086999,-0.00852337833440445,0.006361152315203915,-0.013328307776088153
40,1.25,-0.0004803837393195671,-0.0014411512179587013,-0.01006980092852472,0.008077720716401412,-0.01337738691858478
40,1.0,-0.0008904246021342183,-0.0026712738064026548,-0.009831873708623165,0.007604782577339334,-0.01338397221282615
40,1.5,-8.829172834241839e-05,-0.00026487518502725516,-0.010305121252494637,0.008601743560982545,-0.013404023227180945
60,1.5,-0.002158589356509951,-0.006475768069529854,-0.008889343817931581,0.006737749750291486,-0.013406145587043552
40,0.75,-0.001343331837023944,-0.004029995511071832,-0.009568359271369752,0.007168014764944626,-0.013420496276124315
40,0.5,-0.0018908366804270816,-0.0056725100412812444,-0.009240020907330688,0.006739315532093664,-0.013489618023990551
60,1.25,-0.0026760483391935993,-0.008028145017580798,-0.008612505785077693,0.00636813080477475,-0.013517399905942454
55,0.75,-0.0032494903787095783,-0.009748471136128735,-0.008199480993573646,0.0060538012421742105,-0.013567801807044198
70,1.0,-0.003615541821900816,-0.010846625465702447,-0.008186213546388321,0.005137215794404169,-0.013599780896330597
60,1.0,-0.003280704287617032,-0.009842112862851096,-0.008322378271168718,0.00601419372010018,-0.013708050360820812
65,0.75,-0.00387082335296121,-0.01161247005888363,-0.008322951059142353,0.005065258970084674,-0.013966615051633198
60,0.75,-0.003999627345777649,-0.011998882037332948,-0.008012474106090989,0.005674634129958988,-0.013998223397354282
80,1.25,-0.003566983581827865,-0.010700950745483596,-0.008989141236138476,0.005071799338629805,-0.014331254586486772
55,0.5,-0.0041332342152906485,-0.012399702645871945,-0.008621508640975106,0.0058308679002017,-0.01479554662133635
65,0.5,-0.0041051964168602574,-0.012315589250580773,-0.009318276196834382,0.004713328599023668,-0.015073137623352922
70,0.75,-0.003995761255011103,-0.011987283765033309,-0.009418089026078533,0.004907771057644296,-0.01513157015126514
100,1.5,-0.003501051601679806,-0.010503154805039418,-0.010064784818409556,0.004961872369530002,-0.015302491749424862
80,1.0,-0.00383726063207504,-0.01151178189622512,-0.010175673089474563,0.005085374212942983,-0.015792814696079648
100,1.25,-0.003617283283788742,-0.010851849851366226,-0.010842323533353446,0.0051848945155196936,-0.01627431989757408
60,0.5,-0.004866381939841269,-0.014599145819523807,-0.009545872325027863,0.005340648845973725,-0.016281481360959936
70,0.5,-0.004395715446415909,-0.013187146339247727,-0.010967841736188977,0.005011104410352337,-0.017117443726228206
100,1.0,-0.0036963646105591347,-0.011089093831677404,-0.011634921568503737,0.0056141287938220805,-0.0172962312569006
80,0.75,-0.004061544619038629,-0.012184633857115885,-0.011524510507478422,0.005436450799864207,-0.017488812906469524
100,0.75,-0.003734242815979472,-0.011202728447938416,-0.012443863407066685,0.006270178165271194,-0.018372668580891073
80,0.5,-0.004211034096231951,-0.012633102288695852,-0.013034141834138091,0.006238881055800379,-0.019428784299900175
100,0.5,-0.0037329638498776164,-0.011198891549632849,-0.013296294007860518,0.007169495177734898,-0.01953858116994535
