top_k,rank_power,agreement_power,risk_penalty,equal_mix,max_weight,mean_excess,min_excess,std_excess,negative_windows,count,utility
50,0.6,0.0,0.0,0.25,0.06,0.00443013517758812,-0.017059288126037093,0.018932774061390597,5,11,-0.025538631213381784
50,0.6,0.0,0.0,0.1,0.06,0.0044302642717873675,-0.017059331223944024,0.018936509725825716,5,11,-0.025539461894035474
50,0.9,0.0,0.0,0.25,0.06,0.004430350540384194,-0.017059419282546034,0.018942008121269116,5,11,-0.025540803059460705
50,0.9,0.0,0.0,0.1,0.06,0.004430522707142657,-0.017059488611754756,0.01894762200368025,5,11,-0.02554207596083026
50,1.2,0.0,0.0,0.25,0.06,0.0044304951799654544,-0.01706444952288608,0.01895121222147217,5,11,-0.025545977589134235
50,1.2,0.0,0.0,0.1,0.06,0.004430696274640172,-0.01707913795013048,0.018958710499100494,5,11,-0.025556464120213236
50,0.6,0.0,0.35,0.25,0.06,0.0044260558887478825,-0.017251828709083813,0.019046142678806794,5,11,-0.0256865770064041
50,0.9,0.0,0.35,0.25,0.06,0.0044261482226553685,-0.017269005063204824,0.019054593081002557,5,11,-0.025698903085518164
50,1.2,0.0,0.35,0.25,0.06,0.004426173064137665,-0.01728609709301615,0.01906301045965206,5,11,-0.02571123780658504
50,0.6,0.0,0.35,0.1,0.06,0.004425369125179086,-0.01730399297356775,0.019072858284737402,5,11,-0.025725241230145916
50,0.9,0.0,0.35,0.1,0.06,0.004425479925868069,-0.01732460459851297,0.019083083786581335,5,11,-0.025740053779885044
50,1.2,0.0,0.35,0.1,0.06,0.004425509735646824,-0.017345115034286564,0.0190932804974582,5,11,-0.025754879409289663
50,0.6,0.0,0.7,0.25,0.06,0.004421161457003619,-0.017466304485395788,0.019150453348709726,5,11,-0.025846234571411282
50,0.9,0.0,0.7,0.25,0.06,0.004421148716790035,-0.017482375921096204,0.019158159530549935,5,11,-0.02585781671850517
50,1.2,0.0,0.7,0.25,0.06,0.004421071557382411,-0.017498356045572577,0.019165830416308843,5,11,-0.025869399674038344
50,0.6,0.0,0.7,0.1,0.06,0.004419495807085967,-0.017561363905142117,0.019198631457298825,5,11,-0.02591698040032401
50,0.9,0.0,0.7,0.1,0.06,0.004419480518829668,-0.017580649627982628,0.019208006578091883,5,11,-0.025930910902482878
50,1.2,0.0,0.7,0.1,0.06,0.004419387927540522,-0.017599825777354267,0.01921734903063015,5,11,-0.025944844796529573
50,0.6,1.0,0.0,0.25,0.06,0.004327486105435652,-0.01827419380508707,0.019337550688772322,5,11,-0.02647141784980967
50,0.9,1.0,0.0,0.25,0.06,0.0043282661662509365,-0.01828665940047399,0.019344911904947287,5,11,-0.026479957450270278
50,1.2,1.0,0.0,0.25,0.06,0.004328990349733239,-0.018299004734609867,0.019352224038673153,5,11,-0.026488468500700968
50,0.6,1.0,0.35,0.25,0.06,0.004334204790758031,-0.018451796800594528,0.01943518432678965,5,11,-0.026595669371296097
50,0.9,1.0,0.35,0.25,0.06,0.0043348441858662235,-0.018463228965099377,0.01944175179368682,5,11,-0.026603531141615108
50,1.2,1.0,0.35,0.25,0.06,0.004335430088960605,-0.018474536500802777,0.019448270013709096,5,11,-0.026611359314948332
50,0.6,1.0,0.0,0.1,0.06,0.004307085385204409,-0.018530831088771665,0.019425077157226342,5,11,-0.026667682557365173
50,0.9,1.0,0.0,0.1,0.06,0.004308021458182751,-0.018545789803235967,0.019434102421560052,5,11,-0.02667797802914884
50,1.2,1.0,0.0,0.1,0.06,0.004308890478361512,-0.01856060420419902,0.01944307597458385,5,11,-0.026688241037803862
50,0.6,1.0,0.7,0.25,0.06,0.004339340416555159,-0.01862189969327429,0.019524149457992798,5,11,-0.026714836763907613
