feature,mean_ic,abs_mean_ic,std_ic,stability_score,n_days,selected
amplitude_ma_20d,-0.05474568171836397,0.05474568171836397,0.2493559481784853,0.21954744841991722,487,True
amplitude_ma_20d_rank,-0.05474568171836397,0.05474568171836397,0.2493559481784853,0.21954744841991722,487,False
vol_20d,-0.052750614997284104,0.052750614997284104,0.24245227951048315,0.21757022674136806,487,False
vol_20d_rank,-0.052750614997284104,0.052750614997284104,0.24245227951048315,0.21757022674136806,487,False
high_low_range,-0.050734846126750485,0.050734846126750485,0.19167007979567832,0.2646974503447986,507,True
vol_5d,-0.04766674377436353,0.04766674377436353,0.19711563965209966,0.241819989720263,502,True
close_over_ma60,-0.037184588981486195,0.037184588981486195,0.2165514376218591,0.17171170821183465,448,True
turnover_ma_20d,-0.035999626235625366,0.035999626235625366,0.2397758043155494,0.15013806835230561,488,True
ret_60d,-0.033087208345549596,0.033087208345549596,0.21747967401891485,0.15213861413116606,447,True
ret_20d,-0.030251547781013355,0.030251547781013355,0.2020382992947616,0.14973100721794924,487,True
ret_20d_rank,-0.030251547781013355,0.030251547781013355,0.2020382992947616,0.14973100721794924,487,False
excess_ret_20d,-0.030251547781013355,0.030251547781013355,0.2020382992947616,0.14973100721794924,487,False
excess_ret_20d_rank,-0.030251547781013355,0.030251547781013355,0.2020382992947616,0.14973100721794924,487,False
close_over_ma20,-0.02736843404431465,0.02736843404431465,0.19404138798002146,0.1410435850085111,488,True
ret_10d,-0.0264301685324544,0.0264301685324544,0.1923455018158488,0.1374091459056451,497,True
ret_5d,-0.023591600416345337,0.023591600416345337,0.17726032732276698,0.133089381494862,502,True
ret_5d_rank,-0.023591600416345337,0.023591600416345337,0.17726032732276698,0.133089381494862,502,False
excess_ret_5d,-0.023591600416345337,0.023591600416345337,0.17726032732276698,0.133089381494862,502,False
excess_ret_5d_rank,-0.023591600416345337,0.023591600416345337,0.17726032732276698,0.133089381494862,502,False
reversal_3d,0.022535163694243947,0.022535163694243947,0.16651520460712405,0.1353331571988029,504,True
ret_3d,-0.022533476744365746,0.022533476744365746,0.16651546885739846,0.13532281160527723,504,False
amount_z_20d,-0.021554505464489965,0.021554505464489965,0.12435960006896891,0.17332262350403657,488,True
amount_z_20d_rank,-0.021554505464489965,0.021554505464489965,0.12435960006896891,0.17332262350403657,488,False
rsi_14,-0.019082335486808325,0.019082335486808325,0.17362982010825515,0.109901775934197,493,True
turnover_z_20d,-0.018460166344515444,0.018460166344515444,0.1172575783811509,0.15743126515239145,488,False
volume_z_20d,-0.018292180310844106,0.018292180310844106,0.11721736053700889,0.15605217669862212,488,False
mom_accel_5_20,0.018024273218022212,0.018024273218022212,0.18692675592401015,0.09642373936885776,487,True
close_pos_20d,-0.01486870612107525,0.01486870612107525,0.17353202502781548,0.08568228507911942,488,True
intraday_ret,-0.009937957948160745,0.009937957948160745,0.17744841895733254,0.056004454714784456,507,True
vol_ratio_5_20,-0.008252984343514262,0.008252984343514262,0.11408902018268847,0.07233747816241104,487,True
ret_1d,-0.008026756826179144,0.008026756826179144,0.1801303020193074,0.04456058850514939,506,False
overnight_ret,0.007305594167746377,0.007305594167746377,0.12101729870612209,0.060367681960949604,506,True
drawdown_20d,-0.002725365155123988,0.002725365155123988,0.2019868318733086,0.013492719486356978,488,True
